"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"5","love ",531,0.00636362546888295,0,0,0,0,0,1
"49","good ",129,0.00154596550938964,0,0,0,0,0,1
"66","life ",96,0.00115048596047601,1,0,0,0,0,0
"71","people ",90,0.00107858058794626,1,0,0,0,0,0
"85","happy ",82,0.000982706757906595,0,0,0,0,0,1
"101","hate ",67,0.000802943326582218,0,1,1,1,1,0
"122","shit ",58,0.000695085267787591,0,1,0,1,1,0
"140","bad ",55,0.000659132581522716,0,1,1,1,1,0
"142","world ",53,0.000635164124012799,1,0,0,0,0,0
"152","real ",51,0.000611195666502882,0,0,0,0,0,1
"158","work ",49,0.000587227208992965,1,0,0,0,0,0
"160","wait ",49,0.000587227208992965,0,1,0,0,0,0
"171","hope ",47,0.000563258751483048,0,0,0,0,0,1
"177","watch ",46,0.00055127452272809,0,0,1,0,0,0
"202","bitch ",42,0.000503337607708256,0,1,1,1,1,0
"204","baby ",42,0.000503337607708256,0,0,0,0,0,1
"212","sin ",41,0.000491353378953297,0,1,1,1,1,0
"257","food ",35,0.000419448006423547,0,0,0,0,0,1
"278","friend ",33,0.00039547954891363,0,0,0,0,0,1
"289","ass ",32,0.000383495320158671,0,1,0,0,0,0
"308","beautiful ",31,0.000371511091403713,0,0,0,0,0,1
"312","pretty ",30,0.000359526862648754,0,0,0,0,0,1
"323","found ",29,0.000347542633893796,0,0,0,0,0,1
"330","talk ",29,0.000347542633893796,0,0,0,0,0,1
"335","gold ",28,0.000335558405138837,0,0,0,0,0,1
"340","music ",28,0.000335558405138837,0,0,0,0,0,1
"344","smile ",27,0.000323574176383879,0,0,0,0,0,1
"355","falling ",27,0.000323574176383879,0,1,0,0,0,0
"358","hot ",27,0.000323574176383879,0,0,0,0,1,0
"360","hit ",26,0.00031158994762892,0,1,0,0,1,0
"364","crazy ",26,0.00031158994762892,0,1,1,0,1,0
"369","god ",26,0.00031158994762892,0,0,1,0,0,1
"387","leave ",25,0.000299605718873962,0,1,0,0,0,0
"398","cute ",25,0.000299605718873962,0,0,0,0,0,1
"406","case ",25,0.000299605718873962,0,1,1,0,0,0
"411","swear ",24,0.000287621490119003,0,0,0,0,0,1
"425","reason ",23,0.000275637261364045,0,0,0,0,0,1
"429","party ",23,0.000275637261364045,1,0,0,0,0,0
"435","money ",23,0.000275637261364045,1,0,0,0,1,1
"442","damn ",23,0.000275637261364045,0,1,0,1,1,0
"455","football ",22,0.000263653032609086,0,0,0,0,0,1
