"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"3","shooting ",2149,0.0202363576439569,0,1,1,0,1,0
"5","police ",1456,0.0137106266773389,1,0,1,0,0,1
"8","felony ",882,0.00830547577569565,0,1,0,0,0,0
"13","juvenile ",632,0.00595131597532841,0,1,0,0,0,0
"14","shot ",628,0.00591364941852253,0,1,1,0,1,0
"23","force ",462,0.00435048731107868,1,1,1,0,1,0
"24","lawyer ",445,0.0041904044446537,0,1,1,1,1,0
"27","justice ",415,0.00390790526860963,1,0,0,0,0,1
"29","robbery ",395,0.00371957248458025,0,1,1,1,1,0
"35","forward ",337,0.00317340741089505,0,0,0,0,0,1
"40","death ",318,0.00299449126606714,0,1,1,1,1,0
"44","officer ",303,0.00285324167804511,1,0,0,0,0,1
"46","court ",298,0.00280615848203776,0,0,1,0,1,0
"49","provide ",290,0.00273082536842601,0,0,0,0,0,1
"56","news ",277,0.00260840905880691,1,0,0,0,0,0
"59","media ",269,0.00253307594519516,1,0,0,0,0,0
"61","forget ",248,0.00233532652196431,0,1,0,0,0,0
"67","murder ",227,0.00213757709873346,0,1,1,1,1,0
"70","surveillance ",225,0.00211874382033052,0,0,1,0,0,0
"78","money ",182,0.00171382833466736,1,0,0,0,1,1
"81","lie ",170,0.00160082866424973,0,1,0,1,1,0
"83","cop ",165,0.00155374546824238,0,0,1,0,0,0
"88","history ",153,0.00144074579782476,1,0,0,0,0,0
"89","case ",152,0.00143132915862329,0,1,1,0,0,0
"92","friend ",147,0.00138424596261594,0,0,0,0,0,1
"96","gov ",139,0.00130891284900419,1,0,0,0,0,0
"102","killing ",134,0.00126182965299685,0,1,1,0,1,0
"114","clean ",125,0.00117707990018362,0,0,0,0,0,1
"118","effort ",119,0.00112058006497481,0,0,0,0,0,1
"126","people ",110,0.00103583031216159,1,0,0,0,0,0
"128","racism ",109,0.00102641367296012,1,0,0,0,0,0
"132","addresses ",109,0.00102641367296012,0,0,0,0,0,1
"133","liberal ",108,0.00101699703375865,0,1,0,0,0,1
"134","busted ",108,0.00101699703375865,0,1,1,0,1,0
"137","donation ",104,0.000979330476952775,0,0,0,0,0,1
"138","feud ",104,0.000979330476952775,0,1,0,0,1,0
"150","real ",99,0.000932247280945431,0,0,0,0,0,1
"153","intrigue ",98,0.000922830641743962,1,1,1,0,0,0
"160","don ",93,0.000875747445736617,0,0,0,0,0,1
"161","top ",92,0.000866330806535148,0,0,0,0,0,1
"169","criminal ",89,0.000838080888930741,0,1,1,1,1,0
"185","tribute ",83,0.000781581053721927,1,0,0,0,0,1
"201","prevent ",72,0.000677998022505768,0,0,1,0,0,0
"205","thug ",70,0.00065916474410283,0,1,1,1,1,0
"215","exposed ",66,0.000621498187296954,0,1,0,0,0,0
"219","prove ",64,0.000602664908894016,0,0,0,0,0,1
"226","governor ",62,0.000583831630491078,1,0,0,0,0,0
"234","investigate ",60,0.00056499835208814,0,0,0,0,0,1
"241","words ",59,0.000555581712886671,0,1,0,0,1,0
"242","victim ",59,0.000555581712886671,0,1,1,0,1,0
"246","city ",58,0.000546165073685202,1,0,0,0,0,0
"251","race ",56,0.000527331795282264,1,0,0,0,0,0
"257","civil ",55,0.000517915156080795,1,0,0,0,0,1
"259","share ",54,0.000508498516879326,0,0,0,0,0,1
"271","talk ",51,0.000480248599274919,0,0,0,0,0,1
"272","resident ",50,0.00047083196007345,0,0,0,0,0,1
"273","struggle ",50,0.00047083196007345,0,1,1,0,1,0
"276","shoot ",50,0.00047083196007345,0,1,1,0,1,0
"277","truth ",49,0.000461415320871981,0,0,0,0,0,1
"309","enjoy ",45,0.000423748764066105,0,0,0,0,0,1
"310","routine ",45,0.000423748764066105,0,0,0,0,0,1
"311","legal ",45,0.000423748764066105,1,0,0,0,0,1
"322","general ",42,0.000395498846461698,0,0,0,0,0,1
"327","blackness ",41,0.000386082207260229,0,1,1,0,0,0
"329","leave ",41,0.000386082207260229,0,1,0,0,0,0
"335","awful ",39,0.000367248928857291,0,1,1,1,1,0
"338","autopsy ",39,0.000367248928857291,0,1,1,1,0,0
"340","casket ",38,0.000357832289655822,0,1,1,0,0,0
"342","badly ",38,0.000357832289655822,0,1,0,0,0,0
"348","finally ",37,0.000348415650454353,0,0,0,1,0,1
"355","community ",37,0.000348415650454353,1,0,0,0,0,1
"369","opinion ",35,0.000329582372051415,1,0,0,0,0,0
"371","untrue ",35,0.000329582372051415,0,1,0,0,0,0
"372","attack ",35,0.000329582372051415,0,1,1,0,1,0
"379","found ",34,0.000320165732849946,0,0,0,0,0,1
"384","good ",34,0.000320165732849946,0,0,0,0,0,1
"402","launch ",31,0.000291915815245539,0,0,0,0,0,1
"415","die ",30,0.00028249917604407,0,1,1,0,0,0
"417","peace ",30,0.00028249917604407,0,0,0,0,0,1
"419","gun ",29,0.000273082536842601,0,1,1,0,1,0
"426","conviction ",28,0.000263665897641132,0,1,0,0,0,0
"428","deserved ",28,0.000263665897641132,0,0,0,0,0,1
"430","arrest ",28,0.000263665897641132,0,1,0,0,0,0
"432","views ",28,0.000263665897641132,1,0,0,0,0,0
"433","bogus ",28,0.000263665897641132,0,1,0,1,1,0
"434","attorney ",28,0.000263665897641132,0,0,1,0,1,1
"438","life ",28,0.000263665897641132,1,0,0,0,0,0
"445","global ",28,0.000263665897641132,1,0,0,0,0,0
"451","tragedy ",27,0.000254249258439663,0,1,1,0,0,0
"456","journalist ",27,0.000254249258439663,0,0,0,0,0,1
"459","alive ",27,0.000254249258439663,0,0,0,0,0,1
"461","slime ",26,0.000244832619238194,0,0,0,1,0,0
"465","politics ",26,0.000244832619238194,1,0,0,0,1,0
"470","august ",26,0.000244832619238194,0,0,0,0,0,1
"473","church ",26,0.000244832619238194,0,0,0,0,0,1
"476","anonymous ",26,0.000244832619238194,0,1,0,0,0,0
"477","bad ",26,0.000244832619238194,0,1,1,1,1,0
"486","change ",25,0.000235415980036725,0,0,1,0,0,0
"488","treat ",24,0.000225999340835256,0,1,1,1,1,1
"490","rest ",24,0.000225999340835256,0,0,0,0,0,1
"493","learning ",24,0.000225999340835256,0,0,0,0,0,1
"502","discussion ",23,0.000216582701633787,0,0,0,0,0,1
"511","brutality ",22,0.000207166062432318,0,1,1,0,1,0
"512","work ",22,0.000207166062432318,1,0,0,0,0,0
"513","fear ",22,0.000207166062432318,0,1,1,0,1,0
"514","store ",22,0.000207166062432318,0,0,0,0,0,1
"521","full ",22,0.000207166062432318,0,0,0,0,0,1
"533","state ",21,0.000197749423230849,1,0,0,0,0,0
"549","create ",20,0.00018833278402938,0,0,0,0,0,1
"558","law ",19,0.000178916144827911,1,0,0,0,0,0
"560","liberty ",19,0.000178916144827911,0,0,0,0,0,1
"568","kind ",19,0.000178916144827911,0,0,0,0,0,1
"571","deny ",19,0.000178916144827911,0,1,0,0,1,0
"572","world ",19,0.000178916144827911,1,0,0,0,0,0
"574","resources ",19,0.000178916144827911,0,0,0,0,0,1
"583","action ",19,0.000178916144827911,1,0,0,0,0,1
"587","accurate ",18,0.000169499505626442,0,0,0,0,0,1
"588","president ",18,0.000169499505626442,1,0,0,0,0,1
