"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"13","love ",282,0.00332668782219915,0,0,0,0,0,1
"40","good ",146,0.00172232773773431,0,0,0,0,0,1
"76","people ",91,0.00107350564475221,1,0,0,0,0,0
"98","hope ",72,0.000849367103540209,0,0,0,0,0,1
"106","life ",67,0.000790383276905472,1,0,0,0,0,0
"108","shit ",66,0.000778586511578525,0,1,0,1,1,0
"110","work ",65,0.000766789746251578,1,0,0,0,0,0
"122","hate ",59,0.000696009154289894,0,1,1,1,1,0
"130","wait ",56,0.000660618858309052,0,1,0,0,0,0
"144","watch ",52,0.000613431797001262,0,0,1,0,0,0
"171","sin ",46,0.000542651205039578,0,1,1,1,1,0
"172","happy ",46,0.000542651205039578,0,0,0,0,0,1
"183","real ",44,0.000519057674385683,0,0,0,0,0,1
"185","bad ",44,0.000519057674385683,0,1,1,1,1,0
"235","world ",37,0.000436480317097052,1,0,0,0,0,0
"243","cute ",36,0.000424683551770105,0,0,0,0,0,1
"266","ass ",34,0.00040109002111621,0,1,0,0,0,0
"281","birthday ",32,0.000377496490462315,0,0,0,0,0,1
"297","talk ",31,0.000365699725135368,0,0,0,0,0,1
"317","god ",29,0.000342106194481473,0,0,1,0,0,1
"323","rising ",29,0.000342106194481473,0,0,0,0,0,1
"358","cool ",26,0.000306715898500631,0,0,0,0,0,1
"364","friend ",26,0.000306715898500631,0,0,0,0,0,1
"367","hot ",26,0.000306715898500631,0,0,0,0,1,0
"368","baby ",26,0.000306715898500631,0,0,0,0,0,1
"371","job ",25,0.000294919133173684,0,0,0,0,0,1
"383","food ",25,0.000294919133173684,0,0,0,0,0,1
"399","bitch ",24,0.000283122367846736,0,1,1,1,1,0
"418","games ",23,0.000271325602519789,1,0,0,0,0,0
"424","lost ",23,0.000271325602519789,0,1,0,0,0,0
"443","news ",22,0.000259528837192842,1,0,0,0,0,0
"453","mad ",22,0.000259528837192842,0,1,1,1,1,0
"456","change ",22,0.000259528837192842,0,0,1,0,0,0
"462","saber ",21,0.000247732071865894,0,1,1,0,1,0
"471","sea ",21,0.000247732071865894,0,0,0,0,0,1
"481","fun ",21,0.000247732071865894,0,0,0,0,0,1
"485","leave ",20,0.000235935306538947,0,1,0,0,0,0
"486","eat ",20,0.000235935306538947,0,0,0,0,0,1
"498","pay ",20,0.000235935306538947,0,0,0,0,0,1
"509","music ",20,0.000235935306538947,0,0,0,0,0,1
"522","swear ",19,0.000224138541212,0,0,0,0,0,1
"526","late ",19,0.000224138541212,0,1,0,0,0,0
"544","pretty ",18,0.000212341775885052,0,0,0,0,0,1
"558","bout ",18,0.000212341775885052,0,1,0,0,1,0
"560","falling ",18,0.000212341775885052,0,1,0,0,0,0
"582","problem ",17,0.000200545010558105,0,1,1,0,0,0
"606","hit ",16,0.000188748245231158,0,1,0,0,1,0
"609","kill ",16,0.000188748245231158,0,1,1,0,0,0
"617","business ",16,0.000188748245231158,1,0,0,0,0,0
"621","deserve ",16,0.000188748245231158,0,0,0,0,1,1
"625","wrong ",16,0.000188748245231158,0,1,0,0,0,0
"635","social ",16,0.000188748245231158,1,0,0,0,0,0
"639","money ",16,0.000188748245231158,1,0,0,0,1,1
"651","cry ",16,0.000188748245231158,0,1,0,0,0,0
"652","city ",16,0.000188748245231158,1,0,0,0,0,0
"659","feeling ",15,0.00017695147990421,0,1,1,1,1,1
"665","crazy ",15,0.00017695147990421,0,1,1,0,1,0
"672","found ",15,0.00017695147990421,0,0,0,0,0,1
"675","reading ",15,0.00017695147990421,0,0,0,0,0,1
"679","die ",15,0.00017695147990421,0,1,1,0,0,0
"681","lose ",15,0.00017695147990421,0,1,1,1,1,0
"690","save ",15,0.00017695147990421,0,0,0,0,0,1
"696","damn ",15,0.00017695147990421,0,1,0,1,1,0
"711","gift ",14,0.000165154714577263,0,0,0,0,0,1
"717","gold ",14,0.000165154714577263,0,0,0,0,0,1
"725","wear ",14,0.000165154714577263,0,1,0,0,0,0
"730","tired ",14,0.000165154714577263,0,1,0,0,0,0
"740","enjoy ",14,0.000165154714577263,0,0,0,0,0,1
"757","beautiful ",14,0.000165154714577263,0,0,0,0,0,1
"759","finally ",13,0.000153357949250316,0,0,0,1,0,1
"761","strike ",13,0.000153357949250316,0,1,0,0,1,0
"777","store ",13,0.000153357949250316,0,0,0,0,0,1
"780","perfect ",13,0.000153357949250316,0,0,0,0,0,1
"781","vote ",13,0.000153357949250316,0,1,0,0,1,1
"783","rest ",13,0.000153357949250316,0,0,0,0,0,1
"789","deal ",13,0.000153357949250316,0,0,0,0,0,1
"804","lead ",13,0.000153357949250316,0,0,0,0,0,1
"805","glad ",13,0.000153357949250316,0,0,0,0,0,1
"829","smile ",12,0.000141561183923368,0,0,0,0,0,1
"831","ugly ",12,0.000141561183923368,0,1,0,1,0,0
"838","forget ",12,0.000141561183923368,0,1,0,0,0,0
"843","hell ",12,0.000141561183923368,0,1,1,1,1,0
