"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","church ",9648,0.0969521570046125,0,0,0,0,0,1
"3","shooting ",3544,0.0356134374403344,0,1,1,0,1,0
"6","massacre ",1222,0.0122798026388512,0,1,1,1,1,0
"11","attack ",742,0.00745631224061178,0,1,1,0,1,0
"14","news ",597,0.00599921618281029,1,0,0,0,0,0
"18","powerful ",589,0.00591882467617296,0,0,1,1,1,1
"24","people ",355,0.00356737310703124,1,0,0,0,0,0
"37","confederate ",268,0.00269311547235035,0,0,0,0,0,1
"40","shooter ",258,0.00259262608905369,0,0,1,0,0,0
"45","unity ",229,0.00230120687749339,0,0,0,0,0,1
"46","congregation ",229,0.00230120687749339,0,0,0,0,0,1
"49","triumph ",221,0.00222081537085607,0,0,0,0,0,1
"50","tragedy ",219,0.00220071749419674,0,1,1,0,0,0
"53","faith ",199,0.00199973872760343,0,0,0,0,0,1
"56","suspect ",184,0.00184900465265845,0,1,1,0,0,0
"58","devil ",181,0.00181885783766945,0,1,1,1,1,0
"59","kill ",180,0.00180880889933978,0,1,1,0,0,0
"73","violence ",155,0.00155758544109815,0,1,1,0,1,0
"74","hate ",153,0.00153748756443882,0,1,1,1,1,0
"76","lost ",147,0.00147719393446082,0,1,0,0,0,0
"82","love ",140,0.00140685136615317,0,0,0,0,0,1
"83","mother ",140,0.00140685136615317,0,1,0,0,0,1
"85","healing ",136,0.0013666556128345,0,0,0,0,0,1
"86","gun ",135,0.00135660667450484,0,1,1,0,1,0
"88","pastor ",134,0.00134655773617517,0,0,0,0,0,1
"92","calls ",131,0.00131641092118618,0,1,0,0,0,0
"94","racism ",130,0.00130636198285651,1,0,0,0,0,0
"99","deadly ",126,0.00126616622953785,0,1,1,1,1,0
"105","president ",117,0.00117572578457086,1,0,0,0,0,1
"108","action ",111,0.00111543215459287,1,0,0,0,0,1
"110","addresses ",109,0.00109533427793354,0,0,0,0,0,1
"111","killing ",109,0.00109533427793354,0,1,1,0,1,0
"116","grief ",106,0.00106518746294454,0,1,0,0,0,0
"121","gratitude ",102,0.00102499170962588,0,0,0,0,0,1
"122","race ",100,0.00100489383296655,1,0,0,0,0,0
"124","shot ",98,0.000984795956307216,0,1,1,0,1,0
"128","demon ",97,0.000974747017977551,0,1,1,1,1,0
"130","armed ",96,0.000964698079647885,0,1,1,0,1,1
