"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"33","love ",227,0.00192598123228861,0,0,0,0,0,1
"52","people ",171,0.00145084929833195,1,0,0,0,0,0
"59","good ",159,0.00134903531248409,0,0,0,0,0,1
"106","work ",91,0.000772089392679574,1,0,0,0,0,0
"110","shit ",87,0.000738151397396956,0,1,0,1,1,0
"116","life ",81,0.000687244404473028,1,0,0,0,0,0
"131","hope ",72,0.000610883915087136,0,0,0,0,0,1
"147","real ",69,0.000585430418625172,0,0,0,0,0,1
"159","money ",64,0.000543007924521898,1,0,0,0,1,1
"175","bad ",60,0.00050906992923928,0,1,1,1,1,0
"209","wait ",54,0.000458162936315352,0,1,0,0,0,0
"217","sin ",53,0.000449678437494697,0,1,1,1,1,0
"223","watch ",51,0.000432709439853388,0,0,1,0,0,0
"231","hate ",50,0.000424224941032733,0,1,1,1,1,0
"254","ass ",46,0.000390286945750115,0,1,0,0,0,0
"298","happy ",42,0.000356348950467496,0,0,0,0,0,1
"307","world ",41,0.000347864451646841,1,0,0,0,0,0
"321","wrong ",39,0.000330895454005532,0,1,0,0,0,0
"335","working ",38,0.000322410955184877,0,0,0,0,0,1
"343","deal ",37,0.000313926456364223,0,0,0,0,0,1
"347","trump ",37,0.000313926456364223,1,0,0,0,0,0
"355","god ",36,0.000305441957543568,0,0,1,0,0,1
"356","social ",36,0.000305441957543568,1,0,0,0,0,0
"364","vote ",35,0.000296957458722913,0,1,0,0,1,1
"393","pretty ",33,0.000279988461081604,0,0,0,0,0,1
"395","leave ",33,0.000279988461081604,0,1,0,0,0,0
"397","top ",33,0.000279988461081604,0,0,0,0,0,1
"401","fun ",33,0.000279988461081604,0,0,0,0,0,1
"410","saber ",32,0.000271503962260949,0,1,1,0,1,0
"437","sea ",31,0.000263019463440295,0,0,0,0,0,1
"443","change ",31,0.000263019463440295,0,0,1,0,0,0
"445","media ",30,0.00025453496461964,1,0,0,0,0,0
"453","kind ",30,0.00025453496461964,0,0,0,0,0,1
"463","talk ",30,0.00025453496461964,0,0,0,0,0,1
"465","agree ",29,0.000246050465798985,0,0,0,0,0,1
"486","proud ",28,0.000237565966978331,0,0,0,0,0,1
"504","reason ",27,0.000229081468157676,0,0,0,0,0,1
"531","friend ",26,0.000220596969337021,0,0,0,0,0,1
"533","games ",26,0.000220596969337021,1,0,0,0,0,0
"538","baby ",26,0.000220596969337021,0,0,0,0,0,1
"539","music ",26,0.000220596969337021,0,0,0,0,0,1
"542","hit ",25,0.000212112470516367,0,1,0,0,1,0
"557","birthday ",25,0.000212112470516367,0,0,0,0,0,1
"561","sex ",25,0.000212112470516367,0,0,0,0,0,1
"578","giving ",24,0.000203627971695712,0,0,0,0,0,1
"586","lost ",24,0.000203627971695712,0,1,0,0,0,0
"592","rest ",23,0.000195143472875057,0,0,0,0,0,1
"595","found ",23,0.000195143472875057,0,0,0,0,0,1
"606","damn ",23,0.000195143472875057,0,1,0,1,1,0
"607","beautiful ",23,0.000195143472875057,0,0,0,0,0,1
"614","business ",22,0.000186658974054403,1,0,0,0,0,0
"621","news ",22,0.000186658974054403,1,0,0,0,0,0
"623","pay ",22,0.000186658974054403,0,0,0,0,0,1
"626","glad ",22,0.000186658974054403,0,0,0,0,0,1
"629","learn ",22,0.000186658974054403,0,0,0,0,0,1
"639","worth ",22,0.000186658974054403,0,0,0,0,0,1
"646","cute ",21,0.000178174475233748,0,0,0,0,0,1
"648","full ",21,0.000178174475233748,0,0,0,0,0,1
"655","public ",21,0.000178174475233748,1,0,0,0,0,1
"671","share ",20,0.000169689976413093,0,0,0,0,0,1
"674","deserve ",20,0.000169689976413093,0,0,0,0,1,1
"707","city ",20,0.000169689976413093,1,0,0,0,0,0
"711","excited ",20,0.000169689976413093,0,0,0,0,0,1
"719","eat ",19,0.000161205477592439,0,0,0,0,0,1
"721","forget ",19,0.000161205477592439,0,1,0,0,0,0
"725","party ",19,0.000161205477592439,1,0,0,0,0,0
"728","late ",19,0.000161205477592439,0,1,0,0,0,0
"731","credit ",19,0.000161205477592439,0,0,0,0,0,1
"736","food ",19,0.000161205477592439,0,0,0,0,0,1
"738","small ",19,0.000161205477592439,0,1,0,0,0,0
"748","law ",18,0.000152720978771784,1,0,0,0,0,0
"757","favorite ",18,0.000152720978771784,0,0,0,0,0,1
"758","join ",18,0.000152720978771784,0,0,0,0,0,1
"760","battle ",18,0.000152720978771784,0,1,0,0,1,0
"764","fight ",18,0.000152720978771784,0,1,1,0,1,0
"770","cool ",18,0.000152720978771784,0,0,0,0,0,1
"776","joke ",18,0.000152720978771784,0,1,0,0,0,0
"779","group ",18,0.000152720978771784,1,0,0,0,0,0
"783","mad ",18,0.000152720978771784,0,1,1,1,1,0
"793","hell ",17,0.000144236479951129,0,1,1,1,1,0
"799","words ",17,0.000144236479951129,0,1,0,0,1,0
"806","bitch ",17,0.000144236479951129,0,1,1,1,1,0
"807","tired ",17,0.000144236479951129,0,1,0,0,0,0
"810","government ",17,0.000144236479951129,1,1,1,0,0,0
"826","shot ",16,0.000135751981130475,0,1,1,0,1,0
"828","feeling ",16,0.000135751981130475,0,1,1,1,1,1
"829","dinner ",16,0.000135751981130475,0,0,0,0,0,1
"830","control ",16,0.000135751981130475,1,0,0,0,0,0
"832","issues ",16,0.000135751981130475,1,0,0,0,0,0
"836","human ",16,0.000135751981130475,1,0,0,0,0,0
"846","state ",16,0.000135751981130475,1,0,0,0,0,0
"851","lose ",16,0.000135751981130475,0,1,1,1,1,0
"853","power ",16,0.000135751981130475,1,0,0,0,0,0
"855","dumb ",16,0.000135751981130475,0,1,0,0,0,0
"856","fake ",16,0.000135751981130475,0,1,0,0,0,0
"868","country ",16,0.000135751981130475,1,0,0,0,0,0
"873","question ",15,0.00012726748230982,0,0,0,0,0,1
"879","job ",15,0.00012726748230982,0,0,0,0,0,1
"885","crazy ",15,0.00012726748230982,0,1,1,0,1,0
"886","problem ",15,0.00012726748230982,0,1,1,0,0,0
"888","president ",15,0.00012726748230982,1,0,0,0,0,1
"896","history ",15,0.00012726748230982,1,0,0,0,0,0
"901","actual ",15,0.00012726748230982,0,0,0,0,0,1
"902","die ",15,0.00012726748230982,0,1,1,0,0,0
"909","enjoy ",15,0.00012726748230982,0,0,0,0,0,1
"916","respect ",15,0.00012726748230982,0,0,0,0,0,1
"932","child ",14,0.000118782983489165,0,0,0,0,0,1
"945","main ",14,0.000118782983489165,0,0,0,0,0,1
"952","swear ",14,0.000118782983489165,0,0,0,0,0,1
"956","perfect ",14,0.000118782983489165,0,0,0,0,0,1
"960","issue ",14,0.000118782983489165,1,0,0,0,0,0
"966","cold ",14,0.000118782983489165,0,1,0,0,0,0
"976","lead ",14,0.000118782983489165,0,0,0,0,0,1
"985","hot ",14,0.000118782983489165,0,0,0,0,1,0
"991","health ",14,0.000118782983489165,1,0,0,0,0,0
"1000","terrible ",13,0.000110298484668511,0,1,1,1,1,0
"1014","hurt ",13,0.000110298484668511,0,1,1,0,1,0
"1018","stupid ",13,0.000110298484668511,0,1,0,0,0,0
"1022","tax ",13,0.000110298484668511,0,1,0,0,0,0
"1023","crying ",13,0.000110298484668511,0,1,0,0,0,0
"1033","whatever ",13,0.000110298484668511,1,0,0,0,0,0
"1038","word ",13,0.000110298484668511,0,0,0,0,0,1
"1041","brother ",13,0.000110298484668511,0,0,0,0,0,1
"1042","radio ",13,0.000110298484668511,0,0,0,0,0,1
"1068","community ",13,0.000110298484668511,1,0,0,0,0,1
"1070","pick ",13,0.000110298484668511,0,0,0,0,0,1
"1083","special ",13,0.000110298484668511,0,0,0,0,0,1
"1085","legal ",13,0.000110298484668511,1,0,0,0,0,1
"1090","cry ",13,0.000110298484668511,0,1,0,0,0,0
"1102","political ",12,0.000101813985847856,1,0,0,0,0,0
"1112","professor ",12,0.000101813985847856,0,0,0,0,0,1
"1127","foreign ",12,0.000101813985847856,1,1,0,0,0,0
"1131","lord ",12,0.000101813985847856,0,1,0,1,0,1
"1150","player ",12,0.000101813985847856,0,1,0,0,0,0
"1151","content ",12,0.000101813985847856,0,0,0,0,0,1
"1154","worry ",12,0.000101813985847856,0,1,1,0,0,0
