"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"3","attack ",1242,0.00781692534269854,0,1,1,0,1,0
"13","shooting ",641,0.00403433908588548,0,1,1,0,1,0
"14","news ",571,0.00359377163500875,1,0,0,0,0,0
"17","global ",535,0.00336719408884357,1,0,0,0,0,0
"18","terror ",515,0.00324131767430737,0,1,1,0,0,0
"19","terrorist ",496,0.00312173508049797,0,1,1,1,1,0
"21","calls ",476,0.00299585866596176,0,1,0,0,0,0
"22","people ",470,0.0029580957416009,1,0,0,0,0,0
"23","fight ",461,0.0029014513550596,0,1,1,0,1,0
"26","massacre ",447,0.00281333786488426,0,1,1,1,1,0
"38","die ",321,0.00202031645330614,0,1,1,0,0,0
"40","media ",314,0.00197625970821847,1,0,0,0,0,0
"48","community ",253,0.00159233664388304,1,0,0,0,0,1
"51","world ",236,0.00148534169152726,1,0,0,0,0,0
"53","hate ",231,0.00145387258789321,0,1,1,1,1,0
"58","prime ",208,0.00130911471117657,0,0,0,0,0,1
"75","gun ",176,0.00110771244791863,0,1,1,0,1,0
"84","shooter ",154,0.000969248391928804,0,0,1,0,0,0
"89","australia ",153,0.000962954571201994,1,0,0,0,0,0
"94","racism ",146,0.000918897826114321,1,0,0,0,0,0
"96","love ",143,0.00090001636393389,0,0,0,0,0,1
"101","police ",138,0.000868547260299838,1,0,1,0,0,1
"113","tragedy ",132,0.000830784335938975,0,1,1,0,0,0
"130","lost ",119,0.00074896466649044,0,1,0,0,0,0
"133","president ",118,0.000742670845763629,1,0,0,0,0,1
"137","life ",116,0.000730083204310008,1,0,0,0,0,0
"139","leader ",116,0.000730083204310008,1,0,0,0,0,1
"145","terrorism ",114,0.000717495562856388,0,1,1,1,1,0
"165","tribute ",100,0.000629382072681042,1,0,0,0,0,1
"178","social ",94,0.000591619148320179,1,0,0,0,0,0
"188","violence ",91,0.000572737686139748,0,1,1,0,1,0
"201","war ",87,0.000547562403232506,1,1,1,0,0,0
"212","buried ",83,0.000522387120325265,0,1,1,0,0,0
"215","confront ",82,0.000516093299598454,0,0,0,0,1,0
"216","leadership ",82,0.000516093299598454,1,0,0,0,0,0
"217","respect ",82,0.000516093299598454,0,0,0,0,0,1
"221","good ",81,0.000509799478871644,0,0,0,0,0,1
"229","speech ",78,0.000490918016691213,0,0,0,0,0,1
"232","country ",78,0.000490918016691213,1,0,0,0,0,0
"233","city ",78,0.000490918016691213,1,0,0,0,0,0
"235","rest ",77,0.000484624195964402,0,0,0,0,0,1
"237","events ",77,0.000484624195964402,1,0,0,0,0,0
"242","deny ",76,0.000478330375237592,0,1,0,0,1,0
"244","trump ",76,0.000478330375237592,1,0,0,0,0,0
"248","peace ",75,0.000472036554510781,0,0,0,0,0,1
"264","premier ",71,0.00044686127160354,0,0,0,0,0,1
"285","words ",67,0.000421685988696298,0,1,0,0,1,0
"319","condolence ",61,0.000383923064335435,0,0,0,0,0,1
"329","guard ",60,0.000377629243608625,0,0,1,0,0,1
"330","change ",60,0.000377629243608625,0,0,1,0,0,0
"332","pay ",59,0.000371335422881815,0,0,0,0,0,1
"336","killing ",59,0.000371335422881815,0,1,1,0,1,0
"337","hero ",58,0.000365041602155004,0,0,0,0,0,1
"340","suspect ",58,0.000365041602155004,0,1,1,0,0,0
"344","radio ",57,0.000358747781428194,0,0,0,0,0,1
"346","visit ",57,0.000358747781428194,0,0,0,0,0,1
"349","action ",57,0.000358747781428194,1,0,0,0,0,1
"354","hope ",55,0.000346160139974573,0,0,0,0,0,1
"359","real ",55,0.000346160139974573,0,0,0,0,0,1
"360","victim ",55,0.000346160139974573,0,1,1,0,1,0
"371","ideology ",53,0.000333572498520952,1,0,0,0,0,0
"372","religion ",53,0.000333572498520952,1,0,0,0,0,0
"375","beautiful ",53,0.000333572498520952,0,0,0,0,0,1
"379","join ",52,0.000327278677794142,0,0,0,0,0,1
"383","church ",52,0.000327278677794142,0,0,0,0,0,1
"387","parliament ",51,0.000320984857067331,1,0,0,0,0,0
"391","guardian ",51,0.000320984857067331,0,0,0,0,0,1
"392","gang ",51,0.000320984857067331,0,1,1,0,1,0
"397","political ",50,0.000314691036340521,1,0,0,0,0,0
"399","harry ",50,0.000314691036340521,0,1,0,0,1,0
"402","accused ",49,0.00030839721561371,0,1,1,0,1,0
"405","rhetoric ",49,0.00030839721561371,1,0,0,0,0,0
"418","aftermath ",48,0.0003021033948869,0,1,1,1,1,0
"431","confirmed ",45,0.000283221932706469,0,0,0,0,0,1
"433","blame ",45,0.000283221932706469,0,1,0,1,1,0
"436","learn ",45,0.000283221932706469,0,0,0,0,0,1
"438","special ",45,0.000283221932706469,0,0,0,0,0,1
"441","watch ",44,0.000276928111979658,0,0,1,0,0,0
"447","public ",44,0.000276928111979658,1,0,0,0,0,1
"452","fear ",43,0.000270634291252848,0,1,1,0,1,0
"455","proud ",43,0.000270634291252848,0,0,0,0,0,1
"460","work ",42,0.000264340470526038,1,0,0,0,0,0
"465","human ",42,0.000264340470526038,1,0,0,0,0,0
"471","government ",42,0.000264340470526038,1,1,1,0,0,0
"476","hatred ",42,0.000264340470526038,0,1,1,1,1,0
"477","humanity ",42,0.000264340470526038,0,0,0,0,0,1
"478","deadly ",42,0.000264340470526038,0,1,1,1,1,0
"479","compassion ",42,0.000264340470526038,0,0,1,0,0,1
"483","pray ",41,0.000258046649799227,0,0,1,0,0,1
"488","horrific ",41,0.000258046649799227,0,1,1,1,1,0
"489","international ",41,0.000258046649799227,1,0,0,0,0,0
"492","tragic ",41,0.000258046649799227,0,1,0,0,0,0
"498","death ",40,0.000251752829072417,0,1,1,1,1,0
"500","group ",40,0.000251752829072417,1,0,0,0,0,0
"516","supremacy ",39,0.000245459008345606,1,1,1,0,1,1
"519","shot ",38,0.000239165187618796,0,1,1,0,1,0
"537","manifesto ",37,0.000232871366891985,1,0,0,0,0,0
"541","dun ",37,0.000232871366891985,0,1,0,0,0,0
"544","reject ",37,0.000232871366891985,0,1,1,0,1,0
"553","truth ",36,0.000226577546165175,0,0,0,0,0,1
"558","foreign ",36,0.000226577546165175,1,1,0,0,0,0
"564","god ",36,0.000226577546165175,0,0,1,0,0,1
"568","full ",36,0.000226577546165175,0,0,0,0,0,1
"569","power ",36,0.000226577546165175,1,0,0,0,0,0
"570","money ",36,0.000226577546165175,1,0,0,0,1,1
"579","continue ",35,0.000220283725438365,0,0,0,0,0,1
"583","electoral ",35,0.000220283725438365,1,0,0,0,0,0
"586","faith ",35,0.000220283725438365,0,0,0,0,0,1
"599","statement ",34,0.000213989904711554,0,0,0,0,0,1
"600","murder ",34,0.000213989904711554,0,1,1,1,1,0
"601","france ",34,0.000213989904711554,1,0,0,0,0,0
"607","politics ",34,0.000213989904711554,1,0,0,0,1,0
"614","tree ",34,0.000213989904711554,0,0,0,1,1,1
"619","bad ",34,0.000213989904711554,0,1,1,1,1,0
"630","hypocrisy ",33,0.000207696083984744,0,1,0,0,0,0
"632","united ",33,0.000207696083984744,0,0,0,0,0,1
"634","race ",33,0.000207696083984744,1,0,0,0,0,0
"643","religious ",32,0.000201402263257933,1,0,0,0,0,0
"645","unity ",32,0.000201402263257933,0,0,0,0,0,1
"646","share ",32,0.000201402263257933,0,0,0,0,0,1
"649","content ",32,0.000201402263257933,0,0,0,0,0,1
"652","actions ",32,0.000201402263257933,1,0,0,0,0,0
"665","injured ",32,0.000201402263257933,0,1,1,0,0,0
"666","talk ",32,0.000201402263257933,0,0,0,0,0,1
"673","propaganda ",31,0.000195108442531123,1,1,0,0,0,0
"674","brother ",31,0.000195108442531123,0,0,0,0,0,1
"681","powerful ",31,0.000195108442531123,0,0,1,1,1,1
"695","council ",30,0.000188814621804313,0,0,0,0,0,1
"700","threat ",30,0.000188814621804313,0,1,1,0,1,0
"701","state ",30,0.000188814621804313,1,0,0,0,0,0
"717","sky ",29,0.000182520801077502,0,0,0,0,0,1
