"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"26","people ",236,0.00203590438150778,1,0,0,0,0,0
"42","good ",186,0.00160456870745952,0,0,0,0,0,1
"46","love ",180,0.00155280842657373,0,0,0,0,0,1
"138","hope ",71,0.000612496657148526,0,0,0,0,0,1
"144","life ",70,0.000603869943667561,1,0,0,0,0,0
"158","bad ",67,0.000577989803224665,0,1,1,1,1,0
"165","shit ",63,0.000543482949300805,0,1,0,1,1,0
"179","watch ",58,0.000500349381895979,0,0,1,0,0,0
"189","sin ",57,0.000491722668415014,0,1,1,1,1,0
"193","work ",56,0.000483095954934049,1,0,0,0,0,0
"194","hate ",56,0.000483095954934049,0,1,1,1,1,0
"220","games ",51,0.000439962387529223,1,0,0,0,0,0
"221","happy ",51,0.000439962387529223,0,0,0,0,0,1
"225","world ",50,0.000431335674048258,1,0,0,0,0,0
"232","real ",49,0.000422708960567293,0,0,0,0,0,1
"249","wait ",46,0.000396828820124397,0,1,0,0,0,0
"292","top ",40,0.000345068539238606,0,0,0,0,0,1
"307","country ",39,0.000336441825757641,1,0,0,0,0,0
"340","fun ",36,0.000310561685314746,0,0,0,0,0,1
"345","god ",35,0.000301934971833781,0,0,1,0,0,1
"361","money ",34,0.000293308258352815,1,0,0,0,1,1
"367","vote ",33,0.00028468154487185,0,1,0,0,1,1
"371","friend ",33,0.00028468154487185,0,0,0,0,0,1
"384","crazy ",32,0.000276054831390885,0,1,1,0,1,0
"386","kind ",32,0.000276054831390885,0,0,0,0,0,1
"389","full ",32,0.000276054831390885,0,0,0,0,0,1
"400","sea ",31,0.00026742811790992,0,0,0,0,0,1
"406","lost ",31,0.00026742811790992,0,1,0,0,0,0
"417","achievement ",30,0.000258801404428955,0,0,0,0,0,1
"432","agree ",29,0.00025017469094799,0,0,0,0,0,1
"451","pretty ",28,0.000241547977467024,0,0,0,0,0,1
"457","human ",28,0.000241547977467024,1,0,0,0,0,0
"458","wrong ",28,0.000241547977467024,0,1,0,0,0,0
"466","change ",28,0.000241547977467024,0,0,1,0,0,0
"467","level ",28,0.000241547977467024,0,0,0,0,0,1
"475","hell ",27,0.000232921263986059,0,1,1,1,1,0
"476","favorite ",27,0.000232921263986059,0,0,0,0,0,1
"480","tired ",27,0.000232921263986059,0,1,0,0,0,0
"481","social ",27,0.000232921263986059,1,0,0,0,0,0
"489","damn ",27,0.000232921263986059,0,1,0,1,1,0
"493","job ",26,0.000224294550505094,0,0,0,0,0,1
"498","gun ",26,0.000224294550505094,0,1,1,0,1,0
"500","fight ",26,0.000224294550505094,0,1,1,0,1,0
"501","ass ",26,0.000224294550505094,0,1,0,0,0,0
"502","cool ",26,0.000224294550505094,0,0,0,0,0,1
"528","state ",25,0.000215667837024129,1,0,0,0,0,0
"529","pay ",25,0.000215667837024129,0,0,0,0,0,1
"533","working ",25,0.000215667837024129,0,0,0,0,0,1
"540","party ",24,0.000207041123543164,1,0,0,0,0,0
"541","late ",24,0.000207041123543164,0,1,0,0,0,0
