"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"3","church ",4707,0.0333038525489086,0,0,0,0,0,1
"4","shooting ",3987,0.0282095730003184,0,1,1,0,1,0
"7","people ",1397,0.00988431740191743,1,0,0,0,0,0
"9","shot ",962,0.0068065235079775,0,1,1,0,1,0
"13","shooter ",783,0.00554002900909187,0,0,1,0,0,0
"21","suspect ",685,0.00484664095942265,0,1,1,0,0,0
"29","hate ",516,0.00365090034315633,0,1,1,1,1,0
"31","injured ",474,0.00335373403615523,0,1,1,0,0,0
"32","community ",462,0.00326882937701206,1,0,0,0,0,1
"34","gun ",443,0.00313439700003538,0,1,1,0,1,0
"42","violence ",341,0.00241270739731843,0,1,1,0,1,0
"56","john ",286,0.00202356104291223,0,1,0,1,0,0
"64","news ",267,0.00188912866593554,1,0,0,0,0,0
"67","crime ",259,0.0018325255598401,0,1,0,0,1,0
"74","police ",237,0.00167686701807762,1,0,1,0,0,1
"85","doctor ",209,0.00147875614674355,0,0,0,0,0,1
"86","deadly ",207,0.00146460537021969,0,1,1,1,1,0
"88","hero ",204,0.0014433792054339,0,0,0,0,0,1
"97","attack ",191,0.0013513991580288,0,1,1,0,1,0
"104","city ",173,0.00122404216931404,1,0,0,0,0,0
"109","life ",163,0.00115328828669473,1,0,0,0,0,0
"112","pastor ",158,0.00111791134538508,0,0,0,0,0,1
"113","congregation ",158,0.00111791134538508,0,0,0,0,0,1
"114","fire ",158,0.00111791134538508,0,0,1,0,0,0
"118","murder ",151,0.00106838362755156,0,1,1,1,1,0
"119","motive ",147,0.00104008207450384,0,0,0,0,0,1
"120","lost ",145,0.00102593129797998,0,1,0,0,0,0
"137","politically ",131,0.000926875862312944,1,0,0,0,0,0
"142","hit ",127,0.000898574309265221,0,1,0,0,1,0
"148","political ",120,0.000849046591431705,1,0,0,0,0,0
"151","killing ",119,0.000841971203169774,0,1,1,0,1,0
"161","country ",109,0.000771217320550465,1,0,0,0,0,0
"168","retirement ",103,0.00072876499097888,0,1,1,0,0,1
"176","world ",98,0.000693388049669226,1,0,0,0,0,0
"197","hatred ",88,0.000622634167049917,0,1,1,1,1,0
"214","save ",80,0.00056603106095447,0,0,0,0,0,1
"218","store ",79,0.000558955672692539,0,0,0,0,0,1
"220","pray ",78,0.000551880284430608,0,0,1,0,0,1
"224","tragedy ",77,0.000544804896168677,0,1,1,0,0,0
"226","victim ",75,0.000530654119644816,0,1,1,0,1,0
"227","good ",75,0.000530654119644816,0,0,0,0,0,1
"234","senseless ",72,0.000509427954859023,0,1,1,1,1,0
"235","join ",72,0.000509427954859023,0,0,0,0,0,1
"237","media ",71,0.000502352566597092,1,0,0,0,0,0
"238","statement ",71,0.000502352566597092,0,0,0,0,0,1
"249","evil ",69,0.00048820179007323,0,1,1,1,1,0
"265","racism ",63,0.000445749460501645,1,0,0,0,0,0
"268","flea ",63,0.000445749460501645,0,1,0,1,0,0
"269","tragic ",63,0.000445749460501645,0,1,0,0,0,0
"276","safe ",62,0.000438674072239714,0,0,0,0,0,1
"279","control ",61,0.000431598683977783,1,0,0,0,0,0
"281","love ",61,0.000431598683977783,0,0,0,0,0,1
"286","absolute ",60,0.000424523295715852,0,0,0,0,0,1
"289","group ",60,0.000424523295715852,1,0,0,0,0,0
"292","horrific ",59,0.000417447907453922,0,1,1,1,1,0
"298","work ",57,0.00040329713093006,1,0,0,0,0,0
"299","found ",57,0.00040329713093006,0,0,0,0,0,1
