"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"28","love ",246,0.00208647860087191,0,0,0,0,0,1
"52","people ",168,0.0014249122152296,1,0,0,0,0,0
"54","good ",162,0.00137402249325711,0,0,0,0,0,1
"127","real ",76,0.000644603144984818,0,0,0,0,0,1
"132","bad ",74,0.000627639904327323,0,1,1,1,1,0
"151","life ",67,0.000568268562026089,1,0,0,0,0,0
"158","wait ",64,0.000542823701039847,0,1,0,0,0,0
"165","work ",62,0.000525860460382351,1,0,0,0,0,0
"168","hope ",61,0.000517378840053604,0,0,0,0,0,1
"180","sin ",59,0.000500415599396109,0,1,1,1,1,0
"186","shit ",58,0.000491933979067361,0,1,0,1,1,0
"193","hate ",56,0.000474970738409866,0,1,1,1,1,0
"213","talk ",53,0.000449525877423623,0,0,0,0,0,1
"216","watch ",52,0.000441044257094875,0,0,1,0,0,0
"224","god ",51,0.000432562636766128,0,0,1,0,0,1
"245","trump ",47,0.000398636155451137,1,0,0,0,0,0
"250","world ",46,0.00039015453512239,1,0,0,0,0,0
"265","ass ",43,0.000364709674136147,0,1,0,0,0,0
"272","happy ",43,0.000364709674136147,0,0,0,0,0,1
"276","saber ",42,0.000356228053807399,0,1,1,0,1,0
"281","sea ",41,0.000347746433478652,0,0,0,0,0,1
"299","fun ",39,0.000330783192821157,0,0,0,0,0,1
"322","pretty ",37,0.000313819952163661,0,0,0,0,0,1
"323","top ",37,0.000313819952163661,0,0,0,0,0,1
"335","wrong ",36,0.000305338331834914,0,1,0,0,0,0
"342","money ",36,0.000305338331834914,1,0,0,0,1,1
"345","change ",36,0.000305338331834914,0,0,1,0,0,0
"392","media ",32,0.000271411850519923,1,0,0,0,0,0
"397","news ",32,0.000271411850519923,1,0,0,0,0,0
"405","vote ",31,0.000262930230191176,0,1,0,0,1,1
"415","hit ",30,0.000254448609862428,0,1,0,0,1,0
"418","job ",30,0.000254448609862428,0,0,0,0,0,1
"422","fake ",30,0.000254448609862428,0,1,0,0,0,0
"424","music ",30,0.000254448609862428,0,0,0,0,0,1
"426","damn ",30,0.000254448609862428,0,1,0,1,1,0
"438","friend ",29,0.00024596698953368,0,0,0,0,0,1
"448","agree ",28,0.000237485369204933,0,0,0,0,0,1
"466","country ",28,0.000237485369204933,1,0,0,0,0,0
"476","cute ",27,0.000229003748876185,0,0,0,0,0,1
"477","state ",27,0.000229003748876185,1,0,0,0,0,0
"507","party ",25,0.00021204050821869,1,0,0,0,0,0
"525","reason ",24,0.000203558887889942,0,0,0,0,0,1
"533","crazy ",24,0.000203558887889942,0,1,1,0,1,0
"534","president ",24,0.000203558887889942,1,0,0,0,0,1
"538","found ",24,0.000203558887889942,0,0,0,0,0,1
"547","child ",23,0.000195077267561195,0,0,0,0,0,1
"548","official ",23,0.000195077267561195,1,0,0,0,0,0
"550","leave ",23,0.000195077267561195,0,1,0,0,0,0
"567","baby ",23,0.000195077267561195,0,0,0,0,0,1
"575","question ",22,0.000186595647232447,0,0,0,0,0,1
"576","finally ",22,0.000186595647232447,0,0,0,1,0,1
"579","feeling ",22,0.000186595647232447,0,1,1,1,1,1
