"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"9","love ",1118,0.00440022355339699,0,0,0,0,0,1
"40","good ",445,0.00175143066302474,0,0,0,0,0,1
"77","people ",272,0.00107053739402861,1,0,0,0,0,0
"93","life ",210,0.000826517840977967,1,0,0,0,0,0
"95","shit ",208,0.000818646242492463,0,1,0,1,1,0
"97","hate ",203,0.000798967246278702,0,1,1,1,1,0
"112","hope ",189,0.000743866056880171,0,0,0,0,0,1
"125","happy ",176,0.000692700666724392,0,0,0,0,0,1
"127","wait ",175,0.000688764867481639,0,1,0,0,0,0
"130","work ",171,0.000673021670510631,1,0,0,0,0,0
"153","bad ",153,0.000602177284141091,0,1,1,1,1,0
"162","watch ",144,0.000566755090956321,0,0,1,0,0,0
"187","real ",132,0.000519525500043294,0,0,0,0,0,1
"197","world ",126,0.00049591070458678,1,0,0,0,0,0
"201","ass ",123,0.000484103306858524,0,1,0,0,0,0
"234","bitch ",108,0.00042506631821724,0,1,1,1,1,0
"236","sin ",108,0.00042506631821724,0,1,1,1,1,0
"244","baby ",105,0.000413258920488984,0,0,0,0,0,1
"278","talk ",98,0.000385708325789718,0,0,0,0,0,1
"321","friend ",86,0.000338478734876691,0,0,0,0,0,1
"327","god ",85,0.000334542935633939,0,0,1,0,0,1
"340","cool ",81,0.00031879973866293,0,0,0,0,0,1
"355","pretty ",78,0.000306992340934674,0,0,0,0,0,1
"359","cute ",78,0.000306992340934674,0,0,0,0,0,1
"361","birthday ",78,0.000306992340934674,0,0,0,0,0,1
"368","food ",77,0.000303056541691921,0,0,0,0,0,1
"373","money ",76,0.000299120742449169,1,0,0,0,1,1
"382","hit ",74,0.000291249143963665,0,1,0,0,1,0
"391","music ",72,0.00028337754547816,0,0,0,0,0,1
"405","hot ",70,0.000275505946992656,0,0,0,0,1,0
"411","damn ",69,0.000271570147749904,0,1,0,1,1,0
"415","leave ",68,0.000267634348507151,0,1,0,0,0,0
"432","mad ",67,0.000263698549264399,0,1,1,1,1,0
"444","crazy ",65,0.000255826950778895,0,1,1,0,1,0
"445","wrong ",65,0.000255826950778895,0,1,0,0,0,0
"447","bout ",65,0.000255826950778895,0,1,0,0,1,0
"452","eat ",64,0.000251891151536142,0,0,0,0,0,1
"453","job ",64,0.000251891151536142,0,0,0,0,0,1
"461","beautiful ",64,0.000251891151536142,0,0,0,0,0,1
"463","party ",63,0.00024795535229339,1,0,0,0,0,0
"469","fun ",63,0.00024795535229339,0,0,0,0,0,1
"474","found ",62,0.000244019553050638,0,0,0,0,0,1
"504","rising ",58,0.000228276356079629,0,0,0,0,0,1
"515","swear ",56,0.000220404757594125,0,0,0,0,0,1
"517","lost ",56,0.000220404757594125,0,1,0,0,0,0
"528","change ",55,0.000216468958351372,0,0,1,0,0,0
"545","sea ",53,0.000208597359865868,0,0,0,0,0,1
"549","smile ",52,0.000204661560623116,0,0,0,0,0,1
"559","wit ",52,0.000204661560623116,0,0,0,0,0,1
"569","gold ",51,0.000200725761380364,0,0,0,0,0,1
"597","late ",49,0.000192854162894859,0,1,0,0,0,0
