"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"32","love ",653,0.00185679635806313,0,0,0,0,0,1
"43","people ",575,0.00163500445005559,1,0,0,0,0,0
"49","good ",507,0.00144164740204902,0,0,0,0,0,1
"127","life ",218,0.000619879948021076,1,0,0,0,0,0
"137","work ",209,0.000594288574020206,1,0,0,0,0,0
"140","shit ",208,0.000591445088020109,0,1,0,1,1,0
"143","hope ",204,0.000580071144019722,0,0,0,0,0,1
"149","bad ",201,0.000571540686019432,0,1,1,1,1,0
"156","real ",194,0.000551636284018756,0,0,0,0,0,1
"186","sin ",169,0.000480549134016339,0,1,1,1,1,0
"195","wait ",164,0.000466331704015855,0,1,0,0,0,0
"199","hate ",162,0.000460644732015662,0,1,1,1,1,0
"201","watch ",161,0.000457801246015565,0,0,1,0,0,0
"243","world ",137,0.000389557582013245,1,0,0,0,0,0
"247","happy ",136,0.000386714096013148,0,0,0,0,0,1
"251","money ",134,0.000381027124012955,1,0,0,0,1,1
"282","god ",122,0.000346905292011795,0,0,1,0,0,1
"299","ass ",115,0.000327000890011118,0,1,0,0,0,0
"312","top ",110,0.000312783460010635,0,0,0,0,0,1
"323","fun ",108,0.000307096488010441,0,0,0,0,0,1
"336","talk ",106,0.000301409516010248,0,0,0,0,0,1
"350","wrong ",103,0.000292879058009958,0,1,0,0,0,0
"351","sea ",103,0.000292879058009958,0,0,0,0,0,1
"367","vote ",99,0.000281505114009571,0,1,0,0,1,1
"371","trump ",99,0.000281505114009571,1,0,0,0,0,0
"374","pretty ",98,0.000278661628009474,0,0,0,0,0,1
"393","games ",95,0.000270131170009184,1,0,0,0,0,0
"396","change ",95,0.000270131170009184,0,0,1,0,0,0
"398","saber ",94,0.000267287684009088,0,1,1,0,1,0
"439","friend ",88,0.000250226768008508,0,0,0,0,0,1
"453","agree ",86,0.000244539796008314,0,0,0,0,0,1
"462","media ",85,0.000241696310008218,1,0,0,0,0,0
"466","kind ",84,0.000238852824008121,0,0,0,0,0,1
"477","country ",83,0.000236009338008024,1,0,0,0,0,0
"483","working ",82,0.000233165852007928,0,0,0,0,0,1
"494","damn ",80,0.000227478880007734,0,1,0,1,1,0
"507","social ",77,0.000218948422007444,1,0,0,0,0,0
"509","hit ",76,0.000216104936007348,0,1,0,0,1,0
"513","news ",75,0.000213261450007251,1,0,0,0,0,0
"516","music ",75,0.000213261450007251,0,0,0,0,0,1
"518","reason ",74,0.000210417964007154,0,0,0,0,0,1
"528","full ",73,0.000207574478007058,0,0,0,0,0,1
"542","job ",71,0.000201887506006864,0,0,0,0,0,1
"544","crazy ",71,0.000201887506006864,0,1,1,0,1,0
"551","baby ",71,0.000201887506006864,0,0,0,0,0,1
"561","leave ",69,0.000196200534006671,0,1,0,0,0,0
"563","deal ",69,0.000196200534006671,0,0,0,0,0,1
"564","found ",69,0.000196200534006671,0,0,0,0,0,1
"565","pay ",69,0.000196200534006671,0,0,0,0,0,1
"568","beautiful ",69,0.000196200534006671,0,0,0,0,0,1
"572","party ",68,0.000193357048006574,1,0,0,0,0,0
"575","state ",68,0.000193357048006574,1,0,0,0,0,0
"582","lost ",68,0.000193357048006574,0,1,0,0,0,0
"584","proud ",67,0.000190513562006477,0,0,0,0,0,1
"591","favorite ",66,0.000187670076006381,0,0,0,0,0,1
"610","hell ",64,0.000181983104006187,0,1,1,1,1,0
"611","late ",64,0.000181983104006187,0,1,0,0,0,0
"630","cool ",62,0.000176296132005994,0,0,0,0,0,1
"632","tired ",62,0.000176296132005994,0,1,0,0,0,0
"637","eat ",61,0.000173452646005897,0,0,0,0,0,1
"642","cute ",61,0.000173452646005897,0,0,0,0,0,1
"645","food ",61,0.000173452646005897,0,0,0,0,0,1
"648","birthday ",61,0.000173452646005897,0,0,0,0,0,1
"656","fight ",60,0.000170609160005801,0,1,1,0,1,0
"666","city ",60,0.000170609160005801,1,0,0,0,0,0
"670","rest ",59,0.000167765674005704,0,0,0,0,0,1
"686","question ",57,0.000162078702005511,0,0,0,0,0,1
"694","human ",57,0.000162078702005511,1,0,0,0,0,0
"699","small ",57,0.000162078702005511,0,1,0,0,0,0
"704","shot ",56,0.000159235216005414,0,1,1,0,1,0
"706","forget ",56,0.000159235216005414,0,1,0,0,0,0
"709","share ",56,0.000159235216005414,0,0,0,0,0,1
"718","public ",56,0.000159235216005414,1,0,0,0,0,1
"724","problem ",55,0.000156391730005317,0,1,1,0,0,0
"730","glad ",55,0.000156391730005317,0,0,0,0,0,1
"732","learn ",55,0.000156391730005317,0,0,0,0,0,1
"741","feeling ",54,0.000153548244005221,0,1,1,1,1,1
"751","level ",54,0.000153548244005221,0,0,0,0,0,1
"753","excited ",54,0.000153548244005221,0,0,0,0,0,1
"756","battle ",53,0.000150704758005124,0,1,0,0,1,0
"760","power ",53,0.000150704758005124,1,0,0,0,0,0
"762","fake ",53,0.000150704758005124,0,1,0,0,0,0
"768","finally ",52,0.000147861272005027,0,0,0,1,0,1
"771","business ",52,0.000147861272005027,1,0,0,0,0,0
"776","giving ",52,0.000147861272005027,0,0,0,0,0,1
"781","mad ",52,0.000147861272005027,0,1,1,1,1,0
"784","child ",51,0.000145017786004931,0,0,0,0,0,1
"805","bitch ",50,0.000142174300004834,0,1,1,1,1,0
"811","sex ",50,0.000142174300004834,0,0,0,0,0,1
"812","war ",50,0.000142174300004834,1,1,1,0,0,0
"813","worth ",50,0.000142174300004834,0,0,0,0,0,1
"817","perfect ",49,0.000139330814004737,0,0,0,0,0,1
"823","die ",49,0.000139330814004737,0,1,1,0,0,0
"830","law ",48,0.000136487328004641,1,0,0,0,0,0
"842","group ",48,0.000136487328004641,1,0,0,0,0,0
"850","president ",47,0.000133643842004544,1,0,0,0,0,1
"856","enjoy ",47,0.000133643842004544,0,0,0,0,0,1
"880","art ",46,0.000130800356004447,0,0,0,0,0,1
"883","control ",45,0.000127956870004351,1,0,0,0,0,0
"887","issue ",45,0.000127956870004351,1,0,0,0,0,0
"891","lose ",45,0.000127956870004351,0,1,1,1,1,0
"893","health ",45,0.000127956870004351,1,0,0,0,0,0
"898","join ",44,0.000125113384004254,0,0,0,0,0,1
"906","hot ",44,0.000125113384004254,0,0,0,0,1,0
"927","special ",43,0.000122269898004157,0,0,0,0,0,1
"936","issues ",42,0.00011942641200406,1,0,0,0,0,0
"939","word ",42,0.00011942641200406,0,0,0,0,0,1
"943","actual ",42,0.00011942641200406,0,0,0,0,0,1
"945","joke ",42,0.00011942641200406,0,1,0,0,0,0
"956","stupid ",41,0.000116582926003964,0,1,0,0,0,0
"958","swear ",41,0.000116582926003964,0,0,0,0,0,1
"965","weird ",41,0.000116582926003964,0,1,0,1,0,0
"972","government ",41,0.000116582926003964,1,1,1,0,0,0
"973","important ",41,0.000116582926003964,0,0,0,0,0,1
"982","hurt ",40,0.000113739440003867,0,1,1,0,1,0
"986","crying ",40,0.000113739440003867,0,1,0,0,0,0
"990","reading ",40,0.000113739440003867,0,0,0,0,0,1
"997","pick ",40,0.000113739440003867,0,0,0,0,0,1
"1005","kill ",39,0.00011089595400377,0,1,1,0,0,0
"1016","shooting ",39,0.00011089595400377,0,1,1,0,1,0
"1033","crime ",38,0.000108052468003674,0,1,0,0,1,0
"1057","legal ",38,0.000108052468003674,1,0,0,0,0,1
"1058","cry ",38,0.000108052468003674,0,1,0,0,0,0
"1064","deserve ",37,0.000105208982003577,0,0,0,0,1,1
"1067","brother ",37,0.000105208982003577,0,0,0,0,0,1
"1072","achievement ",37,0.000105208982003577,0,0,0,0,0,1
"1074","community ",37,0.000105208982003577,1,0,0,0,0,1
"1080","sick ",37,0.000105208982003577,0,1,0,1,0,0
"1089","political ",36,0.00010236549600348,1,0,0,0,0,0
"1092","official ",36,0.00010236549600348,1,0,0,0,0,0
"1101","expect ",36,0.00010236549600348,0,0,0,0,0,1
"1103","player ",36,0.00010236549600348,0,1,0,0,0,0
"1104","worry ",36,0.00010236549600348,0,1,1,0,0,0
"1109","death ",36,0.00010236549600348,0,1,1,1,1,0
"1110","lead ",36,0.00010236549600348,0,0,0,0,0,1
"1111","star ",36,0.00010236549600348,0,0,0,0,0,1
"1114","lie ",36,0.00010236549600348,0,1,0,1,1,0
