"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"3","shooting ",1863,0.0135509634058524,0,1,1,0,1,0
"4","guilty ",1509,0.0109760621467694,0,1,0,0,1,0
"5","trump ",1324,0.00963042165826551,1,0,0,0,0,0
"7","suspect ",1237,0.00899760694205017,0,1,1,0,0,0
"10","massacre ",788,0.00573170110778944,0,1,1,1,1,0
"11","people ",701,0.00509888639157411,1,0,0,0,0,0
"12","jewish ",634,0.0046115463227646,1,0,0,0,0,0
"13","president ",622,0.00452426153432111,1,0,0,0,0,1
"14","hate ",533,0.00387689935336519,0,1,1,1,1,0
"15","life ",529,0.00384780442388403,1,0,0,0,0,0
"17","shooter ",512,0.00372415097358908,0,0,1,0,0,0
"22","attack ",445,0.00323681090477957,0,1,1,0,1,0
"25","federal ",416,0.00302587266604113,1,0,0,0,0,0
"32","community ",358,0.00260399618856424,1,0,0,0,0,1
"34","tree ",333,0.00242215287930696,0,0,0,1,1,1
"38","visit ",305,0.00221848837293881,0,0,0,0,0,1
"39","news ",291,0.00211665611975473,1,0,0,0,0,0
"53","murder ",187,0.00136018795324445,0,1,1,1,1,0
"56","tragedy ",177,0.00128745062954154,0,1,1,0,0,0
"58","hospital ",172,0.00125108196769008,0,0,1,0,0,0
"60","accused ",170,0.0012365345029495,0,1,1,0,1,0
"65","city ",160,0.00116379717924659,1,0,0,0,0,0
"73","crime ",153,0.00111288105265455,0,1,0,0,1,0
"75","love ",152,0.00110560732028426,0,0,0,0,0,1
"78","court ",146,0.00106196492606251,0,0,1,0,1,0
"80","media ",145,0.00105469119369222,1,0,0,0,0,0
"87","violence ",137,0.00099650133472989,0,1,1,0,1,0
"95","country ",128,0.000931037743397269,1,0,0,0,0,0
"96","personal ",127,0.000923764011026978,1,0,0,0,0,0
"97","death ",127,0.000923764011026978,0,1,1,1,1,0
"99","king ",126,0.000916490278656687,0,0,0,0,0,1
"109","rhetoric ",117,0.000851026687324067,1,0,0,0,0,0
"129","good ",104,0.000756468166510281,0,0,0,0,0,1
"137","vote ",99,0.000720099504658826,0,1,0,0,1,1
"144","join ",95,0.000691004575177661,0,0,0,0,0,1
"156","lost ",90,0.000654635913326205,0,1,0,0,0,0
"162","government ",87,0.000632814716215332,1,1,1,0,0,0
"166","conspiracy ",85,0.000618267251474749,1,0,1,0,0,0
"173","world ",83,0.000603719786734167,1,0,0,0,0,0
"176","killing ",83,0.000603719786734167,0,1,1,0,1,0
"186","terror ",80,0.000581898589623293,0,1,1,0,0,0
"187","gun ",80,0.000581898589623293,0,1,1,0,1,0
"196","deadly ",78,0.000567351124882711,0,1,1,1,1,0
"197","hope ",77,0.00056007739251242,0,0,0,0,0,1
"208","including ",74,0.000538256195401546,0,0,0,0,0,1
"217","center ",72,0.000523708730660964,0,0,0,0,0,1
"220","actions ",71,0.000516434998290673,1,0,0,0,0,0
"221","plea ",71,0.000516434998290673,0,1,1,0,0,0
"230","row ",68,0.000494613801179799,0,1,0,0,1,0
"235","fake ",68,0.000494613801179799,0,1,0,0,0,0
"237","political ",67,0.000487340068809508,1,0,0,0,0,0
"239","blame ",67,0.000487340068809508,0,1,0,1,1,0
"242","work ",66,0.000480066336439217,1,0,0,0,0,0
"247","honor ",66,0.000480066336439217,0,0,0,0,0,1
"249","shot ",65,0.000472792604068926,0,1,1,0,1,0
"253","democrats ",65,0.000472792604068926,1,0,0,0,0,0
