"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"17","love ",299,0.0035165714016889,0,0,0,0,0,1
"55","good ",132,0.00155246630442453,0,0,0,0,0,1
"65","people ",110,0.00129372192035377,1,0,0,0,0,0
"79","shit ",90,0.00105849975301672,0,1,0,1,1,0
"86","hate ",85,0.000999694211182462,0,1,1,1,1,0
"110","life ",71,0.000835038694046527,1,0,0,0,0,0
"114","hope ",66,0.000776233152212264,0,0,0,0,0,1
"135","happy ",59,0.000693905393644297,0,0,0,0,0,1
"152","work ",54,0.000635099851810035,1,0,0,0,0,0
"168","bad ",51,0.000599816526709477,0,1,1,1,1,0
"171","vote ",49,0.000576294309975772,0,1,0,0,1,1
"181","ass ",47,0.000552772093242067,0,1,0,0,0,0
"183","wait ",47,0.000552772093242067,0,1,0,0,0,0
"186","talk ",47,0.000552772093242067,0,0,0,0,0,1
"201","baby ",44,0.00051748876814151,0,0,0,0,0,1
"207","bitch ",43,0.000505727659774657,0,1,1,1,1,0
"217","watch ",40,0.0004704443346741,0,0,1,0,0,0
"226","sin ",39,0.000458683226307247,0,1,1,1,1,0
"232","real ",38,0.000446922117940395,0,0,0,0,0,1
"240","world ",37,0.000435161009573542,1,0,0,0,0,0
"255","wit ",35,0.000411638792839837,0,0,0,0,0,1
"260","crazy ",34,0.000399877684472985,0,1,1,0,1,0
"277","mad ",33,0.000388116576106132,0,1,1,1,1,0
"278","damn ",33,0.000388116576106132,0,1,0,1,1,0
"279","fun ",33,0.000388116576106132,0,0,0,0,0,1
"287","wrong ",32,0.00037635546773928,0,1,0,0,0,0
"293","birthday ",32,0.00037635546773928,0,0,0,0,0,1
"306","cute ",31,0.000364594359372427,0,0,0,0,0,1
"312","pretty ",30,0.000352833251005575,0,0,0,0,0,1
"320","sea ",30,0.000352833251005575,0,0,0,0,0,1
"334","bout ",29,0.000341072142638722,0,1,0,0,1,0
"340","change ",29,0.000341072142638722,0,0,1,0,0,0
"345","leave ",28,0.00032931103427187,0,1,0,0,0,0
"351","ill ",28,0.00032931103427187,0,1,1,1,1,0
"363","hell ",27,0.000317549925905017,0,1,1,1,1,0
"365","god ",27,0.000317549925905017,0,0,1,0,0,1
"372","top ",26,0.000305788817538165,0,0,0,0,0,1
"382","money ",26,0.000305788817538165,1,0,0,0,1,1
"395","eat ",25,0.000294027709171312,0,0,0,0,0,1
"396","hurt ",25,0.000294027709171312,0,1,1,0,1,0
"400","late ",25,0.000294027709171312,0,1,0,0,0,0
"403","die ",25,0.000294027709171312,0,1,1,0,0,0
"424","friend ",24,0.00028226660080446,0,0,0,0,0,1
"430","music ",24,0.00028226660080446,0,0,0,0,0,1
"438","gold ",23,0.000270505492437607,0,0,0,0,0,1
"449","excited ",23,0.000270505492437607,0,0,0,0,0,1
"454","feeling ",22,0.000258744384070755,0,1,1,1,1,1
"455","saber ",22,0.000258744384070755,0,1,1,0,1,0
"459","cool ",22,0.000258744384070755,0,0,0,0,0,1
"460","found ",22,0.000258744384070755,0,0,0,0,0,1
"462","pay ",22,0.000258744384070755,0,0,0,0,0,1
"463","tired ",22,0.000258744384070755,0,1,0,0,0,0
"468","hot ",22,0.000258744384070755,0,0,0,0,1,0
"469","sick ",22,0.000258744384070755,0,1,0,1,0,0
"472","special ",22,0.000258744384070755,0,0,0,0,0,1
"474","lost ",22,0.000258744384070755,0,1,0,0,0,0
"479","job ",21,0.000246983275703902,0,0,0,0,0,1
"490","news ",21,0.000246983275703902,1,0,0,0,0,0
"492","food ",21,0.000246983275703902,0,0,0,0,0,1
"505","gift ",20,0.00023522216733705,0,0,0,0,0,1
"520","dinner ",19,0.000223461058970197,0,0,0,0,0,1
"524","party ",19,0.000223461058970197,1,0,0,0,0,0
"558","swear ",18,0.000211699950603345,0,0,0,0,0,1
"570","falling ",18,0.000211699950603345,0,1,0,0,0,0
"611","beautiful ",17,0.000199938842236492,0,0,0,0,0,1
"613","hit ",16,0.00018817773386964,0,1,0,0,1,0
"615","kill ",16,0.00018817773386964,0,1,1,0,0,0
"623","stupid ",16,0.00018817773386964,0,1,0,0,0,0
"638","words ",16,0.00018817773386964,0,1,0,0,1,0
"645","enjoy ",16,0.00018817773386964,0,0,0,0,0,1
"647","lie ",16,0.00018817773386964,0,1,0,1,1,0
"694","cold ",15,0.000176416625502787,0,1,0,0,0,0
"714","smile ",14,0.000164655517135935,0,0,0,0,0,1
"719","reason ",14,0.000164655517135935,0,0,0,0,0,1
"728","shopping ",14,0.000164655517135935,0,0,0,0,0,1
"730","perfect ",14,0.000164655517135935,0,0,0,0,0,1
"737","kind ",14,0.000164655517135935,0,0,0,0,0,1
"741","sweet ",14,0.000164655517135935,0,0,0,0,0,1
"746","wear ",14,0.000164655517135935,0,1,0,0,0,0
"747","worry ",14,0.000164655517135935,0,1,1,0,0,0
"748","kiss ",14,0.000164655517135935,0,0,0,0,0,1
"756","full ",14,0.000164655517135935,0,0,0,0,0,1
"761","star ",14,0.000164655517135935,0,0,0,0,0,1
"762","harry ",14,0.000164655517135935,0,1,0,0,1,0
"774","group ",14,0.000164655517135935,1,0,0,0,0,0
"787","question ",13,0.000152894408769082,0,0,0,0,0,1
"789","finally ",13,0.000152894408769082,0,0,0,1,0,1
"795","forget ",13,0.000152894408769082,0,1,0,0,0,0
"805","word ",13,0.000152894408769082,0,0,0,0,0,1
"810","radio ",13,0.000152894408769082,0,0,0,0,0,1
"822","rock ",13,0.000152894408769082,0,0,0,0,0,1
"832","case ",13,0.000152894408769082,0,1,1,0,0,0
"836","homework ",13,0.000152894408769082,0,0,1,0,0,0
"840","cry ",13,0.000152894408769082,0,1,0,0,0,0
"852","ugly ",12,0.00014113330040223,0,1,0,1,0,0
"861","business ",12,0.00014113330040223,1,0,0,0,0,0
"862","store ",12,0.00014113330040223,0,0,0,0,0,1
"865","share ",12,0.00014113330040223,0,0,0,0,0,1
"866","dance ",12,0.00014113330040223,0,0,0,0,0,1
"878","nap ",12,0.00014113330040223,0,0,0,0,0,1
"879","reading ",12,0.00014113330040223,0,0,0,0,0,1
"885","lose ",12,0.00014113330040223,0,1,1,1,1,0
"891","glad ",12,0.00014113330040223,0,0,0,0,0,1
"897","crack ",12,0.00014113330040223,0,1,0,0,0,0
"898","working ",12,0.00014113330040223,0,0,0,0,0,1
"903","legal ",12,0.00014113330040223,1,0,0,0,0,1
"910","city ",12,0.00014113330040223,1,0,0,0,0,0
"923","bomb ",11,0.000129372192035377,0,1,1,0,1,0
"934","suck ",11,0.000129372192035377,0,1,0,0,0,0
"936","favorite ",11,0.000129372192035377,0,0,0,0,0,1
"938","sing ",11,0.000129372192035377,0,0,0,0,0,1
"942","deal ",11,0.000129372192035377,0,0,0,0,0,1
"961","promise ",11,0.000129372192035377,0,0,0,0,0,1
"1006","knowing ",10,0.000117611083668525,0,0,0,0,0,1
"1023","company ",10,0.000117611083668525,1,0,0,0,0,0
"1024","fell ",10,0.000117611083668525,0,1,0,0,0,0
"1026","basketball ",10,0.000117611083668525,0,0,0,0,0,1
"1027","laugh ",10,0.000117611083668525,0,0,0,0,0,1
"1040","present ",10,0.000117611083668525,0,0,0,0,0,1
"1042","giving ",10,0.000117611083668525,0,0,0,0,0,1
"1043","kick ",10,0.000117611083668525,0,1,0,0,1,0
"1061","worried ",10,0.000117611083668525,0,1,0,0,0,0
"1085","mother ",10,0.000117611083668525,0,1,0,0,0,1
"1087","truth ",9,0.000105849975301672,0,0,0,0,0,1
"1095","jealous ",9,0.000105849975301672,0,1,0,1,1,0
"1097","lovely ",9,0.000105849975301672,0,0,0,0,0,1
"1101","bang ",9,0.000105849975301672,0,1,1,1,1,0
"1108","holiday ",9,0.000105849975301672,0,0,0,0,0,1
"1132","weird ",9,0.000105849975301672,0,1,0,1,0,0
"1142","games ",9,0.000105849975301672,1,0,0,0,0,0
"1151","missing ",9,0.000105849975301672,0,1,1,0,0,0
"1158","jam ",9,0.000105849975301672,0,0,0,0,0,1
"1167","chocolate ",9,0.000105849975301672,0,0,0,0,0,1
"1202","sex ",9,0.000105849975301672,0,0,0,0,0,1
"1211","worth ",9,0.000105849975301672,0,0,0,0,0,1
"1220","treat ",8,9.40888669348199e-05,0,1,1,1,1,1
"1221","blast ",8,9.40888669348199e-05,0,1,1,0,1,0
"1234","lying ",8,9.40888669348199e-05,0,1,0,1,1,0
"1248","battle ",8,9.40888669348199e-05,0,1,0,0,1,0
"1250","problem ",8,9.40888669348199e-05,0,1,1,0,0,0
"1251","football ",8,9.40888669348199e-05,0,0,0,0,0,1
"1257","fight ",8,9.40888669348199e-05,0,1,1,0,1,0
"1264","horrible ",8,9.40888669348199e-05,0,1,1,1,1,0
"1276","fair ",8,9.40888669348199e-05,0,0,0,0,0,1
"1295","patent ",8,9.40888669348199e-05,0,0,0,0,0,1
"1297","system ",8,9.40888669348199e-05,1,0,0,0,0,0
"1298","social ",8,9.40888669348199e-05,1,0,0,0,0,0
"1301","death ",8,9.40888669348199e-05,0,1,1,1,1,0
"1303","center ",8,9.40888669348199e-05,0,0,0,0,0,1
"1307","power ",8,9.40888669348199e-05,1,0,0,0,0,0
"1316","visit ",8,9.40888669348199e-05,0,0,0,0,0,1
"1317","determined ",8,9.40888669348199e-05,0,0,0,0,0,1
"1321","pop ",8,9.40888669348199e-05,0,1,0,0,0,0
"1324","pick ",8,9.40888669348199e-05,0,0,0,0,0,1
"1348","problems ",8,9.40888669348199e-05,1,0,0,0,0,0
"1356","level ",8,9.40888669348199e-05,0,0,0,0,0,1
"1369","shot ",7,8.23277585679674e-05,0,1,1,0,1,0
"1385","laughing ",7,8.23277585679674e-05,0,0,0,0,0,1
"1386","fame ",7,8.23277585679674e-05,0,0,0,0,0,1
"1396","winning ",7,8.23277585679674e-05,0,0,0,1,0,1
"1407","crying ",7,8.23277585679674e-05,0,1,0,0,0,0
"1408","join ",7,8.23277585679674e-05,0,0,0,0,0,1
"1432","brother ",7,8.23277585679674e-05,0,0,0,0,0,1
"1433","player ",7,8.23277585679674e-05,0,1,0,0,0,0
"1439","boo ",7,8.23277585679674e-05,0,1,0,0,0,0
"1451","stress ",7,8.23277585679674e-05,0,1,0,0,0,0
"1452","sense ",7,8.23277585679674e-05,0,0,0,0,0,1
"1459","avatar ",7,8.23277585679674e-05,0,0,0,0,0,1
"1464","teacher ",7,8.23277585679674e-05,0,0,0,0,0,1
"1467","weight ",7,8.23277585679674e-05,0,1,1,1,0,1
"1469","worse ",7,8.23277585679674e-05,0,1,1,0,0,0
"1477","dumb ",7,8.23277585679674e-05,0,1,0,0,0,0
"1479","chicken ",7,8.23277585679674e-05,0,0,1,0,0,0
"1480","joke ",7,8.23277585679674e-05,0,1,0,0,0,0
"1483","fall ",7,8.23277585679674e-05,0,1,0,0,0,0
"1485","honest ",7,8.23277585679674e-05,0,0,1,1,1,1
"1492","important ",7,8.23277585679674e-05,0,0,0,0,0,1
"1495","atom ",7,8.23277585679674e-05,0,0,0,0,0,1
"1527","leer ",7,8.23277585679674e-05,0,1,0,1,0,0
"1541","ay ",7,8.23277585679674e-05,0,0,0,0,0,1
"1551","agree ",6,7.0566650201115e-05,0,0,0,0,0,1
"1552","hug ",6,7.0566650201115e-05,0,0,0,0,0,1
"1553","terrible ",6,7.0566650201115e-05,0,1,1,1,1,0
"1555","choice ",6,7.0566650201115e-05,0,0,0,0,0,1
"1558","drama ",6,7.0566650201115e-05,1,0,0,0,0,0
"1566","law ",6,7.0566650201115e-05,1,0,0,0,0,0
"1567","personality ",6,7.0566650201115e-05,1,0,0,0,0,0
"1572","copy ",6,7.0566650201115e-05,0,1,0,0,0,0
"1581","mate ",6,7.0566650201115e-05,0,0,0,0,0,1
"1588","main ",6,7.0566650201115e-05,0,0,0,0,0,1
"1592","nervous ",6,7.0566650201115e-05,0,1,1,0,0,0
"1595","annoying ",6,7.0566650201115e-05,0,1,0,0,1,0
"1599","control ",6,7.0566650201115e-05,1,0,0,0,0,0
"1618","tax ",6,7.0566650201115e-05,0,1,0,0,0,0
"1623","dear ",6,7.0566650201115e-05,0,0,0,0,0,1
"1643","mayor ",6,7.0566650201115e-05,0,0,0,0,0,1
"1647","expect ",6,7.0566650201115e-05,0,0,0,0,0,1
"1649","pressure ",6,7.0566650201115e-05,0,1,0,0,0,0
"1656","president ",6,7.0566650201115e-05,1,0,0,0,0,1
"1664","hide ",6,7.0566650201115e-05,0,0,1,0,0,0
"1665","personal ",6,7.0566650201115e-05,1,0,0,0,0,0
"1666","opposition ",6,7.0566650201115e-05,0,1,0,0,1,0
"1668","status ",6,7.0566650201115e-05,0,0,0,0,0,1
"1686","history ",6,7.0566650201115e-05,1,0,0,0,0,0
"1706","practice ",6,7.0566650201115e-05,0,0,0,0,0,1
"1721","court ",6,7.0566650201115e-05,0,0,1,0,1,0
"1722","challenge ",6,7.0566650201115e-05,0,1,1,0,1,0
"1725","united ",6,7.0566650201115e-05,0,0,0,0,0,1
"1731","shooting ",6,7.0566650201115e-05,0,1,1,0,1,0
