"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"3","shooting ",2223,0.0204943347868976,0,1,1,0,1,0
"6","gun ",887,0.00817745162212245,0,1,1,0,1,0
"8","massacre ",675,0.0062229761498677,0,1,1,1,1,0
"12","conspiracy ",578,0.0053287114290719,1,0,1,0,0,0
"16","tribute ",385,0.00354940121140602,1,0,0,0,0,1
"21","hoax ",350,0.00322672837400548,0,1,0,1,1,0
"24","control ",312,0.00287639786482774,1,0,0,0,0,0
"28","media ",282,0.00259982114705584,1,0,0,0,0,0
"29","news ",278,0.00256294425135292,1,0,0,0,0,0
"30","people ",277,0.00255372502742719,1,0,0,0,0,0
"31","professor ",270,0.00248919045994708,0,0,0,0,0,1
"32","tragedy ",270,0.00248919045994708,0,1,1,0,0,0
"39","relief ",217,0.0020005715918834,0,0,0,0,0,1
"41","government ",210,0.00193603702440329,1,1,1,0,0,0
"64","shooter ",146,0.00134600669315657,0,0,1,0,0,0
"78","watch ",131,0.00120771833427062,0,0,1,0,0,0
"80","good ",131,0.00120771833427062,0,0,0,0,0,1
"83","fake ",127,0.0011708414385677,0,1,0,0,0,0
"84","benefit ",125,0.00115240299071624,0,0,0,0,0,1
"88","standing ",121,0.00111552609501332,0,0,0,0,0,1
"91","violence ",118,0.00108786842323613,0,1,1,0,1,0
"99","exposed ",108,0.000995676183978833,0,1,0,0,0,0
"102","politico ",107,0.000986456960053103,1,0,0,0,0,0
"106","honor ",105,0.000968018512201643,0,0,0,0,0,1
"112","governor ",100,0.000921922392572993,1,0,0,0,0,0
"114","world ",98,0.000903483944721533,1,0,0,0,0,0
"118","life ",94,0.000866607049018614,1,0,0,0,0,0
"129","debate ",89,0.000820510929389964,1,0,0,0,0,1
"131","rifle ",88,0.000811291705464234,0,1,1,0,1,0
"132","health ",88,0.000811291705464234,1,0,0,0,0,0
"134","university ",87,0.000802072481538504,0,0,0,0,0,1
"142","real ",84,0.000774414809761314,0,0,0,0,0,1
"143","truth ",83,0.000765195585835584,0,0,0,0,0,1
"149","giant ",81,0.000746757137984124,0,0,1,0,0,0
"155","copycat ",79,0.000728318690132665,0,1,0,1,1,0
"156","assault ",79,0.000728318690132665,0,1,1,0,1,0
"164","knight ",77,0.000709880242281205,0,0,0,0,0,1
"174","ban ",74,0.000682222570504015,1,1,0,0,0,0
"175","fully ",74,0.000682222570504015,0,0,0,0,0,1
"179","death ",73,0.000673003346578285,0,1,1,1,1,0
"183","laws ",71,0.000654564898726825,1,0,0,0,0,0
"186","united ",71,0.000654564898726825,0,0,0,0,0,1
"187","save ",71,0.000654564898726825,0,0,0,0,0,1
"189","police ",70,0.000645345674801095,1,0,1,0,0,1
"192","bad ",70,0.000645345674801095,0,1,1,1,1,0
"199","baby ",68,0.000626907226949635,0,0,0,0,0,1
"202","job ",67,0.000617688003023905,0,0,0,0,0,1
"217","lost ",65,0.000599249555172446,0,1,0,0,0,0
"223","opposition ",64,0.000590030331246716,0,1,0,0,1,0
"230","love ",63,0.000580811107320986,0,0,0,0,0,1
"233","shot ",62,0.000571591883395256,0,1,1,0,1,0
"234","official ",62,0.000571591883395256,1,0,0,0,0,0
"238","crazy ",61,0.000562372659469526,0,1,1,0,1,0
"242","building ",60,0.000553153435543796,0,0,0,0,0,1
"252","shit ",59,0.000543934211618066,0,1,0,1,1,0
"254","group ",58,0.000534714987692336,1,0,0,0,0,0
"263","join ",55,0.000507057315915146,0,0,0,0,0,1
"264","games ",55,0.000507057315915146,1,0,0,0,0,0
"276","found ",53,0.000488618868063686,0,0,0,0,0,1
"280","fire ",52,0.000479399644137956,0,0,1,0,0,0
"307","calls ",47,0.000433303524509307,0,1,0,0,0,0
"311","community ",47,0.000433303524509307,1,0,0,0,0,1
"320","talk ",45,0.000414865076657847,0,0,0,0,0,1
"323","kindness ",44,0.000405645852732117,0,0,0,0,0,1
"329","aftermath ",44,0.000405645852732117,0,1,1,1,1,0
"331","lawyer ",44,0.000405645852732117,0,1,1,1,1,0
"332","change ",44,0.000405645852732117,0,0,1,0,0,0
"342","money ",43,0.000396426628806387,1,0,0,0,1,1
"344","law ",42,0.000387207404880657,1,0,0,0,0,0
"346","horror ",42,0.000387207404880657,0,1,1,1,1,0
"348","sick ",42,0.000387207404880657,0,1,0,1,0,0
"353","president ",41,0.000377988180954927,1,0,0,0,0,1
"360","completely ",41,0.000377988180954927,0,0,0,0,0,1
"361","busted ",41,0.000377988180954927,0,1,1,0,1,0
"365","unbelievable ",40,0.000368768957029197,0,1,0,0,0,0
"368","slaughter ",40,0.000368768957029197,0,1,1,1,1,0
"369","god ",40,0.000368768957029197,0,0,1,0,0,1
"372","worse ",40,0.000368768957029197,0,1,1,0,0,0
"377","wrong ",39,0.000359549733103467,0,1,0,0,0,0
"379","armed ",39,0.000359549733103467,0,1,1,0,1,1
"381","controversial ",39,0.000359549733103467,1,1,0,0,1,0
"385","hope ",38,0.000350330509177737,0,0,0,0,0,1
"393","violent ",38,0.000350330509177737,0,1,1,1,1,0
"395","teacher ",38,0.000350330509177737,0,0,0,0,0,1
"397","crisis ",38,0.000350330509177737,0,1,0,0,0,0
"408","victim ",37,0.000341111285252007,0,1,1,0,1,0
"410","events ",37,0.000341111285252007,1,0,0,0,0,0
"411","share ",36,0.000331892061326278,0,0,0,0,0,1
"415","state ",36,0.000331892061326278,1,0,0,0,0,0
"416","full ",36,0.000331892061326278,0,0,0,0,0,1
"424","charity ",35,0.000322672837400548,0,0,0,0,0,1
"435","hit ",34,0.000313453613474818,0,1,0,0,1,0
"438","facts ",34,0.000313453613474818,0,0,0,0,0,1
"446","sing ",33,0.000304234389549088,0,0,0,0,0,1
"452","work ",32,0.000295015165623358,1,0,0,0,0,0
"470","promise ",31,0.000285795941697628,0,0,0,0,0,1
"475","forget ",30,0.000276576717771898,0,1,0,0,0,0
"487","govt ",30,0.000276576717771898,1,0,0,0,0,0
"499","child ",28,0.000258138269920438,0,0,0,0,0,1
"502","politics ",28,0.000258138269920438,1,0,0,0,1,0
"507","missing ",28,0.000258138269920438,0,1,1,0,0,0
"512","cop ",28,0.000258138269920438,0,0,1,0,0,0
"518","fraud ",27,0.000248919045994708,0,1,0,0,1,0
"520","sadly ",27,0.000248919045994708,0,1,0,0,0,0
"522","information ",27,0.000248919045994708,0,0,0,0,0,1
"523","donation ",27,0.000248919045994708,0,0,0,0,0,1
"526","bee ",27,0.000248919045994708,0,0,1,0,1,0
"527","green ",27,0.000248919045994708,0,0,0,0,0,1
"529","pray ",27,0.000248919045994708,0,0,1,0,0,1
"542","music ",26,0.000239699822068978,0,0,0,0,0,1
"546","gov ",25,0.000230480598143248,1,0,0,0,0,0
"547","ownership ",25,0.000230480598143248,0,0,0,0,0,1
"551","prevent ",25,0.000230480598143248,0,0,1,0,0,0
"557","healing ",25,0.000230480598143248,0,0,0,0,0,1
"559","deny ",25,0.000230480598143248,0,1,0,0,1,0
"560","medical ",25,0.000230480598143248,0,0,1,0,0,1
"571","reason ",24,0.000221261374217518,0,0,0,0,0,1
"573","hurricane ",24,0.000221261374217518,0,1,1,0,0,0
"582","public ",24,0.000221261374217518,1,0,0,0,0,1
"583","attention ",24,0.000221261374217518,0,0,0,0,0,1
"586","leader ",24,0.000221261374217518,1,0,0,0,0,1
"591","politicians ",23,0.000212042150291788,1,0,0,0,0,0
"596","sense ",23,0.000212042150291788,0,0,0,0,0,1
"601","peace ",23,0.000212042150291788,0,0,0,0,0,1
"605","mother ",23,0.000212042150291788,0,1,0,0,0,1
"610","question ",22,0.000202822926366059,0,0,0,0,0,1
"616","principal ",22,0.000202822926366059,0,0,0,0,0,1
"620","hell ",22,0.000202822926366059,0,1,1,1,1,0
"623","radio ",22,0.000202822926366059,0,0,0,0,0,1
"624","operation ",22,0.000202822926366059,0,0,1,0,0,0
"638","confirmed ",21,0.000193603702440329,0,0,0,0,0,1
"640","joy ",21,0.000193603702440329,0,0,0,0,0,1
"648","fighting ",21,0.000193603702440329,0,1,0,0,1,0
"659","bully ",21,0.000193603702440329,0,1,1,0,1,0
"663","global ",21,0.000193603702440329,1,0,0,0,0,0
"665","country ",21,0.000193603702440329,1,0,0,0,0,0
"668","political ",20,0.000184384478514599,1,0,0,0,0,0
"669","interesting ",20,0.000184384478514599,0,0,0,0,0,1
"670","force ",20,0.000184384478514599,1,1,1,0,1,0
"679","history ",20,0.000184384478514599,1,0,0,0,0,0
"699","killing ",20,0.000184384478514599,0,1,1,0,1,0
"703","speech ",19,0.000175165254588869,0,0,0,0,0,1
"704","crime ",19,0.000175165254588869,0,1,0,0,1,0
"709","stupid ",19,0.000175165254588869,0,1,0,0,0,0
"721","die ",19,0.000175165254588869,0,1,1,0,0,0
"723","center ",19,0.000175165254588869,0,0,0,0,0,1
"728","administration ",19,0.000175165254588869,1,0,0,0,0,0
"736","dedication ",18,0.000165946030663139,0,0,0,0,0,1
"745","murder ",18,0.000165946030663139,0,1,1,1,1,0
"755","issue ",18,0.000165946030663139,1,0,0,0,0,0
"757","opinion ",18,0.000165946030663139,1,0,0,0,0,0
"763","military ",18,0.000165946030663139,1,0,1,0,0,0
"781","copy ",17,0.000156726806737409,0,1,0,0,0,0
"782","huff ",17,0.000156726806737409,0,1,0,1,1,0
"794","suspicion ",17,0.000156726806737409,0,1,1,0,0,0
"802","words ",17,0.000156726806737409,0,1,0,0,1,0
