"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"29","love ",237,0.00210203285202398,0,0,0,0,0,1
"40","people ",194,0.00172065136410402,1,0,0,0,0,0
"50","good ",165,0.00146344059318125,0,0,0,0,0,1
"107","work ",84,0.000745024301983184,1,0,0,0,0,0
"114","life ",80,0.000709546954269699,1,0,0,0,0,0
"119","shit ",77,0.000682938943484585,0,1,0,1,1,0
"123","hope ",75,0.000665200269627843,0,0,0,0,0,1
"138","laurel ",69,0.000611984248057615,0,0,0,0,0,1
"175","wait ",59,0.000523290878773903,0,1,0,0,0,0
"177","trump ",59,0.000523290878773903,1,0,0,0,0,0
"182","happy ",57,0.00050555220491716,0,0,0,0,0,1
"193","real ",54,0.000478944194132047,0,0,0,0,0,1
"203","hate ",52,0.000461205520275304,0,1,1,1,1,0
"205","watch ",52,0.000461205520275304,0,0,1,0,0,0
"218","bad ",50,0.000443466846418562,0,1,1,1,1,0
"225","music ",49,0.00043459750949019,0,0,0,0,0,1
"227","vote ",48,0.000425728172561819,0,1,0,0,1,1
"233","found ",47,0.000416858835633448,0,0,0,0,0,1
"238","ass ",46,0.000407989498705077,0,1,0,0,0,0
"247","money ",45,0.000399120161776706,1,0,0,0,1,1
"248","sin ",45,0.000399120161776706,0,1,1,1,1,0
"270","talk ",42,0.000372512150991592,0,0,0,0,0,1
"289","world ",39,0.000345904140206478,1,0,0,0,0,0
"298","top ",38,0.000337034803278107,0,0,0,0,0,1
"303","social ",38,0.000337034803278107,1,0,0,0,0,0
"316","beautiful ",37,0.000328165466349736,0,0,0,0,0,1
"326","news ",36,0.000319296129421364,1,0,0,0,0,0
"348","pretty ",34,0.000301557455564622,0,0,0,0,0,1
"355","baby ",34,0.000301557455564622,0,0,0,0,0,1
"362","media ",33,0.000292688118636251,1,0,0,0,0,0
"381","reason ",32,0.000283818781707879,0,0,0,0,0,1
"386","friend ",32,0.000283818781707879,0,0,0,0,0,1
"400","god ",31,0.000274949444779508,0,0,1,0,0,1
"407","agree ",30,0.000266080107851137,0,0,0,0,0,1
"416","full ",30,0.000266080107851137,0,0,0,0,0,1
"454","job ",27,0.000239472097066023,0,0,0,0,0,1
"455","business ",27,0.000239472097066023,1,0,0,0,0,0
"466","learn ",27,0.000239472097066023,0,0,0,0,0,1
"468","fun ",27,0.000239472097066023,0,0,0,0,0,1
"470","hit ",26,0.000230602760137652,0,1,0,0,1,0
"475","president ",26,0.000230602760137652,1,0,0,0,0,1
"483","birthday ",26,0.000230602760137652,0,0,0,0,0,1
"487","damn ",26,0.000230602760137652,0,1,0,1,1,0
"493","proud ",25,0.000221733423209281,0,0,0,0,0,1
"494","eat ",25,0.000221733423209281,0,0,0,0,0,1
"496","saber ",25,0.000221733423209281,0,1,1,0,1,0
"498","wrong ",25,0.000221733423209281,0,1,0,0,0,0
"511","lost ",25,0.000221733423209281,0,1,0,0,0,0
"524","cool ",24,0.00021286408628091,0,0,0,0,0,1
"534","question ",23,0.000203994749352538,0,0,0,0,0,1
"538","problem ",23,0.000203994749352538,0,1,1,0,0,0
"556","change ",23,0.000203994749352538,0,0,1,0,0,0
"558","excited ",23,0.000203994749352538,0,0,0,0,0,1
"567","crazy ",22,0.000195125412424167,0,1,1,0,1,0
"574","pay ",22,0.000195125412424167,0,0,0,0,0,1
"582","food ",22,0.000195125412424167,0,0,0,0,0,1
"583","government ",22,0.000195125412424167,1,1,1,0,0,0
"603","word ",21,0.000186256075495796,0,0,0,0,0,1
"609","die ",21,0.000186256075495796,0,1,1,0,0,0
"613","sea ",21,0.000186256075495796,0,0,0,0,0,1
"616","small ",21,0.000186256075495796,0,1,0,0,0,0
"622","mad ",21,0.000186256075495796,0,1,1,1,1,0
"624","worth ",21,0.000186256075495796,0,0,0,0,0,1
"630","feeling ",20,0.000177386738567425,0,1,1,1,1,1
"637","favorite ",20,0.000177386738567425,0,0,0,0,0,1
"645","state ",20,0.000177386738567425,1,0,0,0,0,0
"649","glad ",20,0.000177386738567425,0,0,0,0,0,1
"650","case ",20,0.000177386738567425,0,1,1,0,0,0
"654","grow ",20,0.000177386738567425,0,0,0,0,0,1
"668","issues ",19,0.000168517401639053,1,0,0,0,0,0
"671","battle ",19,0.000168517401639053,0,1,0,0,1,0
"678","words ",19,0.000168517401639053,0,1,0,0,1,0
