"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"5","shooting ",5732,0.0361048122952885,0,1,1,0,1,0
"12","people ",809,0.00509574200050391,1,0,0,0,0,0
"13","shooter ",672,0.00423280423280423,0,0,1,0,0,0
"16","pay ",628,0.00395565633660872,0,0,0,0,0,1
"18","gun ",528,0.00332577475434618,0,1,1,0,1,0
"23","news ",387,0.00243764172335601,1,0,0,0,0,0
"25","exchange ",378,0.00238095238095238,0,0,0,0,0,1
"29","teacher ",346,0.00217939027462837,0,0,0,0,0,1
"30","daughter ",337,0.00212270093222474,0,0,0,0,0,1
"32","honor ",333,0.00209750566893424,0,0,0,0,0,1
"35","love ",315,0.00198412698412698,0,0,0,0,0,1
"42","trump ",281,0.00176996724615772,1,0,0,0,0,0
"50","deadly ",257,0.00161879566641471,0,1,1,1,1,0
"51","police ",256,0.00161249685059209,1,0,1,0,0,1
"56","victim ",239,0.00150541698160746,0,1,1,0,1,0
"58","community ",229,0.0014424288233812,1,0,0,0,0,1
"71","hiding ",213,0.0013416477702192,0,0,1,0,0,0
"75","suspect ",204,0.00128495842781557,0,1,1,0,0,0
"77","armed ",202,0.00127236079617032,0,1,1,0,1,1
"79","lost ",202,0.00127236079617032,0,1,0,0,0,0
"81","shot ",196,0.00123456790123457,0,1,1,0,1,0
"82","star ",196,0.00123456790123457,0,0,0,0,0,1
"83","gov ",195,0.00122826908541194,1,0,0,0,0,0
"88","massacre ",180,0.00113378684807256,0,1,1,1,1,0
"100","violence ",165,0.00103930461073318,0,1,1,0,1,0
"101","tragedy ",165,0.00103930461073318,0,1,1,0,0,0
"103","protect ",161,0.00101410934744268,0,0,0,0,0,1
"105","control ",157,0.000988914084152179,1,0,0,0,0,0
"107","tragic ",155,0.000976316452506929,0,1,0,0,0,0
"117","art ",143,0.000900730662635425,0,0,0,0,0,1
"122","hospital ",135,0.000850340136054422,0,0,1,0,0,0
"127","attack ",133,0.000837742504409171,0,1,1,0,1,0
"128","expenses ",130,0.000818846056941295,0,1,0,0,0,0
"133","fire ",127,0.000799949609473419,0,0,1,0,0,0
"136","injured ",125,0.000787351977828168,0,1,1,0,0,0
"141","president ",121,0.000762156714537667,1,0,0,0,0,1
"153","action ",109,0.000686570924666163,1,0,0,0,0,1
"155","life ",108,0.000680272108843537,1,0,0,0,0,0
"159","mother ",107,0.000673973293020912,0,1,0,0,0,1
"162","statement ",105,0.000661375661375661,0,0,0,0,0,1
"163","governor ",105,0.000661375661375661,1,0,0,0,0,0
"191","killing ",91,0.000573192239858907,0,1,1,0,1,0
"195","tribute ",90,0.000566893424036281,1,0,0,0,0,1
"197","safe ",89,0.000560594608213656,0,0,0,0,0,1
"202","visit ",87,0.000547996976568405,0,0,0,0,0,1
"207","state ",85,0.000535399344923154,1,0,0,0,0,0
"218","found ",82,0.000516502897455278,0,0,0,0,0,1
"224","media ",80,0.000503905265810028,1,0,0,0,0,0
"226","graduation ",80,0.000503905265810028,0,0,1,0,0,1
"239","chaos ",77,0.000485008818342152,0,1,1,0,1,0
"241","church ",77,0.000485008818342152,0,0,0,0,0,1
"249","hero ",75,0.000472411186696901,0,0,0,0,0,1
"257","death ",74,0.000466112370874276,0,1,1,1,1,0
"264","problem ",73,0.00045981355505165,0,1,1,0,0,0
"271","god ",72,0.000453514739229025,0,0,1,0,0,1
"280","words ",70,0.000440917107583774,0,1,0,0,1,0
"285","choir ",69,0.000434618291761149,0,0,0,0,0,1
"306","music ",65,0.000409423028470648,0,0,0,0,0,1
"319","motive ",62,0.000390526581002771,0,0,0,0,0,1
"325","work ",61,0.000384227765180146,1,0,0,0,0,0
"327","calls ",61,0.000384227765180146,0,1,0,0,0,0
"336","hope ",59,0.000371630133534895,0,0,0,0,0,1
"338","good ",59,0.000371630133534895,0,0,0,0,0,1
"339","stone ",58,0.00036533131771227,0,1,0,0,1,0
"340","law ",58,0.00036533131771227,1,0,0,0,0,0
"341","laws ",58,0.00036533131771227,1,0,0,0,0,0
"343","football ",58,0.00036533131771227,0,0,0,0,0,1
"346","kill ",57,0.000359032501889645,0,1,1,0,0,0
"349","ceremony ",57,0.000359032501889645,0,0,0,0,0,1
"356","revolver ",57,0.000359032501889645,0,1,1,0,1,0
"357","country ",57,0.000359032501889645,1,0,0,0,0,0
"368","pray ",55,0.000346434870244394,0,0,1,0,0,1
"373","pastor ",54,0.000340136054421769,0,0,0,0,0,1
"374","include ",54,0.000340136054421769,0,0,0,0,0,1
"376","world ",53,0.000333837238599143,1,0,0,0,0,0
"381","loss ",52,0.000327538422776518,0,1,1,0,1,0
"383","accused ",52,0.000327538422776518,0,1,1,0,1,0
"389","horrific ",52,0.000327538422776518,0,1,1,1,1,0
"398","practice ",50,0.000314940791131267,0,0,0,0,0,1
"401","change ",50,0.000314940791131267,0,0,1,0,0,0
"408","watch ",48,0.000302343159486017,0,0,1,0,0,0
"409","join ",48,0.000302343159486017,0,0,0,0,0,1
"413","aftermath ",48,0.000302343159486017,0,1,1,1,1,0
