"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"25","love ",749,0.00238534272183847,0,0,0,0,0,1
"47","good ",491,0.00156368928761373,0,0,0,0,0,1
"52","people ",476,0.0015159187391123,1,0,0,0,0,0
"100","shit ",242,0.000770698182489865,0,1,0,1,1,0
"109","work ",221,0.000703819414587852,1,0,0,0,0,0
"110","hope ",220,0.000700634711354422,0,0,0,0,0,1
"113","life ",218,0.000694265304887564,1,0,0,0,0,0
"140","hate ",195,0.000621017130518693,0,1,1,1,1,0
"171","bad ",167,0.000531845439982675,0,1,1,1,1,0
"173","real ",166,0.000528660736749246,0,0,0,0,0,1
"185","wait ",159,0.000506367814115242,0,1,0,0,0,0
"189","happy ",157,0.000499998407648383,0,0,0,0,0,1
"210","watch ",139,0.000442673749446658,0,0,1,0,0,0
"232","talk ",128,0.000407642013878937,0,0,0,0,0,1
"237","vote ",126,0.000401272607412078,0,1,0,0,1,1
"238","ass ",126,0.000401272607412078,0,1,0,0,0,0
"241","sin ",125,0.000398087904178649,0,1,1,1,1,0
"279","world ",113,0.000359871465377499,1,0,0,0,0,0
"280","money ",113,0.000359871465377499,1,0,0,0,1,1
"314","pretty ",100,0.000318470323342919,0,0,0,0,0,1
"316","top ",100,0.000318470323342919,0,0,0,0,0,1
"318","baby ",100,0.000318470323342919,0,0,0,0,0,1
"331","wrong ",97,0.000308916213642632,0,1,0,0,0,0
"332","found ",97,0.000308916213642632,0,0,0,0,0,1
"348","god ",95,0.000302546807175773,0,0,1,0,0,1
"361","fun ",92,0.000292992697475486,0,0,0,0,0,1
"371","music ",90,0.000286623291008627,0,0,0,0,0,1
"400","damn ",85,0.000270699774841481,0,1,0,1,1,0
"413","job ",82,0.000261145665141194,0,0,0,0,0,1
"425","change ",81,0.000257960961907765,0,0,1,0,0,0
"429","trump ",80,0.000254776258674335,1,0,0,0,0,0
"435","friend ",79,0.000251591555440906,0,0,0,0,0,1
"438","birthday ",79,0.000251591555440906,0,0,0,0,0,1
"440","beautiful ",79,0.000251591555440906,0,0,0,0,0,1
"451","bitch ",77,0.000245222148974048,0,1,1,1,1,0
"458","eat ",76,0.000242037445740619,0,0,0,0,0,1
"467","cool ",75,0.000238852742507189,0,0,0,0,0,1
"473","news ",74,0.00023566803927376,1,0,0,0,0,0
"474","games ",74,0.00023566803927376,1,0,0,0,0,0
"480","social ",73,0.000232483336040331,1,0,0,0,0,0
"483","sea ",73,0.000232483336040331,0,0,0,0,0,1
"485","hit ",72,0.000229298632806902,0,1,0,0,1,0
"491","crazy ",71,0.000226113929573473,0,1,1,0,1,0
"496","lost ",71,0.000226113929573473,0,1,0,0,0,0
"507","laurel ",70,0.000222929226340044,0,0,0,0,0,1
"521","full ",68,0.000216559819873185,0,0,0,0,0,1
