"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"2","shooting ",2116,0.0130461052813298,0,1,1,0,1,0
"4","police ",1821,0.0112272957076094,1,0,1,0,0,1
"9","gun ",863,0.00532078868515481,0,1,1,0,1,0
"14","people ",690,0.00425416476565101,1,0,0,0,0,0
"15","shooter ",644,0.00397055378127428,0,0,1,0,0,0
"37","law ",377,0.0023243769806528,1,0,0,0,0,0
"40","news ",342,0.0021085860142792,1,0,0,0,0,0
"42","massacre ",335,0.00206542782100448,0,1,1,1,1,0
"47","president ",306,0.00188662959172349,1,0,0,0,0,1
"55","enforcement ",267,0.00164617680062148,0,1,0,0,0,0
"56","justice ",262,0.00161534951971096,1,0,0,0,0,1
"62","visit ",244,0.00150437130843311,0,0,0,0,0,1
"64","good ",241,0.0014858749398868,0,0,0,0,0,1
"75","community ",219,0.00135023490388054,1,0,0,0,0,1
"81","control ",209,0.00128858034205951,1,0,0,0,0,0
"86","trump ",199,0.00122692578023848,1,0,0,0,0,0
"88","laws ",196,0.00120842941169217,1,0,0,0,0,0
"93","tragedy ",190,0.00117143667459955,0,1,1,0,0,0
"97","assault ",179,0.00110361665659642,0,1,1,0,1,0
"120","state ",149,0.000918652971133334,1,0,0,0,0,0
"125","shot ",143,0.000881660234040717,0,1,1,0,1,0
"128","protect ",143,0.000881660234040717,0,0,0,0,0,1
"138","lost ",136,0.000838502040765996,0,1,0,0,0,0
"139","city ",135,0.000832336584583893,1,0,0,0,0,0
"147","health ",131,0.000807674759855482,1,0,0,0,0,0
"157","gov ",124,0.000764516566580761,1,0,0,0,0,0
"160","mayor ",122,0.000752185654216555,0,0,0,0,0,1
"161","country ",122,0.000752185654216555,1,0,0,0,0,0
"162","bad ",122,0.000752185654216555,0,1,1,1,1,0
"166","political ",118,0.000727523829488144,1,0,0,0,0,0
"167","convention ",118,0.000727523829488144,1,0,0,0,0,1
"175","violence ",115,0.000709027460941835,0,1,1,0,1,0
"181","change ",113,0.000696696548577629,0,0,1,0,0,0
"183","armed ",112,0.000690531092395526,0,1,1,0,1,1
"192","money ",109,0.000672034723849218,1,0,0,0,1,1
"194","media ",107,0.000659703811485012,1,0,0,0,0,0
"197","pay ",107,0.000659703811485012,0,0,0,0,0,1
"199","ban ",105,0.000647372899120806,1,1,0,0,0,0
"200","save ",104,0.000641207442938703,0,0,0,0,0,1
"201","job ",103,0.0006350419867566,0,0,0,0,0,1
"204","governor ",103,0.0006350419867566,1,0,0,0,0,0
"205","love ",103,0.0006350419867566,0,0,0,0,0,1
"210","attack ",101,0.000622711074392394,0,1,1,0,1,0
"212","god ",100,0.000616545618210291,0,0,1,0,0,1
"213","life ",100,0.000616545618210291,1,0,0,0,0,0
"217","vote ",99,0.000610380162028188,0,1,0,0,1,1
"221","wrong ",97,0.000598049249663983,0,1,0,0,0,0
"225","rifle ",96,0.00059188379348188,0,1,1,0,1,0
"229","problem ",95,0.000585718337299777,0,1,1,0,0,0
"233","blame ",94,0.000579552881117674,0,1,0,1,1,0
"237","action ",94,0.000579552881117674,1,0,0,0,0,1
"243","force ",91,0.000561056512571365,1,1,1,0,1,0
"246","work ",89,0.000548725600207159,1,0,0,0,0,0
"248","teacher ",89,0.000548725600207159,0,0,0,0,0,1
