"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"17","love ",305,0.00355196347882797,0,0,0,0,0,1
"39","good ",170,0.00197978292262543,0,0,0,0,0,1
"84","people ",91,0.00105976615269949,1,0,0,0,0,0
"92","shit ",84,0.000978245679414916,0,1,0,1,1,0
"97","hate ",77,0.00089672520613034,0,1,1,1,1,0
"107","hope ",70,0.000815204732845763,0,0,0,0,0,1
"111","wait ",70,0.000815204732845763,0,1,0,0,0,0
"146","work ",57,0.000663809568174407,1,0,0,0,0,0
"148","ass ",57,0.000663809568174407,0,1,0,0,0,0
"158","bad ",54,0.000628872222481017,0,1,1,1,1,0
"181","happy ",48,0.000558997531094238,0,0,0,0,0,1
"183","life ",47,0.000547351749196441,1,0,0,0,0,0
"192","watch ",46,0.000535705967298644,0,0,1,0,0,0
"213","bitch ",42,0.000489122839707458,0,1,1,1,1,0
"240","talk ",38,0.000442539712116271,0,0,0,0,0,1
"245","real ",37,0.000430893930218475,0,0,0,0,0,1
"246","money ",37,0.000430893930218475,1,0,0,0,1,1
"247","wit ",37,0.000430893930218475,0,0,0,0,0,1
"248","baby ",37,0.000430893930218475,0,0,0,0,0,1
"253","world ",36,0.000419248148320678,1,0,0,0,0,0
"267","cool ",34,0.000395956584525085,0,0,0,0,0,1
"286","hit ",32,0.000372665020729492,0,1,0,0,1,0
"303","party ",31,0.000361019238831695,1,0,0,0,0,0
"310","damn ",31,0.000361019238831695,0,1,0,1,1,0
"315","pretty ",30,0.000349373456933899,0,0,0,0,0,1
"323","god ",30,0.000349373456933899,0,0,1,0,0,1
"326","bout ",30,0.000349373456933899,0,1,0,0,1,0
"368","wrong ",27,0.000314436111240509,0,1,0,0,0,0
"373","friend ",27,0.000314436111240509,0,0,0,0,0,1
"378","fun ",27,0.000314436111240509,0,0,0,0,0,1
"390","birthday ",26,0.000302790329342712,0,0,0,0,0,1
"408","hell ",25,0.000291144547444915,0,1,1,1,1,0
"417","mad ",25,0.000291144547444915,0,1,1,1,1,0
"427","crazy ",24,0.000279498765547119,0,1,1,0,1,0
"437","music ",24,0.000279498765547119,0,0,0,0,0,1
"442","leave ",23,0.000267852983649322,0,1,0,0,0,0
"443","eat ",23,0.000267852983649322,0,0,0,0,0,1
"450","top ",23,0.000267852983649322,0,0,0,0,0,1
"456","die ",23,0.000267852983649322,0,1,1,0,0,0
"501","sin ",21,0.000244561419853729,0,1,1,1,1,0
"508","job ",20,0.000232915637955932,0,0,0,0,0,1
