"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"35","love ",213,0.001832589112872,0,0,0,0,0,1
"42","good ",194,0.00166911872252192,0,0,0,0,0,1
"49","people ",172,0.00147983721790603,1,0,0,0,0,0
"113","work ",83,0.000714107494687212,1,0,0,0,0,0
"121","hope ",79,0.000679692675666142,0,0,0,0,0,1
"133","shit ",75,0.000645277856645071,0,1,0,1,1,0
"135","real ",74,0.000636674151889804,0,0,0,0,0,1
"151","life ",67,0.00057644821860293,1,0,0,0,0,0
"158","bad ",66,0.000567844513847663,0,1,1,1,1,0
"178","hate ",58,0.000499014875805522,0,1,1,1,1,0
"189","games ",56,0.000481807466294987,1,0,0,0,0,0
"202","wait ",53,0.000455996352029184,0,1,0,0,0,0
"234","watch ",47,0.000404374123497578,0,0,1,0,0,0
"263","money ",42,0.00036135559972124,1,0,0,0,1,1
"281","sin ",41,0.000352751894965972,0,1,1,1,1,0
"283","happy ",41,0.000352751894965972,0,0,0,0,0,1
"286","wrong ",40,0.000344148190210705,0,1,0,0,0,0
"299","talk ",39,0.000335544485455437,0,0,0,0,0,1
"315","god ",37,0.000318337075944902,0,0,1,0,0,1
"316","world ",37,0.000318337075944902,1,0,0,0,0,0
"322","pretty ",36,0.000309733371189634,0,0,0,0,0,1
"324","top ",36,0.000309733371189634,0,0,0,0,0,1
"346","job ",34,0.000292525961679099,0,0,0,0,0,1
"363","ass ",33,0.000283922256923831,0,1,0,0,0,0
"385","fun ",32,0.000275318552168564,0,0,0,0,0,1
"402","hit ",30,0.000258111142658029,0,1,0,0,1,0
"409","hot ",30,0.000258111142658029,0,0,0,0,1,0
"414","vote ",29,0.000249507437902761,0,1,0,0,1,1
"418","cool ",29,0.000249507437902761,0,0,0,0,0,1
"419","state ",29,0.000249507437902761,1,0,0,0,0,0
"433","change ",29,0.000249507437902761,0,0,1,0,0,0
"437","found ",28,0.000240903733147493,0,0,0,0,0,1
"464","social ",27,0.000232300028392226,1,0,0,0,0,0
"465","power ",27,0.000232300028392226,1,0,0,0,0,0
"475","agree ",26,0.000223696323636958,0,0,0,0,0,1
"478","eat ",26,0.000223696323636958,0,0,0,0,0,1
"494","damn ",26,0.000223696323636958,0,1,0,1,1,0
"509","achievement ",25,0.00021509261888169,0,0,0,0,0,1
"519","beautiful ",25,0.00021509261888169,0,0,0,0,0,1
"524","shot ",24,0.000206488914126423,0,1,1,0,1,0
"533","full ",24,0.000206488914126423,0,0,0,0,0,1
"539","working ",24,0.000206488914126423,0,0,0,0,0,1
"544","lost ",24,0.000206488914126423,0,1,0,0,0,0
"549","covid ",23,0.000197885209371155,1,0,0,0,0,0
"550","feeling ",23,0.000197885209371155,0,1,1,1,1,1
"552","party ",23,0.000197885209371155,1,0,0,0,0,0
"555","words ",23,0.000197885209371155,0,1,0,0,1,0
"556","friend ",23,0.000197885209371155,0,0,0,0,0,1
"567","interesting ",22,0.000189281504615888,0,0,0,0,0,1
"570","battle ",22,0.000189281504615888,0,1,0,0,1,0
"578","pay ",22,0.000189281504615888,0,0,0,0,0,1
"581","sea ",22,0.000189281504615888,0,0,0,0,0,1
"583","case ",22,0.000189281504615888,0,1,1,0,0,0
"584","baby ",22,0.000189281504615888,0,0,0,0,0,1
"593","media ",21,0.00018067779986062,1,0,0,0,0,0
"595","hell ",21,0.00018067779986062,0,1,1,1,1,0
"598","problem ",21,0.00018067779986062,0,1,1,0,0,0
"600","kind ",21,0.00018067779986062,0,0,0,0,0,1
"610","birthday ",21,0.00018067779986062,0,0,0,0,0,1
"611","trump ",21,0.00018067779986062,1,0,0,0,0,0
"618","kill ",20,0.000172074095105352,0,1,1,0,0,0
"622","proud ",20,0.000172074095105352,0,0,0,0,0,1
"624","forget ",20,0.000172074095105352,0,1,0,0,0,0
"626","saber ",20,0.000172074095105352,0,1,1,0,1,0
"646","glad ",20,0.000172074095105352,0,0,0,0,0,1
"649","important ",20,0.000172074095105352,0,0,0,0,0,1
"661","country ",20,0.000172074095105352,1,0,0,0,0,0
"678","giving ",19,0.000163470390350085,0,0,0,0,0,1
"682","public ",19,0.000163470390350085,1,0,0,0,0,1
"694","reason ",18,0.000154866685594817,0,0,0,0,0,1
"698","leave ",18,0.000154866685594817,0,1,0,0,0,0
"720","government ",18,0.000154866685594817,1,1,1,0,0,0
"727","sick ",18,0.000154866685594817,0,1,0,1,0,0
"733","excited ",18,0.000154866685594817,0,0,0,0,0,1
"743","business ",17,0.00014626298083955,1,0,0,0,0,0
"752","fight ",17,0.00014626298083955,0,1,1,0,1,0
"755","league ",17,0.00014626298083955,0,0,0,0,0,1
"756","word ",17,0.00014626298083955,0,0,0,0,0,1
"760","brother ",17,0.00014626298083955,0,0,0,0,0,1
"761","news ",17,0.00014626298083955,1,0,0,0,0,0
"774","learn ",17,0.00014626298083955,0,0,0,0,0,1
"782","music ",17,0.00014626298083955,0,0,0,0,0,1
"783","fire ",17,0.00014626298083955,0,0,1,0,0,0
"792","worth ",17,0.00014626298083955,0,0,0,0,0,1
"793","finally ",16,0.000137659276084282,0,0,0,1,0,1
"806","favorite ",16,0.000137659276084282,0,0,0,0,0,1
"811","green ",16,0.000137659276084282,0,0,0,0,0,1
"824","sense ",16,0.000137659276084282,0,0,0,0,0,1
"829","worse ",16,0.000137659276084282,0,1,1,0,0,0
"832","small ",16,0.000137659276084282,0,1,0,0,0,0
"838","health ",16,0.000137659276084282,1,0,0,0,0,0
"842","city ",16,0.000137659276084282,1,0,0,0,0,0
