"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","de ",1152,0.0138058315257122,0,0,0,0,0,0
"2","que ",1060,0.012703282480256,0,0,0,0,0,0
"3","y ",986,0.0118164495523891,0,0,0,0,0,0
"4","la ",716,0.00858070778855027,0,0,0,0,0,0
"5","love ",531,0.00636362546888295,0,0,0,0,0,1
"6","o ",474,0.00568052442985032,0,0,0,0,0,0
"7","e ",424,0.00508131299210239,0,0,0,0,0,0
"8","just ",404,0.00484162841700322,0,0,0,0,0,0
"9","el ",403,0.00482964418824827,0,0,0,0,0,0
"10","en ",388,0.00464988075692389,0,0,0,0,0,0
"11","follow ",377,0.00451805424061935,0,0,0,0,0,0
"12","like ",341,0.00408662200544084,0,0,0,0,0,0
"13","se ",339,0.00406265354793092,0,0,0,0,0,0
"14","u ",302,0.00361923708399746,0,0,0,0,0,0
"15","te ",273,0.00327169445010366,0,0,0,0,0,0
"16","un ",259,0.00310391524753424,0,0,0,0,0,0
"17","é ",258,0.00309193101877929,0,0,0,0,0,0
"18","please ",243,0.00291216758745491,0,0,0,0,0,0
"19","can ",242,0.00290018335869995,0,0,0,0,0,0
"20","get ",239,0.00286423067243508,0,0,0,0,0,0
"21","lo ",236,0.0028282779861702,0,0,0,0,0,0
"22","con ",229,0.00274438838488549,0,0,0,0,0,0
"23","know ",219,0.00262454609733591,0,0,0,0,0,0
"24","much ",210,0.00251668803854128,0,0,0,0,0,0
"25","q ",207,0.0024807353522764,0,0,0,0,0,0
"26","por ",194,0.00232494037846194,0,0,0,0,0,0
"27","mi ",194,0.00232494037846194,0,0,0,0,0,0
"28","los ",193,0.00231295614970699,0,0,0,0,0,0
"29","para ",193,0.00231295614970699,0,0,0,0,0,0
"30","go ",191,0.00228898769219707,0,0,0,0,0,0
"31","es ",189,0.00226501923468715,0,0,0,0,0,0
"32","amp ",174,0.00208525580336277,0,0,0,0,0,0
"33","see ",170,0.00203731888834294,0,0,0,0,0,0
"34","las ",169,0.00202533465958798,0,0,0,0,0,0
"35","want ",169,0.00202533465958798,0,0,0,0,0,0
"36","si ",161,0.00192946082954831,0,0,0,0,0,0
"37","one ",156,0.00186953968577352,0,0,0,0,0,0
"38","tu ",150,0.00179763431324377,0,0,0,0,0,0
"39","will ",148,0.00177366585573385,0,0,0,0,0,0
"40","eu ",146,0.00174969739822394,0,0,0,0,0,0
"41","make ",143,0.00171374471195906,0,0,0,0,0,0
"42","time ",141,0.00168977625444914,0,0,0,0,0,0
"43","got ",140,0.00167779202569419,0,0,0,0,0,0
"44","really ",137,0.00164183933942931,0,0,0,0,0,0
"45","le ",136,0.00162985511067435,0,0,0,0,0,0
"46","day ",134,0.00160588665316444,0,0,0,0,0,0
"47","ya ",134,0.00160588665316444,0,0,0,0,0,0
"48","need ",132,0.00158191819565452,0,0,0,0,0,0
"49","good ",129,0.00154596550938964,0,0,0,0,0,1
"50","now ",128,0.00153398128063468,0,0,0,0,0,0
"51","una ",126,0.00151001282312477,0,0,0,0,0,0
"52","yo ",122,0.00146207590810493,0,0,0,0,0,0
"53","não ",120,0.00143810745059502,0,0,0,0,0,0
