"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","michael ",9112,0.0858044164037855,0,0,0,0,0,0
"2","brown ",8221,0.0774141908752766,0,0,0,0,0,0
"3","shooting ",2149,0.0202363576439569,0,1,1,0,1,0
"4","ferguson ",1686,0.0158764536936767,0,0,0,0,0,0
"5","police ",1456,0.0137106266773389,1,0,1,0,0,1
"6","via ",1413,0.0133057111916757,0,0,0,0,0,0
"7","browns ",914,0.00860680823014266,0,0,0,0,0,0
"8","felony ",882,0.00830547577569565,0,1,0,0,0,0
"9","brown’s ",719,0.00677056358585621,0,0,0,0,0,0
"10","new ",693,0.00652573096661801,0,0,0,0,0,0
"11","serious ",681,0.00641273129620039,0,0,0,0,0,0
"12","chief ",646,0.00608314892414897,0,0,0,0,0,0
"13","juvenile ",632,0.00595131597532841,0,1,0,0,0,0
"14","shot ",628,0.00591364941852253,0,1,1,0,1,0
"15","witness ",606,0.00570648335609021,0,0,0,0,0,0
"16","never ",572,0.00538631762324027,0,0,0,0,0,0
"17","says ",559,0.00526390131362117,0,0,0,0,0,0
"18","witnesses ",533,0.00501906869438297,0,0,0,0,0,0
"19","de ",530,0.00499081877677857,0,0,0,0,0,0
"20","louis ",514,0.00484015254955506,0,0,0,0,0,0
"21","lied ",490,0.00461415320871981,0,0,0,0,0,0
"22","tape ",481,0.00452940345590659,0,0,0,0,0,0
"23","force ",462,0.00435048731107868,1,1,1,0,1,0
"24","lawyer ",445,0.0041904044446537,0,1,1,1,1,0
"25","moves ",418,0.00393615518621404,0,0,0,0,0,0
"26","st ",418,0.00393615518621404,0,0,0,0,0,0
"27","justice ",415,0.00390790526860963,1,0,0,0,0,1
"28","released ",406,0.00382315551579641,0,0,0,0,0,0
"29","robbery ",395,0.00371957248458025,0,1,1,1,1,0
"30","strong ",382,0.00359715617496116,0,0,0,0,0,0
"31","la ",379,0.00356890625735675,0,0,0,0,0,0
"32","cent ",358,0.0033711568341259,0,0,0,0,0,0
"33","video ",353,0.00332407363811856,0,0,0,0,0,0
"34","mayweather ",351,0.00330524035971562,0,0,0,0,0,0
"35","forward ",337,0.00317340741089505,0,0,0,0,0,1
"36","report ",325,0.00306040774047742,0,0,0,0,0,0
"37","record ",323,0.00304157446207449,0,0,0,0,0,0
"38","convictions ",321,0.00302274118367155,0,0,0,0,0,0
"39","man ",319,0.00300390790526861,0,0,0,0,0,0
"40","death ",318,0.00299449126606714,0,1,1,1,1,0
"41","alleged ",307,0.00289090823485098,0,0,0,0,0,0
"42","charge ",305,0.00287207495644804,0,0,0,0,0,0
"43","faced ",305,0.00287207495644804,0,0,0,0,0,0
"44","officer ",303,0.00285324167804511,1,0,0,0,0,1
"45","records ",301,0.00283440839964217,0,0,0,0,0,0
"46","court ",298,0.00280615848203776,0,0,1,0,1,0
"47","missouri ",297,0.00279674184283629,0,0,0,0,0,0
"48","hands ",293,0.00275907528603042,0,0,0,0,0,0
"49","provide ",290,0.00273082536842601,0,0,0,0,0,1
"50","will ",290,0.00273082536842601,0,0,0,0,0,0
"51","darren ",289,0.00272140872922454,0,0,0,0,0,0
"52","comes ",288,0.00271199209002307,0,0,0,0,0,0
"53","amp ",280,0.00263665897641132,0,0,0,0,0,0
"54","family ",278,0.00261782569800838,0,0,0,0,0,0
"55","official’s ",278,0.00261782569800838,0,0,0,0,0,0
"56","news ",277,0.00260840905880691,1,0,0,0,0,0
"57","story ",275,0.00258957578040397,0,0,0,0,0,0
"58","perspective ",270,0.00254249258439663,0,0,0,0,0,0
"59","media ",269,0.00253307594519516,1,0,0,0,0,0
"60","smear ",266,0.00250482602759075,0,0,0,0,0,0
"61","forget ",248,0.00233532652196431,0,1,0,0,0,0
"62","hiphop ",246,0.00231649324356137,0,0,0,0,0,0
"63","donate ",243,0.00228824332595697,0,0,0,0,0,0
"64","black ",241,0.00226941004755403,0,0,0,0,0,0
"65","huge ",237,0.00223174349074815,0,0,0,0,0,0
"66","wilson ",234,0.00220349357314375,0,0,0,0,0,0
"67","murder ",227,0.00213757709873346,0,1,1,1,1,0
"68","cole ",225,0.00211874382033052,0,0,0,0,0,0
"69","just ",225,0.00211874382033052,0,0,0,0,0,0
"70","surveillance ",225,0.00211874382033052,0,0,1,0,0,0
"71","white ",209,0.00196807759310702,0,0,0,0,0,0
"72","charged ",209,0.00196807759310702,0,0,0,0,0,0
"73","old ",190,0.00178916144827911,0,0,0,0,0,0
"74","tras ",188,0.00177032816987617,0,0,0,0,0,0
"75","mo ",188,0.00177032816987617,0,0,0,0,0,0
"76","investigará ",183,0.00172324497386883,0,0,0,0,0,0
"77","policía ",182,0.00171382833466736,0,0,0,0,0,0
"78","money ",182,0.00171382833466736,1,0,0,0,1,1
"79","murdered ",177,0.00166674513866001,0,0,0,0,0,0
"80","department ",170,0.00160082866424973,0,0,0,0,0,0
"81","lie ",170,0.00160082866424973,0,1,0,1,1,0
"82","unarmed ",168,0.00158199538584679,0,0,0,0,0,0
"83","cop ",165,0.00155374546824238,0,0,1,0,0,0
"84","caught ",161,0.00151607891143651,0,0,0,0,0,0
"85","really ",158,0.0014878289938321,0,0,0,0,0,0
"86","muerte ",157,0.00147841235463063,0,0,0,0,0,0
"87","conservative ",154,0.00145016243702623,0,0,0,0,0,0
"88","history ",153,0.00144074579782476,1,0,0,0,0,0
"89","case ",152,0.00143132915862329,0,1,1,0,0,0
"90","killer ",149,0.00140307924101888,0,0,0,0,0,0
"91","johnson ",148,0.00139366260181741,0,0,0,0,0,0
"92","friend ",147,0.00138424596261594,0,0,0,0,0,1
"93","el ",146,0.00137482932341447,0,0,0,0,0,0
"94","get ",142,0.0013371627666086,0,0,0,0,0,0
"95","charges ",141,0.00132774612740713,0,0,0,0,0,0
"96","gov ",139,0.00130891284900419,1,0,0,0,0,0
"97","now ",137,0.00129007957060125,0,0,0,0,0,0
"98","pd ",136,0.00128066293139978,0,0,0,0,0,0
"99","ross ",134,0.00126182965299685,0,0,0,0,0,0
"100","since ",134,0.00126182965299685,0,0,0,0,0,0
"101","surrounding ",134,0.00126182965299685,0,0,0,0,0,0
"102","killing ",134,0.00126182965299685,0,1,1,0,1,0
"103","tried ",130,0.00122416309619097,0,0,0,0,0,0
"104","eeuu ",129,0.0012147464569895,0,0,0,0,0,0
"105","workers ",129,0.0012147464569895,0,0,0,0,0,0
"106","jay ",128,0.00120532981778803,0,0,0,0,0,0
"107","song ",128,0.00120532981778803,0,0,0,0,0,0
"108","rt ",128,0.00120532981778803,0,0,0,0,0,0
"109","’s ",127,0.00119591317858656,0,0,0,0,0,0
"110","nixon ",126,0.00118649653938509,0,0,0,0,0,0
"111","floyd ",126,0.00118649653938509,0,0,0,0,0,0
"112","holder ",125,0.00117707990018362,0,0,0,0,0,0
"113","dorian ",125,0.00117707990018362,0,0,0,0,0,0
"114","clean ",125,0.00117707990018362,0,0,0,0,0,1
"115","us ",125,0.00117707990018362,0,0,0,0,0,0
"116","investigated ",121,0.00113941334337775,0,0,0,0,0,0
"117","gets ",120,0.00112999670417628,0,0,0,0,0,0
