"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","de ",1427,0.0168339841215539,0,0,0,0,0,0
"2","que ",1269,0.0149700951998962,0,0,0,0,0,0
"3","y ",1176,0.0138729960244901,0,0,0,0,0,0
"4","la ",757,0.00893015135249915,0,0,0,0,0,0
"5","el ",639,0.00753813304391936,0,0,0,0,0,0
"6","o ",588,0.00693649801224504,0,0,0,0,0,0
"7","e ",494,0.00582760207151199,0,0,0,0,0,0
"8","en ",468,0.00552088617301136,0,0,0,0,0,0
"9","se ",423,0.00499003173329873,0,0,0,0,0,0
"10","like ",315,0.00371598107798842,0,0,0,0,0,0
"11","just ",313,0.00369238754733452,0,0,0,0,0,0
"12","é ",298,0.00351543606743031,0,0,0,0,0,0
"13","love ",282,0.00332668782219915,0,0,0,0,0,1
"14","q ",273,0.00322051693425663,0,0,0,0,0,0
"15","por ",264,0.0031143460463141,0,0,0,0,0,0
"16","un ",262,0.00309075251566021,0,0,0,0,0,0
"17","los ",254,0.00299637839304463,0,0,0,0,0,0
"18","te ",242,0.00285481720912126,0,0,0,0,0,0
"19","u ",239,0.00281942691314042,0,0,0,0,0,0
"20","lo ",228,0.002689662494544,0,0,0,0,0,0
"21","es ",224,0.00264247543323621,0,0,0,0,0,0
"22","para ",223,0.00263067866790926,0,0,0,0,0,0
"23","eu ",222,0.00261888190258231,0,0,0,0,0,0
"24","get ",220,0.00259528837192842,0,0,0,0,0,0
"25","le ",216,0.00254810131062063,0,0,0,0,0,0
"26","know ",213,0.00251271101463979,0,0,0,0,0,0
"27","con ",213,0.00251271101463979,0,0,0,0,0,0
"28","mi ",200,0.00235935306538947,0,0,0,0,0,0
"29","chile ",185,0.00218240158548526,0,0,0,0,0,0
"30","amp ",174,0.00205263716688884,0,0,0,0,0,0
"31","can ",172,0.00202904363623494,0,0,0,0,0,0
"32","não ",164,0.00193466951361937,0,0,0,0,0,0
"33","ya ",162,0.00191107598296547,0,0,0,0,0,0
"34","want ",159,0.00187568568698463,0,0,0,0,0,0
"35","si ",158,0.00186388892165768,0,0,0,0,0,0
"36","como ",153,0.00180490509502294,0,0,0,0,0,0
"37","del ",151,0.00178131156436905,0,0,0,0,0,0
"38","las ",148,0.00174592126838821,0,0,0,0,0,0
"39","one ",147,0.00173412450306126,0,0,0,0,0,0
"40","good ",146,0.00172232773773431,0,0,0,0,0,1
"41","new ",145,0.00171053097240737,0,0,0,0,0,0
"42","da ",144,0.00169873420708042,0,0,0,0,0,0
"43","gol ",140,0.00165154714577263,0,0,0,0,0,0
"44","go ",139,0.00163975038044568,0,0,0,0,0,0
"45","time ",138,0.00162795361511873,0,0,0,0,0,0
"46","al ",128,0.00150998596184926,0,0,0,0,0,0
"47","mas ",127,0.00149818919652231,0,0,0,0,0,0
"48","una ",127,0.00149818919652231,0,0,0,0,0,0
"49","got ",127,0.00149818919652231,0,0,0,0,0,0
"50","will ",127,0.00149818919652231,0,0,0,0,0,0
"51","um ",126,0.00148639243119537,0,0,0,0,0,0
"52","méxico ",126,0.00148639243119537,0,0,0,0,0,0
"53","com ",123,0.00145100213521452,0,0,0,0,0,0
"54","yo ",121,0.00142740860456063,0,0,0,0,0,0
"55","tu ",117,0.00138022154325284,0,0,0,0,0,0
"56","voy ",114,0.001344831247272,0,0,0,0,0,0
"57","d ",113,0.00133303448194505,0,0,0,0,0,0
"58","na ",113,0.00133303448194505,0,0,0,0,0,0
"59","need ",111,0.00130944095129116,0,0,0,0,0,0
"60","pra ",110,0.00129764418596421,0,0,0,0,0,0
"61","now ",109,0.00128584742063726,0,0,0,0,0,0
"62","day ",109,0.00128584742063726,0,0,0,0,0,0
"63","ser ",109,0.00128584742063726,0,0,0,0,0,0
"64","see ",105,0.00123866035932947,0,0,0,0,0,0
"65","even ",104,0.00122686359400252,0,0,0,0,0,0
"66","n ",103,0.00121506682867558,0,0,0,0,0,0
"67","really ",103,0.00121506682867558,0,0,0,0,0,0
"68","think ",102,0.00120327006334863,0,0,0,0,0,0
"69","más ",100,0.00117967653269474,0,0,0,0,0,0
"70","vidal ",99,0.00116787976736779,0,0,0,0,0,0
"71","follow ",96,0.00113248947138695,0,0,0,0,0,0
"72","x ",96,0.00113248947138695,0,0,0,0,0,0
"73","much ",95,0.00112069270606,0,0,0,0,0,0
"74","ver ",95,0.00112069270606,0,0,0,0,0,0
"75","today ",92,0.00108530241007916,0,0,0,0,0,0
"76","people ",91,0.00107350564475221,1,0,0,0,0,0
"77","make ",91,0.00107350564475221,0,0,0,0,0,0
"78","todo ",90,0.00106170887942526,0,0,0,0,0,0
"79","esta ",87,0.00102631858344442,0,0,0,0,0,0
"80","pero ",86,0.00101452181811747,0,0,0,0,0,0
"81","nos ",86,0.00101452181811747,0,0,0,0,0,0
"82","cuando ",84,0.000990928287463578,0,0,0,0,0,0
"83","em ",84,0.000990928287463578,0,0,0,0,0,0
"84","back ",83,0.00097913152213663,0,0,0,0,0,0
"85","going ",83,0.00097913152213663,0,0,0,0,0,0
"86","say ",83,0.00097913152213663,0,0,0,0,0,0
"87","mexico ",82,0.000967334756809683,0,0,0,0,0,0
"88","mais ",82,0.000967334756809683,0,0,0,0,0,0
"89","never ",81,0.000955537991482735,0,0,0,0,0,0
"90","still ",81,0.000955537991482735,0,0,0,0,0,0
"91","game ",80,0.000943741226155788,0,0,0,0,0,0
"92","feel ",79,0.000931944460828841,0,0,0,0,0,0
"93","p ",78,0.000920147695501893,0,0,0,0,0,0
"94","va ",78,0.000920147695501893,0,0,0,0,0,0
"95","ni ",73,0.000861163868867157,0,0,0,0,0,0
"96","nada ",73,0.000861163868867157,0,0,0,0,0,0
"97","right ",73,0.000861163868867157,0,0,0,0,0,0
"98","hope ",72,0.000849367103540209,0,0,0,0,0,1
"99","uma ",72,0.000849367103540209,0,0,0,0,0,0
"100","c ",72,0.000849367103540209,0,0,0,0,0,0
"101","lol ",71,0.000837570338213262,0,0,0,0,0,0
"102","rain ",70,0.000825773572886315,0,0,0,0,0,0
