"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","church ",9648,0.0969521570046125,0,0,0,0,0,1
"2","charleston ",7894,0.0793263191743792,0,0,0,0,0,0
"3","shooting ",3544,0.0356134374403344,0,1,1,0,1,0
"4","service ",1810,0.0181885783766945,0,0,0,0,0,0
"5","victims ",1370,0.0137670455116417,0,0,0,0,0,0
"6","massacre ",1222,0.0122798026388512,0,1,1,1,1,0
"7","first ",1181,0.0118677961673349,0,0,0,0,0,0
"8","ame ",1162,0.0116768663390713,0,0,0,0,0,0
"9","emanuel ",903,0.00907419131168792,0,0,0,0,0,0
"10","reopens ",879,0.00883301679177595,0,0,0,0,0,0
"11","attack ",742,0.00745631224061178,0,1,1,0,1,0
"12","via ",705,0.00708450152241416,0,0,0,0,0,0
"13","photos ",617,0.0062001949494036,0,0,0,0,0,0
"14","news ",597,0.00599921618281029,1,0,0,0,0,0
"15","black ",596,0.00598916724448062,0,0,0,0,0,0
"16","since ",595,0.00597911830615096,0,0,0,0,0,0
"17","churchs ",595,0.00597911830615096,0,0,0,0,0,0
"18","powerful ",589,0.00591882467617296,0,0,1,1,1,1
"19","funerals ",417,0.0041904072834705,0,0,0,0,0,0
"20","holds ",412,0.00414016259182217,0,0,0,0,0,0
"21","roof ",377,0.00378844975028388,0,0,0,0,0,0
"22","sc ",375,0.00376835187362455,0,0,0,0,0,0
"23","sunday ",373,0.00374825399696522,0,0,0,0,0,0
"24","people ",355,0.00356737310703124,1,0,0,0,0,0
"25","historic ",340,0.00341663903208626,0,0,0,0,0,0
"26","nine ",335,0.00336639434043793,0,0,0,0,0,0
"27","can ",323,0.00324580708048195,0,0,0,0,0,0
"28","white ",321,0.00322570920382262,0,0,0,0,0,0
"29","shootings ",311,0.00312521982052596,0,0,0,0,0,0
"30","dylann ",306,0.00307497512887763,0,0,0,0,0,0
"31","south ",303,0.00304482831388864,0,0,0,0,0,0
"32","carolina ",302,0.00303477937555897,0,0,0,0,0,0
"33","video ",280,0.00281370273230633,0,0,0,0,0,0
"34","close ",278,0.002793604855647,0,0,0,0,0,0
"35","evildoer ",273,0.00274336016399867,0,0,0,0,0,0
"36","flag ",271,0.00272326228733934,0,0,0,0,0,0
"37","confederate ",268,0.00269311547235035,0,0,0,0,0,1
"38","show ",264,0.00265291971903168,0,0,0,0,0,0
"39","mourns ",263,0.00264287078070202,0,0,0,0,0,0
"40","shooter ",258,0.00259262608905369,0,0,1,0,0,0
"41","… ",252,0.0025323324590757,0,0,0,0,0,0
"42","doors ",248,0.00249213670575704,0,0,0,0,0,0
"43","racist ",242,0.00243184307577904,0,0,0,0,0,0
"44","killed ",241,0.00242179413744938,0,0,0,0,0,0
"45","unity ",229,0.00230120687749339,0,0,0,0,0,1
"46","congregation ",229,0.00230120687749339,0,0,0,0,0,1
"47","st ",228,0.00229115793916373,0,0,0,0,0,0
"48","bells ",222,0.00223086430918573,0,0,0,0,0,0
"49","triumph ",221,0.00222081537085607,0,0,0,0,0,1
"50","tragedy ",219,0.00220071749419674,0,1,1,0,0,0
"51","obama ",217,0.00218061961753741,0,0,0,0,0,0
"52","prayer ",215,0.00216052174087808,0,0,0,0,0,0
"53","faith ",199,0.00199973872760343,0,0,0,0,0,1
"54","days ",198,0.00198968978927376,0,0,0,0,0,0
"55","members ",194,0.0019494940359551,0,0,0,0,0,0
"56","suspect ",184,0.00184900465265845,0,1,1,0,0,0
"57","african ",182,0.00182890677599912,0,0,0,0,0,0
"58","devil ",181,0.00181885783766945,0,1,1,1,1,0
"59","kill ",180,0.00180880889933978,0,1,1,0,0,0
"60","gunman ",179,0.00179875996101012,0,0,0,0,0,0
"61","ap ",176,0.00176861314602112,0,0,0,0,0,0
"62","churches ",173,0.00173846633103213,0,0,0,0,0,0
"63","wake ",173,0.00173846633103213,0,0,0,0,0,0
"64","will ",173,0.00173846633103213,0,0,0,0,0,0
"65","supremacist ",171,0.0017183684543728,0,0,0,0,0,0
"66","services ",170,0.00170831951604313,0,0,0,0,0,0
"67","west ",169,0.00169827057771346,0,0,0,0,0,0
"68","charlestons ",165,0.0016580748243948,0,0,0,0,0,0
"69","message ",162,0.00162792800940581,0,0,0,0,0,0
"70","friday ",160,0.00160783013274648,0,0,0,0,0,0
"71","new ",160,0.00160783013274648,0,0,0,0,0,0
"72","fox ",156,0.00156763437942781,0,0,0,0,0,0
"73","violence ",155,0.00155758544109815,0,1,1,0,1,0
"74","hate ",153,0.00153748756443882,0,1,1,1,1,0
