"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","de ",2121,0.0179956219986085,0,0,0,0,0,0
"2","que ",1856,0.0157472298111351,0,0,0,0,0,0
"3","y ",1236,0.0104868405423292,0,0,0,0,0,0
"4","o ",999,0.00847601432183401,0,0,0,0,0,0
"5","la ",954,0.00809421187490455,0,0,0,0,0,0
"6","e ",883,0.00749181245863807,0,0,0,0,0,0
"7","el ",602,0.00510766829003411,0,0,0,0,0,0
"8","en ",588,0.00498888530654494,0,0,0,0,0,0
"9","se ",584,0.00495494731126232,0,0,0,0,0,0
"10","é ",574,0.00487010232305578,0,0,0,0,0,0
"11","just ",465,0.00394529195160442,0,0,0,0,0,0
"12","’s ",449,0.00380953997047394,0,0,0,0,0,0
"13","q ",439,0.0037246949822674,0,0,0,0,0,0
"14","por ",426,0.00361439649759889,0,0,0,0,0,0
"15","eu ",396,0.00335986153297925,0,0,0,0,0,0
"16","não ",367,0.00311381106718026,0,0,0,0,0,0
"17","es ",363,0.00307987307189764,0,0,0,0,0,0
"18","like ",359,0.00304593507661502,0,0,0,0,0,0
"19","los ",357,0.00302896607897371,0,0,0,0,0,0
"20","para ",348,0.00295260558958782,0,0,0,0,0,0
"21","un ",334,0.00283382260609866,0,0,0,0,0,0
"22","’m ",313,0.00265564813086491,0,0,0,0,0,0
"23","lo ",283,0.00240111316624527,0,0,0,0,0,0
"24","get ",270,0.00229081468157676,0,0,0,0,0,0
"25","con ",267,0.0022653611851148,0,0,0,0,0,0
"26","com ",254,0.00215506270044628,0,0,0,0,0,0
"27","can ",249,0.00211264020634301,0,0,0,0,0,0
"28","como ",237,0.00201082622049516,0,0,0,0,0,0
"29","will ",236,0.0020023417216745,0,0,0,0,0,0
"30","know ",235,0.00199385722285385,0,0,0,0,0,0
"31","pra ",232,0.00196840372639188,0,0,0,0,0,0
"32","one ",229,0.00194295022992992,0,0,0,0,0,0
"33","love ",227,0.00192598123228861,0,0,0,0,0,1
"34","da ",226,0.00191749673346795,0,0,0,0,0,0
"35","um ",225,0.0019090122346473,0,0,0,0,0,0
"36","te ",216,0.00183265174526141,0,0,0,0,0,0
"37","le ",215,0.00182416724644075,0,0,0,0,0,0
"38","si ",206,0.00174780675705486,0,0,0,0,0,0
"39","una ",204,0.00173083775941355,0,0,0,0,0,0
"40","las ",204,0.00173083775941355,0,0,0,0,0,0
"41","time ",203,0.0017223532605929,0,0,0,0,0,0
"42","mi ",203,0.0017223532605929,0,0,0,0,0,0
"43","instagram ",199,0.00168841526531028,0,0,0,0,0,0
"44","don’t ",198,0.00167993076648962,0,0,0,0,0,0
"45","mas ",194,0.001645992771207,0,0,0,0,0,0
"46","think ",192,0.0016290237735657,0,0,0,0,0,0
"47","del ",181,0.00153569428653849,0,0,0,0,0,0
"48","uma ",178,0.00151024079007653,0,0,0,0,0,0
"49","na ",178,0.00151024079007653,0,0,0,0,0,0
"50","go ",177,0.00150175629125588,0,0,0,0,0,0
"51","mais ",174,0.00147630279479391,0,0,0,0,0,0
"52","people ",171,0.00145084929833195,1,0,0,0,0,0
"53","want ",171,0.00145084929833195,0,0,0,0,0,0
"54","amp ",170,0.00144236479951129,0,0,0,0,0,0
"55","em ",169,0.00143388030069064,0,0,0,0,0,0
"56","need ",164,0.00139145780658736,0,0,0,0,0,0
"57","now ",163,0.00138297330776671,0,0,0,0,0,0
"58","see ",163,0.00138297330776671,0,0,0,0,0,0
"59","good ",159,0.00134903531248409,0,0,0,0,0,1
"60","pero ",158,0.00134055081366344,0,0,0,0,0,0
"61","ya ",151,0.00128115932191885,0,0,0,0,0,0
"62","ser ",150,0.0012726748230982,0,0,0,0,0,0
"63","u ",148,0.00125570582545689,0,0,0,0,0,0
"64","got ",148,0.00125570582545689,0,0,0,0,0,0
"65","todo ",147,0.00124722132663624,0,0,0,0,0,0
"66","back ",144,0.00122176783017427,0,0,0,0,0,0
"67","só ",144,0.00122176783017427,0,0,0,0,0,0
"68","really ",144,0.00122176783017427,0,0,0,0,0,0
"69","make ",143,0.00121328333135362,0,0,0,0,0,0
"70","más ",142,0.00120479883253296,0,0,0,0,0,0
"71","al ",142,0.00120479883253296,0,0,0,0,0,0
"72","still ",142,0.00120479883253296,0,0,0,0,0,0
"73","even ",142,0.00120479883253296,0,0,0,0,0,0
"74","meu ",142,0.00120479883253296,0,0,0,0,0,0
"75","tu ",139,0.001179345336071,0,0,0,0,0,0
"76","n ",135,0.00114540734078838,0,0,0,0,0,0
"77","twitter ",134,0.00113692284196772,0,0,0,0,0,0
"78","su ",131,0.00111146934550576,0,0,0,0,0,0
"79","day ",131,0.00111146934550576,0,0,0,0,0,0
"80","gente ",127,0.00107753135022314,0,0,0,0,0,0
"81","tem ",124,0.00105207785376118,0,0,0,0,0,0
"82","going ",119,0.0010096553596579,0,0,0,0,0,0
"83","can’t ",118,0.00100117086083725,0,0,0,0,0,0
"84","porque ",117,0.000992686362016596,0,0,0,0,0,0
"85","yo ",116,0.000984201863195941,0,0,0,0,0,0
"86","facebook ",115,0.000975717364375286,0,0,0,0,0,0
"87","never ",113,0.000958748366733977,0,0,0,0,0,0
"88","ver ",113,0.000958748366733977,0,0,0,0,0,0
"89","nos ",111,0.000941779369092668,0,0,0,0,0,0
"90","isso ",110,0.000933294870272013,0,0,0,0,0,0
"91","much ",109,0.000924810371451358,0,0,0,0,0,0
"92","tá ",108,0.000916325872630704,0,0,0,0,0,0
"93","os ",107,0.000907841373810049,0,0,0,0,0,0
"94","way ",104,0.000882387877348085,0,0,0,0,0,0
"95","minha ",101,0.000856934380886121,0,0,0,0,0,0
"96","say ",100,0.000848449882065466,0,0,0,0,0,0
"97","está ",99,0.000839965383244812,0,0,0,0,0,0
"98","new ",98,0.000831480884424157,0,0,0,0,0,0
"99","right ",97,0.000822996385603502,0,0,0,0,0,0
"100","todos ",94,0.000797542889141538,0,0,0,0,0,0
"101","muito ",94,0.000797542889141538,0,0,0,0,0,0
"102","nada ",94,0.000797542889141538,0,0,0,0,0,0
"103","vai ",94,0.000797542889141538,0,0,0,0,0,0
"104","today ",93,0.000789058390320884,0,0,0,0,0,0
"105","les ",91,0.000772089392679574,0,0,0,0,0,0
"106","work ",91,0.000772089392679574,1,0,0,0,0,0
"107","vc ",87,0.000738151397396956,0,0,0,0,0,0
