"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","woods ",8229,0.0582233700074292,0,0,0,0,0,0
"2","laguna ",7744,0.0547918067003927,0,0,0,0,0,0
"3","church ",4707,0.0333038525489086,0,0,0,0,0,1
"4","shooting ",3987,0.0282095730003184,0,1,1,0,1,0
"5","buffalo ",1651,0.0116814660204479,0,0,0,0,0,0
"6","california ",1453,0.0102805391445856,0,0,0,0,0,0
"7","people ",1397,0.00988431740191743,1,0,0,0,0,0
"8","one ",1031,0.00729472529805073,0,0,0,0,0,0
"9","shot ",962,0.0068065235079775,0,1,1,0,1,0
"10","mass ",853,0.00603530618742703,0,0,0,0,0,0
"11","presbyterian ",819,0.00579474298652139,0,0,0,0,0,0
"12","en ",815,0.00576644143347366,0,0,0,0,0,0
"13","shooter ",783,0.00554002900909187,0,0,1,0,0,0
"14","ca ",777,0.00549757667952029,0,0,0,0,0,0
"15","dead ",756,0.00534899352601974,0,0,0,0,0,0
"16","person ",743,0.00525701347861464,0,0,0,0,0,0
"17","killed ",737,0.00521456114904305,0,0,0,0,0,0
"18","de ",729,0.00515795804294761,0,0,0,0,0,0
"19","gunman ",727,0.00514380726642375,0,0,0,0,0,0
"20","taiwanese ",703,0.0049739979481374,0,0,0,0,0,0
"21","suspect ",685,0.00484664095942265,0,1,1,0,0,0
"22","orange ",675,0.00477588707680334,0,0,0,0,0,0
"23","county ",650,0.00459900237025507,0,0,0,0,0,0
"24","shootings ",631,0.00446456999327838,0,0,0,0,0,0
"25","geneva ",618,0.00437258994587328,0,0,0,0,0,0
"26","amp ",599,0.00423815756889659,0,0,0,0,0,0
"27","multiple ",569,0.00402589592103867,0,0,0,0,0,0
"28","uvalde ",527,0.00372872961403757,0,0,0,0,0,0
"29","hate ",516,0.00365090034315633,0,1,1,1,1,0
"30","wounded ",508,0.00359429723706088,0,0,0,0,0,0
"31","injured ",474,0.00335373403615523,0,1,1,0,0,0
"32","community ",462,0.00326882937701206,1,0,0,0,0,1
"33","victims ",446,0.00315562316482117,0,0,0,0,0,0
"34","gun ",443,0.00313439700003538,0,1,1,0,1,0
"35","just ",380,0.00268864753953373,0,0,0,0,0,0
"36","others ",372,0.00263204443343828,0,0,0,0,0,0
"37","sheriff ",364,0.00257544132734284,0,0,0,0,0,0
"38","critically ",358,0.00253298899777125,0,0,0,0,0,0
"39","los ",351,0.00248346127993774,0,0,0,0,0,0
"40","sunday ",348,0.00246223511515194,0,0,0,0,0,0
"41","el ",346,0.00244808433862808,0,0,0,0,0,0
"42","violence ",341,0.00241270739731843,0,1,1,0,1,0
"43","man ",341,0.00241270739731843,0,0,0,0,0,0
"44","said ",333,0.00235610429122298,0,0,0,0,0,0
"45","may ",317,0.00224289807903209,0,0,0,0,0,0
"46","authorities ",315,0.00222874730250823,0,0,0,0,0,0
"47","houston ",305,0.00215799341988892,0,0,0,0,0,0
"48","detained ",304,0.00215091803162699,0,0,0,0,0,0
"49","la ",300,0.00212261647857926,0,0,0,0,0,0
"50","cheng ",299,0.00211554109031733,0,0,0,0,0,0
"51","say ",295,0.00208723953726961,0,0,0,0,0,0
"52","says ",292,0.00206601337248381,0,0,0,0,0,0
"53","via ",292,0.00206601337248381,0,0,0,0,0,0
"54","angeles ",288,0.00203771181943609,0,0,0,0,0,0
"55","us ",286,0.00202356104291223,0,0,0,0,0,0
"56","john ",286,0.00202356104291223,0,1,0,1,0,0
"57","five ",282,0.00199525948986451,0,0,0,0,0,0
"58","una ",282,0.00199525948986451,0,0,0,0,0,0
"59","iglesia ",279,0.00197403332507871,0,0,0,0,0,0
"60","now ",278,0.00196695793681678,0,0,0,0,0,0
"61","will ",276,0.00195280716029292,0,0,0,0,0,0
"62","asian ",272,0.0019245056072452,0,0,0,0,0,0
"63","un ",271,0.00191743021898327,0,0,0,0,0,0
"64","news ",267,0.00188912866593554,1,0,0,0,0,0
"65","another ",265,0.00187497788941168,0,0,0,0,0,0
"66","motivated ",260,0.00183960094810203,0,0,0,0,0,0
"67","crime ",259,0.0018325255598401,0,1,0,0,1,0
"68","ny ",257,0.00181837478331623,0,0,0,0,0,0
"69","’s ",255,0.00180422400679237,0,0,0,0,0,0
"70","stop ",254,0.00179714861853044,0,0,0,0,0,0
"71","times ",241,0.00170516857112534,0,0,0,0,0,0
"72","today ",240,0.00169809318286341,0,0,0,0,0,0
"73","tiroteo ",238,0.00168394240633955,0,0,0,0,0,0
"74","police ",237,0.00167686701807762,1,0,1,0,0,1
"75","happened ",231,0.00163441468850603,0,0,0,0,0,0
"76","many ",229,0.00162026391198217,0,0,0,0,0,0
"77","hogtied ",227,0.00160611313545831,0,0,0,0,0,0
"78","oc ",224,0.00158488697067252,0,0,0,0,0,0
"79","dr ",221,0.00156366080588672,0,0,0,0,0,0
"80","identified ",219,0.00154951002936286,0,0,0,0,0,0
"81","taiwan ",212,0.00149998231152935,0,0,0,0,0,0
"82","y ",212,0.00149998231152935,0,0,0,0,0,0
"83","like ",211,0.00149290692326741,0,0,0,0,0,0
"84","four ",209,0.00147875614674355,0,0,0,0,0,0
"85","doctor ",209,0.00147875614674355,0,0,0,0,0,1
"86","deadly ",207,0.00146460537021969,0,1,1,1,1,0
"87","weekend ",205,0.00145045459369583,0,0,0,0,0,0
"88","hero ",204,0.0014433792054339,0,0,0,0,0,1
"89","southern ",204,0.0014433792054339,0,0,0,0,0,0
"90","las ",202,0.00142922842891004,0,0,0,0,0,0
"91","vegas ",200,0.00141507765238617,0,0,0,0,0,0
"92","families ",200,0.00141507765238617,0,0,0,0,0,0
"93","chou ",199,0.00140800226412424,0,0,0,0,0,0
"94","new ",198,0.00140092687586231,0,0,0,0,0,0
"95","calif ",193,0.00136554993455266,0,0,0,0,0,0
"96","lives ",192,0.00135847454629073,0,0,0,0,0,0
"97","attack ",191,0.0013513991580288,0,1,1,0,1,0
"98","time ",185,0.00130894682845721,0,0,0,0,0,0
"99","least ",181,0.00128064527540949,0,0,0,0,0,0
"100","white ",181,0.00128064527540949,0,0,0,0,0,0
"101","— ",178,0.0012594191106237,0,0,0,0,0,0
"102","sheriffs ",176,0.00124526833409983,0,0,0,0,0,0
"103","chinese ",175,0.0012381929458379,0,0,0,0,0,0
"104","city ",173,0.00122404216931404,1,0,0,0,0,0
"105","still ",172,0.00121696678105211,0,0,0,0,0,0
"106","milwaukee ",169,0.00119574061626632,0,0,0,0,0,0
"107","texas ",168,0.00118866522800439,0,0,0,0,0,0
"108","see ",167,0.00118158983974246,0,0,0,0,0,0
"109","life ",163,0.00115328828669473,1,0,0,0,0,0
"110","department ",161,0.00113913751017087,0,0,0,0,0,0
"111","can ",161,0.00113913751017087,0,0,0,0,0,0
"112","pastor ",158,0.00111791134538508,0,0,0,0,0,1
"113","congregation ",158,0.00111791134538508,0,0,0,0,0,1
"114","fire ",158,0.00111791134538508,0,0,1,0,0,0
"115","last ",157,0.00111083595712315,0,0,0,0,0,0
"116","know ",154,0.00108960979233735,0,0,0,0,0,0
"117","david ",151,0.00106838362755156,0,0,0,0,0,0
"118","murder ",151,0.00106838362755156,0,1,1,1,1,0
"119","motive ",147,0.00104008207450384,0,0,0,0,0,1
"120","lost ",145,0.00102593129797998,0,1,0,0,0,0
"121","two ",144,0.00101885590971805,0,0,0,0,0,0
"122","– ",143,0.00101178052145611,0,0,0,0,0,0
"123","tx ",142,0.00100470513319418,0,0,0,0,0,0
"124","churchgoers ",141,0.000997629744932253,0,0,0,0,0,0
"125","york ",141,0.000997629744932253,0,0,0,0,0,0
"126","charged ",140,0.000990554356670322,0,0,0,0,0,0
"127","live ",138,0.000976403580146461,0,0,0,0,0,0
"128","responding ",138,0.000976403580146461,0,0,0,0,0,0
"129","communities ",137,0.00096932819188453,0,0,0,0,0,0
"130","targeting ",137,0.00096932819188453,0,0,0,0,0,0
"131","yesterday ",137,0.00096932819188453,0,0,0,0,0,0
"132","died ",136,0.000962252803622599,0,0,0,0,0,0
"133","day ",136,0.000962252803622599,0,0,0,0,0,0
"134","custody ",135,0.000955177415360668,0,0,0,0,0,0
"135","also ",135,0.000955177415360668,0,0,0,0,0,0
"136","china ",135,0.000955177415360668,0,0,0,0,0,0
"137","politically ",131,0.000926875862312944,1,0,0,0,0,0
"138","going ",131,0.000926875862312944,0,0,0,0,0,0
"139","story ",131,0.000926875862312944,0,0,0,0,0,0
"140","opened ",130,0.000919800474051014,0,0,0,0,0,0
"141","go ",129,0.000912725085789083,0,0,0,0,0,0
"142","hit ",127,0.000898574309265221,0,1,0,0,1,0
"143","chair ",127,0.000898574309265221,0,0,0,0,0,0
"144","guns ",127,0.000898574309265221,0,0,0,0,0,0
"145","must ",125,0.000884423532741359,0,0,0,0,0,0
"146","prayers ",122,0.000863197367955567,0,0,0,0,0,0
"147","que ",121,0.000856121979693636,0,0,0,0,0,0
"148","political ",120,0.000849046591431705,1,0,0,0,0,0
"149","days ",119,0.000841971203169774,0,0,0,0,0,0
"150","officials ",119,0.000841971203169774,0,0,0,0,0,0
"151","killing ",119,0.000841971203169774,0,1,1,0,1,0
"152","need ",118,0.000834895814907843,0,0,0,0,0,0
"153","inside ",117,0.000827820426645912,0,0,0,0,0,0
"154","school ",116,0.000820745038383981,0,0,0,0,0,0
"155","recent ",115,0.00081366965012205,0,0,0,0,0,0
"156","yearold ",114,0.00080659426186012,0,0,0,0,0,0
"157","right ",113,0.000799518873598189,0,0,0,0,0,0
"158","dallas ",111,0.000785368097074327,0,0,0,0,0,0
"159","america ",110,0.000778292708812396,0,0,0,0,0,0
"160","weapon ",110,0.000778292708812396,0,0,0,0,0,0
"161","country ",109,0.000771217320550465,1,0,0,0,0,0
"162","ap ",108,0.000764141932288534,0,0,0,0,0,0
"163","se ",106,0.000749991155764673,0,0,0,0,0,0
"164","sheriff’s ",106,0.000749991155764673,0,0,0,0,0,0
"165","reported ",106,0.000749991155764673,0,0,0,0,0,0
"166","place ",104,0.000735840379240811,0,0,0,0,0,0
"167","week ",103,0.00072876499097888,0,0,0,0,0,0
"168","retirement ",103,0.00072876499097888,0,1,1,0,0,1
"169","enough ",103,0.00072876499097888,0,0,0,0,0,0
"170","black ",102,0.000721689602716949,0,0,0,0,0,0
"171","take ",101,0.000714614214455018,0,0,0,0,0,0
"172","thoughts ",100,0.000707538826193087,0,0,0,0,0,0
"173","congregants ",100,0.000707538826193087,0,0,0,0,0,0
"174","even ",100,0.000707538826193087,0,0,0,0,0,0
