"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","de ",2065,0.0175145459788638,0,0,0,0,0,0
"2","que ",1901,0.0161235602449492,0,0,0,0,0,0
"3","y ",1269,0.0107631761971807,0,0,0,0,0,0
"4","la ",989,0.00838832250513138,0,0,0,0,0,0
"5","o ",791,0.00670896168003935,0,0,0,0,0,0
"6","e ",753,0.00638666010754695,0,0,0,0,0,0
"7","el ",676,0.00573357534223338,0,0,0,0,0,0
"8","en ",601,0.00509745381757731,0,0,0,0,0,0
"9","é ",566,0.00480059710607114,0,0,0,0,0,0
"10","se ",561,0.00475818900442741,0,0,0,0,0,0
"11","just ",441,0.00374039456497769,0,0,0,0,0,0
"12","por ",433,0.00367254160234771,0,0,0,0,0,0
"13","’s ",430,0.00364709674136147,0,0,0,0,0,0
"14","q ",413,0.00350290919577276,0,0,0,0,0,0
"15","eu ",412,0.00349442757544401,0,0,0,0,0,0
"16","los ",405,0.00343505623314278,0,0,0,0,0,0
"17","like ",402,0.00340961137215654,0,0,0,0,0,0
"18","lo ",375,0.00318060762328035,0,0,0,0,0,0
"19","es ",355,0.0030109752167054,0,0,0,0,0,0
"20","un ",345,0.00292615901341792,0,0,0,0,0,0
"21","para ",336,0.0028498244304592,0,0,0,0,0,0
"22","con ",330,0.00279893470848671,0,0,0,0,0,0
"23","não ",325,0.00275652660684297,0,0,0,0,0,0
"24","um ",264,0.00223914776678937,0,0,0,0,0,0
"25","can ",263,0.00223066614646062,0,0,0,0,0,0
"26","get ",262,0.00222218452613187,0,0,0,0,0,0
"27","’m ",261,0.00221370290580312,0,0,0,0,0,0
"28","love ",246,0.00208647860087191,0,0,0,0,0,1
"29","one ",239,0.00202710725857068,0,0,0,0,0,0
"30","si ",230,0.00195077267561195,0,0,0,0,0,0
"31","te ",216,0.00183202999100948,0,0,0,0,0,0
"32","como ",216,0.00183202999100948,0,0,0,0,0,0
"33","las ",215,0.00182354837068073,0,0,0,0,0,0
"34","com ",215,0.00182354837068073,0,0,0,0,0,0
"35","youtube ",214,0.00181506675035199,0,0,0,0,0,0
"36","da ",210,0.001781140269037,0,0,0,0,0,0
"37","video ",210,0.001781140269037,0,0,0,0,0,0
"38","time ",208,0.0017641770283795,0,0,0,0,0,0
"39","know ",206,0.00174721378772201,0,0,0,0,0,0
"40","una ",206,0.00174721378772201,0,0,0,0,0,0
"41","pra ",203,0.00172176892673576,0,0,0,0,0,0
"42","mi ",199,0.00168784244542077,0,0,0,0,0,0
"43","will ",196,0.00166239758443453,0,0,0,0,0,0
"44","del ",194,0.00164543434377704,0,0,0,0,0,0
"45","uma ",184,0.00156061814048956,0,0,0,0,0,0
"46","amp ",184,0.00156061814048956,0,0,0,0,0,0
"47","mais ",182,0.00154365489983206,0,0,0,0,0,0
"48","na ",181,0.00153517327950332,0,0,0,0,0,0
"49","le ",180,0.00152669165917457,0,0,0,0,0,0
"50","mas ",174,0.00147580193720208,0,0,0,0,0,0
"51","think ",170,0.00144187545588709,0,0,0,0,0,0
"52","people ",168,0.0014249122152296,1,0,0,0,0,0
"53","need ",165,0.00139946735424335,0,0,0,0,0,0
"54","good ",162,0.00137402249325711,0,0,0,0,0,1
"55","see ",161,0.00136554087292836,0,0,0,0,0,0
"56","go ",156,0.00132313277128463,0,0,0,0,0,0
"57","now ",154,0.00130616953062713,0,0,0,0,0,0
"58","pero ",154,0.00130616953062713,0,0,0,0,0,0
"59","al ",152,0.00128920628996964,0,0,0,0,0,0
"60","don’t ",152,0.00128920628996964,0,0,0,0,0,0
"61","ya ",152,0.00128920628996964,0,0,0,0,0,0
"62","em ",150,0.00127224304931214,0,0,0,0,0,0
"63","got ",143,0.00121287170701091,0,0,0,0,0,0
"64","want ",142,0.00120439008668216,0,0,0,0,0,0
"65","más ",139,0.00117894522569592,0,0,0,0,0,0
"66","u ",139,0.00117894522569592,0,0,0,0,0,0
"67","tu ",134,0.00113653712405218,0,0,0,0,0,0
"68","ser ",134,0.00113653712405218,0,0,0,0,0,0
"69","day ",130,0.00110261064273719,0,0,0,0,0,0
"70","meu ",129,0.00109412902240844,0,0,0,0,0,0
"71","still ",126,0.0010686841614222,0,0,0,0,0,0
"72","really ",125,0.00106020254109345,0,0,0,0,0,0
"73","su ",124,0.0010517209207647,0,0,0,0,0,0
"74","só ",121,0.00102627605977846,0,0,0,0,0,0
"75","todo ",118,0.00100083119879222,0,0,0,0,0,0
"76","going ",117,0.00099234957846347,0,0,0,0,0,0
"77","n ",114,0.000966904717477227,0,0,0,0,0,0
