"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","de ",1146,0.013478230188413,0,0,0,0,0,0
"2","que ",1118,0.0131489191541411,0,0,0,0,0,0
"3","y ",891,0.0104791475548656,0,0,0,0,0,0
"4","o ",618,0.00726836497071484,0,0,0,0,0,0
"5","la ",571,0.00671559287747277,0,0,0,0,0,0
"6","e ",484,0.00569237644955661,0,0,0,0,0,0
"7","just ",426,0.00501023216427916,0,0,0,0,0,0
"8","like ",423,0.0049749488391786,0,0,0,0,0,0
"9","el ",416,0.00489262108061064,0,0,0,0,0,0
"10","en ",358,0.00421047679533319,0,0,0,0,0,0
"11","te ",352,0.00413991014513208,0,0,0,0,0,0
"12","rt ",334,0.00392821019452873,0,0,0,0,0,0
"13","se ",333,0.00391644908616188,0,0,0,0,0,0
"14","é ",332,0.00390468797779503,0,0,0,0,0,0
"15","u ",322,0.0037870768941265,0,0,0,0,0,0
"16","get ",302,0.00355185472678945,0,0,0,0,0,0
"17","love ",299,0.0035165714016889,0,0,0,0,0,1
"18","un ",263,0.00309317150048221,0,0,0,0,0,0
"19","q ",261,0.0030696492837485,0,0,0,0,0,0
"20","es ",247,0.00290499376661257,0,0,0,0,0,0
"21","lo ",241,0.00283442711641145,0,0,0,0,0,0
"22","por ",231,0.00271681603274293,0,0,0,0,0,0
"23","know ",227,0.00266977159927552,0,0,0,0,0,0
"24","eu ",220,0.00258744384070755,0,0,0,0,0,0
"25","tu ",214,0.00251687719050643,0,0,0,0,0,0
"26","mi ",213,0.00250511608213958,0,0,0,0,0,0
"27","got ",210,0.00246983275703902,0,0,0,0,0,0
"28","can ",201,0.00236398278173735,0,0,0,0,0,0
"29","go ",198,0.00232869945663679,0,0,0,0,0,0
"30","want ",194,0.00228165502316938,0,0,0,0,0,0
"31","los ",194,0.00228165502316938,0,0,0,0,0,0
"32","amp ",192,0.00225813280643568,0,0,0,0,0,0
"33","si ",192,0.00225813280643568,0,0,0,0,0,0
"34","ya ",192,0.00225813280643568,0,0,0,0,0,0
"35","para ",187,0.00219932726460142,0,0,0,0,0,0
"36","da ",183,0.00215228283113401,0,0,0,0,0,0
"37","con ",179,0.0021052383976666,0,0,0,0,0,0
