"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","hook ",9760,0.0899796255151241,0,0,0,0,0,0
"2","sandy ",8865,0.0817284201015959,0,0,0,0,0,0
"3","shooting ",2223,0.0204943347868976,0,1,1,0,1,0
"4","via ",1109,0.0102241193336345,0,0,0,0,0,0
"5","school ",956,0.00881357807299782,0,0,0,0,0,0
"6","gun ",887,0.00817745162212245,0,1,1,0,1,0
"7","new ",806,0.00743069448413833,0,0,0,0,0,0
"8","massacre ",675,0.0062229761498677,0,1,1,1,1,0
"9","video ",648,0.005974057103873,0,0,0,0,0,0
"10","elementary ",620,0.00571591883395256,0,0,0,0,0,0
"11","members ",596,0.00549465745973504,0,0,0,0,0,0
"12","conspiracy ",578,0.0053287114290719,1,0,1,0,0,0
"13","nra ",498,0.00459117351501351,0,0,0,0,0,0
"14","youtube ",404,0.00372456646599489,0,0,0,0,0,0
"15","amp ",400,0.00368768957029197,0,0,0,0,0,0
"16","tribute ",385,0.00354940121140602,1,0,0,0,0,1
"17","rt ",376,0.00346642819607445,0,0,0,0,0,0
"18","days ",372,0.00342955130037153,0,0,0,0,0,0
"19","victims ",368,0.00339267440466862,0,0,0,0,0,0
"20","newtown ",367,0.00338345518074289,0,0,0,0,0,0
"21","hoax ",350,0.00322672837400548,0,1,0,1,1,0
"22","since ",332,0.00306078234334234,0,0,0,0,0,0
"23","guns ",316,0.00291327476053066,0,0,0,0,0,0
"24","control ",312,0.00287639786482774,1,0,0,0,0,0
"25","staged ",296,0.00272889028201606,0,0,0,0,0,0
"26","will ",294,0.0027104518341646,0,0,0,0,0,0
"27","just ",293,0.00270123261023887,0,0,0,0,0,0
"28","media ",282,0.00259982114705584,1,0,0,0,0,0
"29","news ",278,0.00256294425135292,1,0,0,0,0,0
"30","people ",277,0.00255372502742719,1,0,0,0,0,0
"31","professor ",270,0.00248919045994708,0,0,0,0,0,1
"32","tragedy ",270,0.00248919045994708,0,1,1,0,0,0
"33","created ",256,0.00236012132498686,0,0,0,0,0,0
"34","children ",254,0.0023416828771354,0,0,0,0,0,0
"35","page ",250,0.00230480598143248,0,0,0,0,0,0
"36","us ",236,0.00217573684647226,0,0,0,0,0,0
"37","fundraising ",223,0.00205588693543777,0,0,0,0,0,0
"38","obama ",219,0.00201901003973486,0,0,0,0,0,0
"39","relief ",217,0.0020005715918834,0,0,0,0,0,1
"40","truthers ",216,0.00199135236795767,0,0,0,0,0,0
"41","government ",210,0.00193603702440329,1,1,1,0,0,0
"42","search ",203,0.00187150245692318,0,0,0,0,0,0
"43","google ",199,0.00183462556122026,0,0,0,0,0,0
"44","like ",198,0.00182540633729453,0,0,0,0,0,0
"45","says ",195,0.00179774866551734,0,0,0,0,0,0
"46","one ",191,0.00176087176981442,0,0,0,0,0,0
"47","support ",189,0.00174243332196296,0,0,0,0,0,0
"48","wake ",188,0.00173321409803723,0,0,0,0,0,0
"49","shootings ",184,0.00169633720233431,0,0,0,0,0,0
"50","show ",177,0.0016318026348542,0,0,0,0,0,0
"51","think ",176,0.00162258341092847,0,0,0,0,0,0
"52","results ",175,0.00161336418700274,0,0,0,0,0,0
"53","go ",175,0.00161336418700274,0,0,0,0,0,0
"54","kids ",172,0.00158570651522555,0,0,0,0,0,0
"55","used ",171,0.00157648729129982,0,0,0,0,0,0
"56","confirm ",168,0.00154882961952263,0,0,0,0,0,0
"57","can ",167,0.0015396103955969,0,0,0,0,0,0
"58","liked ",163,0.00150273349989398,0,0,0,0,0,0
"59","ct ",158,0.00145663738026533,0,0,0,0,0,0
"60","theory ",157,0.0014474181563396,0,0,0,0,0,0
"61","now ",153,0.00141054126063668,0,0,0,0,0,0
"62","membership ",151,0.00139210281278522,0,0,0,0,0,0
"63","happened ",148,0.00136444514100803,0,0,0,0,0,0
"64","shooter ",146,0.00134600669315657,0,0,1,0,0,0
"65","aurora ",146,0.00134600669315657,0,0,0,0,0,0
"66","way ",145,0.00133678746923084,0,0,0,0,0,0
"67","song ",144,0.00132756824530511,0,0,0,0,0,0
"68","– ",142,0.00130912979745365,0,0,0,0,0,0
"69","de ",141,0.00129991057352792,0,0,0,0,0,0
"70","students ",141,0.00129991057352792,0,0,0,0,0,0
"71","look ",137,0.001263033677825,0,0,0,0,0,0
"72","know ",137,0.001263033677825,0,0,0,0,0,0
"73","actors ",136,0.00125381445389927,0,0,0,0,0,0
"74","graves ",136,0.00125381445389927,0,0,0,0,0,0
"75","timeline ",133,0.00122615678212208,0,0,0,0,0,0
"76","get ",133,0.00122615678212208,0,0,0,0,0,0
"77","story ",132,0.00121693755819635,0,0,0,0,0,0
"78","watch ",131,0.00120771833427062,0,0,1,0,0,0
"79","piers ",131,0.00120771833427062,0,0,0,0,0,0
"80","good ",131,0.00120771833427062,0,0,0,0,0,1
"81","killed ",129,0.00118927988641916,0,0,0,0,0,0
"82","really ",129,0.00118927988641916,0,0,0,0,0,0
"83","fake ",127,0.0011708414385677,0,1,0,0,0,0
"84","benefit ",125,0.00115240299071624,0,0,0,0,0,1
"85","reports ",125,0.00115240299071624,0,0,0,0,0,0
"86","families ",125,0.00115240299071624,0,0,0,0,0,0
"87","month ",123,0.00113396454286478,0,0,0,0,0,0
"88","standing ",121,0.00111552609501332,0,0,0,0,0,1
"89","say ",121,0.00111552609501332,0,0,0,0,0,0
"90","man ",120,0.00110630687108759,0,0,0,0,0,0
"91","violence ",118,0.00108786842323613,0,1,1,0,1,0
"92","katie ",117,0.0010786491993104,0,0,0,0,0,0
"93","see ",117,0.0010786491993104,0,0,0,0,0,0
"94","response ",116,0.00106942997538467,0,0,0,0,0,0
"95","connecticut ",114,0.00105099152753321,0,0,0,0,0,0
"96","glueck ",114,0.00105099152753321,0,0,0,0,0,0
"97","morgan ",109,0.00100489540790456,0,0,0,0,0,0
"98","thing ",108,0.000995676183978833,0,0,0,0,0,0
"99","exposed ",108,0.000995676183978833,0,1,0,0,0,0
"100","claims ",107,0.000986456960053103,0,0,0,0,0,0
"101","evidence ",107,0.000986456960053103,0,0,0,0,0,0
"102","politico ",107,0.000986456960053103,1,0,0,0,0,0
"103","u ",106,0.000977237736127373,0,0,0,0,0,0
"104","town ",106,0.000977237736127373,0,0,0,0,0,0
"105","sales ",106,0.000977237736127373,0,0,0,0,0,0
"106","honor ",105,0.000968018512201643,0,0,0,0,0,1
"107","still ",104,0.000958799288275913,0,0,0,0,0,0
"108","proceeds ",104,0.000958799288275913,0,0,0,0,0,0
"109","mental ",103,0.000949580064350183,0,0,0,0,0,0
"110","may ",102,0.000940360840424453,0,0,0,0,0,0
"111","day ",101,0.000931141616498723,0,0,0,0,0,0
"112","governor ",100,0.000921922392572993,1,0,0,0,0,0
"113","schools ",99,0.000912703168647263,0,0,0,0,0,0
"114","world ",98,0.000903483944721533,1,0,0,0,0,0
"115","tweet ",98,0.000903483944721533,0,0,0,0,0,0
"116","believe ",96,0.000885045496870074,0,0,0,0,0,0
"117","another ",95,0.000875826272944344,0,0,0,0,0,0
"118","life ",94,0.000866607049018614,1,0,0,0,0,0
"119","florida ",92,0.000848168601167154,0,0,0,0,0,0
"120","mainstream ",91,0.000838949377241424,0,0,0,0,0,0
"121","factions ",91,0.000838949377241424,0,0,0,0,0,0
"122","every ",91,0.000838949377241424,0,0,0,0,0,0
"123","heart ",91,0.000838949377241424,0,0,0,0,0,0
"124","time ",90,0.000829730153315694,0,0,0,0,0,0
"125","weeks ",90,0.000829730153315694,0,0,0,0,0,0
"126","postsandy ",90,0.000829730153315694,0,0,0,0,0,0
"127","never ",89,0.000820510929389964,0,0,0,0,0,0
"128","k ",89,0.000820510929389964,0,0,0,0,0,0
"129","debate ",89,0.000820510929389964,1,0,0,0,0,1
"130","la ",89,0.000820510929389964,0,0,0,0,0,0
"131","rifle ",88,0.000811291705464234,0,1,1,0,1,0
"132","health ",88,0.000811291705464234,1,0,0,0,0,0
"133","yet ",88,0.000811291705464234,0,0,0,0,0,0
"134","university ",87,0.000802072481538504,0,0,0,0,0,1
"135","help ",87,0.000802072481538504,0,0,0,0,0,0
"136","fau ",87,0.000802072481538504,0,0,0,0,0,0
"137","post ",86,0.000792853257612774,0,0,0,0,0,0
"138","please ",85,0.000783634033687044,0,0,0,0,0,0
"139","take ",84,0.000774414809761314,0,0,0,0,0,0
"140","parents ",84,0.000774414809761314,0,0,0,0,0,0
"141","theorists ",84,0.000774414809761314,0,0,0,0,0,0
"142","real ",84,0.000774414809761314,0,0,0,0,0,1
"143","truth ",83,0.000765195585835584,0,0,0,0,0,1
"144","dark ",83,0.000765195585835584,0,0,0,0,0,0
"145","saying ",83,0.000765195585835584,0,0,0,0,0,0
"146","proof ",82,0.000755976361909854,0,0,0,0,0,0
"147","right ",82,0.000755976361909854,0,0,0,0,0,0
"148","footage ",81,0.000746757137984124,0,0,0,0,0,0
"149","giant ",81,0.000746757137984124,0,0,1,0,0,0
"150","tcot ",81,0.000746757137984124,0,0,0,0,0,0
"151","check ",81,0.000746757137984124,0,0,0,0,0,0
"152","accuses ",81,0.000746757137984124,0,0,0,0,0,0
"153","hole ",80,0.000737537914058395,0,0,0,0,0,0
"154","tom ",80,0.000737537914058395,0,0,0,0,0,0
"155","copycat ",79,0.000728318690132665,0,1,0,1,1,0
"156","assault ",79,0.000728318690132665,0,1,1,0,1,0
"157","even ",79,0.000728318690132665,0,0,0,0,0,0
"158","cnn ",78,0.000719099466206935,0,0,0,0,0,0
"159","want ",78,0.000719099466206935,0,0,0,0,0,0
"160","gaping ",78,0.000719099466206935,0,0,0,0,0,0
"161","mass ",77,0.000709880242281205,0,0,0,0,0,0
"162","ny ",77,0.000709880242281205,0,0,0,0,0,0
"163","heaven ",77,0.000709880242281205,0,0,0,0,0,0
"164","knight ",77,0.000709880242281205,0,0,0,0,0,1
"165","despite ",77,0.000709880242281205,0,0,0,0,0,0
"166","false ",77,0.000709880242281205,0,0,0,0,0,0
"167","uses ",76,0.000700661018355475,0,0,0,0,0,0
"168","theories ",75,0.000691441794429745,0,0,0,0,0,0
"169","auctions ",75,0.000691441794429745,0,0,0,0,0,0
"170","last ",75,0.000691441794429745,0,0,0,0,0,0
"171","‘bushmaster’ ",75,0.000691441794429745,0,0,0,0,0,0
"172","flag ",74,0.000682222570504015,0,0,0,0,0,0
"173","gt ",74,0.000682222570504015,0,0,0,0,0,0
"174","ban ",74,0.000682222570504015,1,1,0,0,0,0
"175","fully ",74,0.000682222570504015,0,0,0,0,0,1
"176","re ",74,0.000682222570504015,0,0,0,0,0,0
"177","must ",73,0.000673003346578285,0,0,0,0,0,0
"178","editor ",73,0.000673003346578285,0,0,0,0,0,0
"179","death ",73,0.000673003346578285,0,1,1,1,1,0
"180","drill ",72,0.000663784122652555,0,0,0,0,0,0
"181","worst ",72,0.000663784122652555,0,0,0,0,0,0
"182","made ",72,0.000663784122652555,0,0,0,0,0,0
"183","laws ",71,0.000654564898726825,1,0,0,0,0,0
"184","two ",71,0.000654564898726825,0,0,0,0,0,0
"185","care ",71,0.000654564898726825,0,0,0,0,0,0
"186","united ",71,0.000654564898726825,0,0,0,0,0,1
"187","save ",71,0.000654564898726825,0,0,0,0,0,1
"188","fund ",70,0.000645345674801095,0,0,0,0,0,0
"189","police ",70,0.000645345674801095,1,0,1,0,0,1
"190","super ",70,0.000645345674801095,0,0,0,0,0,0
"191","conspiracies ",70,0.000645345674801095,0,0,0,0,0,0
"192","bad ",70,0.000645345674801095,0,1,1,1,1,0
"193","sandyhook ",69,0.000636126450875365,0,0,0,0,0,0
"194","questions ",69,0.000636126450875365,0,0,0,0,0,0
"195","surges ",68,0.000626907226949635,0,0,0,0,0,0
"196","going ",68,0.000626907226949635,0,0,0,0,0,0
"197","baby’s ",68,0.000626907226949635,0,0,0,0,0,0
"198","cooper ",68,0.000626907226949635,0,0,0,0,0,0
"199","baby ",68,0.000626907226949635,0,0,0,0,0,1
"200","make ",68,0.000626907226949635,0,0,0,0,0,0
"201","uploaded ",68,0.000626907226949635,0,0,0,0,0,0
"202","job ",67,0.000617688003023905,0,0,0,0,0,1
"203","set ",67,0.000617688003023905,0,0,0,0,0,0
"204","part ",67,0.000617688003023905,0,0,0,0,0,0
"205","begin ",67,0.000617688003023905,0,0,0,0,0,0
"206","helicopter ",67,0.000617688003023905,0,0,0,0,0,0
"207","lies ",67,0.000617688003023905,0,0,0,0,0,0
"208","today ",67,0.000617688003023905,0,0,0,0,0,0
"209","national ",66,0.000608468779098176,0,0,0,0,0,0
"210","info ",66,0.000608468779098176,0,0,0,0,0,0
"211","happen ",66,0.000608468779098176,0,0,0,0,0,0
"212","got ",66,0.000608468779098176,0,0,0,0,0,0
"213","daily ",66,0.000608468779098176,0,0,0,0,0,0
"214","kaely ",65,0.000599249555172446,0,0,0,0,0,0
"215","read ",65,0.000599249555172446,0,0,0,0,0,0
"216","first ",65,0.000599249555172446,0,0,0,0,0,0
"217","lost ",65,0.000599249555172446,0,1,0,0,0,0
"218","lanza ",65,0.000599249555172446,0,0,0,0,0,0
"219","msnbc ",64,0.000590030331246716,0,0,0,0,0,0
"220","california ",64,0.000590030331246716,0,0,0,0,0,0
"221","ar ",64,0.000590030331246716,0,0,0,0,0,0
"222","piersmorgan ",64,0.000590030331246716,0,0,0,0,0,0
"223","opposition ",64,0.000590030331246716,0,1,0,0,1,0
"224","ever ",63,0.000580811107320986,0,0,0,0,0,0
"225","need ",63,0.000580811107320986,0,0,0,0,0,0
"226","high ",63,0.000580811107320986,0,0,0,0,0,0
"227","rises ",63,0.000580811107320986,0,0,0,0,0,0
"228","future ",63,0.000580811107320986,0,0,0,0,0,0
"229","pac ",63,0.000580811107320986,0,0,0,0,0,0
"230","love ",63,0.000580811107320986,0,0,0,0,0,1
"231","america ",63,0.000580811107320986,0,0,0,0,0,0
"232","threatens ",62,0.000571591883395256,0,0,0,0,0,0
"233","shot ",62,0.000571591883395256,0,1,1,0,1,0
"234","official ",62,0.000571591883395256,1,0,0,0,0,0
"235","memorial ",62,0.000571591883395256,0,0,0,0,0,0
"236","target ",62,0.000571591883395256,0,0,0,0,0,0
"237","anderson ",61,0.000562372659469526,0,0,0,0,0,0
"238","crazy ",61,0.000562372659469526,0,1,1,0,1,0
"239","said ",61,0.000562372659469526,0,0,0,0,0,0
"240","american ",61,0.000562372659469526,0,0,0,0,0,0
"241","• ",60,0.000553153435543796,0,0,0,0,0,0
"242","building ",60,0.000553153435543796,0,0,0,0,0,1
"243","club ",60,0.000553153435543796,0,0,0,0,0,0
"244","event ",60,0.000553153435543796,0,0,0,0,0,0
"245","massacres ",60,0.000553153435543796,0,0,0,0,0,0
"246","… ",60,0.000553153435543796,0,0,0,0,0,0
"247","movie ",60,0.000553153435543796,0,0,0,0,0,0
"248","come ",60,0.000553153435543796,0,0,0,0,0,0
"249","tracy ",59,0.000543934211618066,0,0,0,0,0,0
"250","angels ",59,0.000543934211618066,0,0,0,0,0,0
"251","little ",59,0.000543934211618066,0,0,0,0,0,0
"252","shit ",59,0.000543934211618066,0,1,0,1,1,0
"253","prof ",58,0.000534714987692336,0,0,0,0,0,0
"254","group ",58,0.000534714987692336,1,0,0,0,0,0
"255","teachers ",57,0.000525495763766606,0,0,0,0,0,0
"256","push ",57,0.000525495763766606,0,0,0,0,0,0
"257","many ",57,0.000525495763766606,0,0,0,0,0,0
"258","shows ",56,0.000516276539840876,0,0,0,0,0,0
"259","sorry ",56,0.000516276539840876,0,0,0,0,0,0
"260","americans ",56,0.000516276539840876,0,0,0,0,0,0
"261","thought ",56,0.000516276539840876,0,0,0,0,0,0
"262","makes ",55,0.000507057315915146,0,0,0,0,0,0
"263","join ",55,0.000507057315915146,0,0,0,0,0,1
"264","games ",55,0.000507057315915146,1,0,0,0,0,0
"265","meet ",54,0.000497838091989416,0,0,0,0,0,0
"266","discussing ",54,0.000497838091989416,0,0,0,0,0,0
"267","planned ",54,0.000497838091989416,0,0,0,0,0,0
"268","hear ",54,0.000497838091989416,0,0,0,0,0,0
"269","kindergarteners ",54,0.000497838091989416,0,0,0,0,0,0
"270","blog ",54,0.000497838091989416,0,0,0,0,0,0
"271","r ",53,0.000488618868063686,0,0,0,0,0,0
"272","nwo ",53,0.000488618868063686,0,0,0,0,0,0
"273","ago ",53,0.000488618868063686,0,0,0,0,0,0
"274","house ",53,0.000488618868063686,0,0,0,0,0,0
"275","boosting ",53,0.000488618868063686,0,0,0,0,0,0
"276","found ",53,0.000488618868063686,0,0,0,0,0,1
"277","th ",53,0.000488618868063686,0,0,0,0,0,0
"278","james ",53,0.000488618868063686,0,0,0,0,0,0
"279","use ",52,0.000479399644137956,0,0,0,0,0,0
"280","fire ",52,0.000479399644137956,0,0,1,0,0,0
"281","revealed ",52,0.000479399644137956,0,0,0,0,0,0
"282","great ",52,0.000479399644137956,0,0,0,0,0,0
"283","helping ",51,0.000470180420212227,0,0,0,0,0,0
"284","gunman ",51,0.000470180420212227,0,0,0,0,0,0
"285","salon ",51,0.000470180420212227,0,0,0,0,0,0
"286","following ",51,0.000470180420212227,0,0,0,0,0,0
"287","rendell ",51,0.000470180420212227,0,0,0,0,0,0
"288","shooters ",50,0.000460961196286497,0,0,0,0,0,0
"289","fundraiser ",50,0.000460961196286497,0,0,0,0,0,0
"290","vimeo ",50,0.000460961196286497,0,0,0,0,0,0
"291","incident ",50,0.000460961196286497,0,0,0,0,0,0
"292","big ",50,0.000460961196286497,0,0,0,0,0,0
"293","adam ",50,0.000460961196286497,0,0,0,0,0,0
"294","white ",50,0.000460961196286497,0,0,0,0,0,0
"295","twitter ",50,0.000460961196286497,0,0,0,0,0,0
"296","memory ",50,0.000460961196286497,0,0,0,0,0,0
"297","something ",50,0.000460961196286497,0,0,0,0,0,0
"298","professors ",50,0.000460961196286497,0,0,0,0,0,0
"299","guy ",49,0.000451741972360767,0,0,0,0,0,0
"300","stop ",49,0.000451741972360767,0,0,0,0,0,0
"301","took ",48,0.000442522748435037,0,0,0,0,0,0
