"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","de ",1827,0.0162042785681342,0,0,0,0,0,0
"2","que ",1533,0.0135966935111931,0,0,0,0,0,0
"3","y ",1087,0.00964096924113953,0,0,0,0,0,0
"4","o ",845,0.00749458970447369,0,0,0,0,0,0
"5","la ",829,0.00735268031361975,0,0,0,0,0,0
"6","e ",752,0.00666974137013517,0,0,0,0,0,0
"7","el ",570,0.0050555220491716,0,0,0,0,0,0
"8","en ",541,0.00479831127824884,0,0,0,0,0,0
"9","é ",501,0.00444353780111399,0,0,0,0,0,0
"10","se ",479,0.00424841238868982,0,0,0,0,0,0
"11","like ",427,0.00378720686841452,0,0,0,0,0,0
"12","just ",418,0.00370738283605918,0,0,0,0,0,0
"13","’s ",402,0.00356547344520524,0,0,0,0,0,0
"14","eu ",358,0.0031752226203569,0,0,0,0,0,0
"15","por ",337,0.00298896654486111,0,0,0,0,0,0
"16","q ",336,0.00298009720793273,0,0,0,0,0,0
"17","un ",334,0.00296235853407599,0,0,0,0,0,0
"18","los ",329,0.00291801184943414,0,0,0,0,0,0
"19","es ",313,0.0027761024585802,0,0,0,0,0,0
"20","para ",304,0.00269627842622486,0,0,0,0,0,0
"21","can ",299,0.002651931741583,0,0,0,0,0,0
"22","não ",289,0.00256323837229929,0,0,0,0,0,0
"23","lo ",281,0.00249228367687232,0,0,0,0,0,0
"24","get ",274,0.00243019831837372,0,0,0,0,0,0
"25","one ",256,0.00227055025366304,0,0,0,0,0,0
"26","’m ",251,0.00222620356902118,0,0,0,0,0,0
"27","con ",242,0.00214637953666584,0,0,0,0,0,0
"28","una ",239,0.00211977152588073,0,0,0,0,0,0
"29","love ",237,0.00210203285202398,0,0,0,0,0,1
"30","da ",232,0.00205768616738213,0,0,0,0,0,0
"31","te ",227,0.00201333948274027,0,0,0,0,0,0
"32","video ",224,0.00198673147195516,0,0,0,0,0,0
"33","know ",218,0.00193351545038493,0,0,0,0,0,0
"34","com ",211,0.00187143009188633,0,0,0,0,0,0
"35","time ",204,0.00180934473338773,0,0,0,0,0,0
"36","um ",199,0.00176499804874588,0,0,0,0,0,0
"37","youtube ",199,0.00176499804874588,0,0,0,0,0,0
"38","now ",198,0.0017561287118175,0,0,0,0,0,0
"39","will ",196,0.00173839003796076,0,0,0,0,0,0
"40","people ",194,0.00172065136410402,1,0,0,0,0,0
"41","del ",181,0.00160534998403519,0,0,0,0,0,0
"42","como ",178,0.00157874197325008,0,0,0,0,0,0
"43","don’t ",178,0.00157874197325008,0,0,0,0,0,0
"44","na ",178,0.00157874197325008,0,0,0,0,0,0
"45","las ",176,0.00156100329939334,0,0,0,0,0,0
"46","pra ",174,0.00154326462553659,0,0,0,0,0,0
"47","amp ",174,0.00154326462553659,0,0,0,0,0,0
"48","si ",169,0.00149891794089474,0,0,0,0,0,0
"49","think ",166,0.00147230993010962,0,0,0,0,0,0
"50","good ",165,0.00146344059318125,0,0,0,0,0,1
"51","le ",165,0.00146344059318125,0,0,0,0,0,0
"52","got ",162,0.00143683258239614,0,0,0,0,0,0
"53","btstwt ",152,0.00134813921311243,0,0,0,0,0,0
"54","mi ",148,0.00131266186539894,0,0,0,0,0,0
"55","need ",147,0.00130379252847057,0,0,0,0,0,0
"56","u ",147,0.00130379252847057,0,0,0,0,0,0
"57","mas ",144,0.00127718451768546,0,0,0,0,0,0
"58","— ",144,0.00127718451768546,0,0,0,0,0,0
"59","ya ",144,0.00127718451768546,0,0,0,0,0,0
"60","want ",141,0.00125057650690034,0,0,0,0,0,0
"61","see ",140,0.00124170716997197,0,0,0,0,0,0
