"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","que ",1141,0.0132878371453859,0,0,0,0,0,0
"2","de ",1112,0.0129501094703498,0,0,0,0,0,0
"3","y ",731,0.00851306656728933,0,0,0,0,0,0
"4","o ",727,0.00846648343969814,0,0,0,0,0,0
"5","e ",676,0.00787254856291051,0,0,0,0,0,0
"6","la ",497,0.00578795360320492,0,0,0,0,0,0
"7","u ",480,0.00558997531094238,0,0,0,0,0,0
"8","rt ",445,0.00518237294451949,0,0,0,0,0,0
"9","é ",437,0.00508920668933712,0,0,0,0,0,0
"10","eu ",412,0.00479806214189221,0,0,0,0,0,0
"11","just ",351,0.00408766944612661,0,0,0,0,0,0
"12","se ",349,0.00406437788233102,0,0,0,0,0,0
"13","el ",349,0.00406437788233102,0,0,0,0,0,0
"14","like ",345,0.00401779475473983,0,0,0,0,0,0
"15","en ",326,0.0037965248986817,0,0,0,0,0,0
"16","get ",312,0.00363348395211254,0,0,0,0,0,0
"17","love ",305,0.00355196347882797,0,0,0,0,0,1
"18","q ",293,0.00341221409605441,0,0,0,0,0,0
"19","te ",251,0.00292309125634695,0,0,0,0,0,0
"20","não ",226,0.00263194670890204,0,0,0,0,0,0
"21","know ",226,0.00263194670890204,0,0,0,0,0,0
"22","por ",214,0.00249219732612848,0,0,0,0,0,0
"23","es ",212,0.00246890576233288,0,0,0,0,0,0
"24","can ",207,0.0024106768528439,0,0,0,0,0,0
"25","d ",202,0.00235244794335492,0,0,0,0,0,0
"26","un ",200,0.00232915637955932,0,0,0,0,0,0
"27","com ",200,0.00232915637955932,0,0,0,0,0,0
"28","da ",199,0.00231751059766153,0,0,0,0,0,0
"29","lo ",195,0.00227092747007034,0,0,0,0,0,0
"30","pra ",193,0.00224763590627475,0,0,0,0,0,0
"31","mi ",193,0.00224763590627475,0,0,0,0,0,0
"32","go ",191,0.00222434434247915,0,0,0,0,0,0
"33","lol ",190,0.00221269856058136,0,0,0,0,0,0
"34","got ",185,0.00215446965109237,0,0,0,0,0,0
"35","want ",181,0.00210788652350119,0,0,0,0,0,0
"36","para ",181,0.00210788652350119,0,0,0,0,0,0
"37","mais ",176,0.0020496576140122,0,0,0,0,0,0
"38","con ",173,0.00201472026831881,0,0,0,0,0,0
"39","good ",170,0.00197978292262543,0,0,0,0,0,1
"40","ya ",169,0.00196813714072763,0,0,0,0,0,0
"41","one ",162,0.00188661666744305,0,0,0,0,0,0
"42","need ",157,0.00182838775795407,0,0,0,0,0,0
"43","na ",156,0.00181674197605627,0,0,0,0,0,0
"44","si ",155,0.00180509619415848,0,0,0,0,0,0
"45","um ",150,0.00174686728466949,0,0,0,0,0,0
"46","yo ",150,0.00174686728466949,0,0,0,0,0,0
"47","think ",149,0.0017352215027717,0,0,0,0,0,0
"48","see ",149,0.0017352215027717,0,0,0,0,0,0
"49","meu ",148,0.0017235757208739,0,0,0,0,0,0
"50","mas ",147,0.0017119299389761,0,0,0,0,0,0
"51","em ",145,0.00168863837518051,0,0,0,0,0,0
"52","now ",144,0.00167699259328271,0,0,0,0,0,0
"53","los ",144,0.00167699259328271,0,0,0,0,0,0
"54","will ",142,0.00165370102948712,0,0,0,0,0,0
"55","tu ",132,0.00153724321050915,0,0,0,0,0,0
"56","time ",130,0.00151395164671356,0,0,0,0,0,0
"57","n ",128,0.00149066008291797,0,0,0,0,0,0
"58","back ",127,0.00147901430102017,0,0,0,0,0,0
"59","como ",122,0.00142078539153119,0,0,0,0,0,0
"60","una ",120,0.00139749382773559,0,0,0,0,0,0
"61","las ",118,0.00137420226394,0,0,0,0,0,0
"62","new ",109,0.00126939022685983,0,0,0,0,0,0
"63","uma ",106,0.00123445288116644,0,0,0,0,0,0
"64","wanna ",106,0.00123445288116644,0,0,0,0,0,0
"65","day ",104,0.00121116131737085,0,0,0,0,0,0
"66","minha ",103,0.00119951553547305,0,0,0,0,0,0
"67","ta ",103,0.00119951553547305,0,0,0,0,0,0
"68","right ",102,0.00118786975357525,0,0,0,0,0,0
"69","haha ",102,0.00118786975357525,0,0,0,0,0,0
"70","im ",101,0.00117622397167746,0,0,0,0,0,0
"71","going ",101,0.00117622397167746,0,0,0,0,0,0
"72","ver ",101,0.00117622397167746,0,0,0,0,0,0
"73","really ",101,0.00117622397167746,0,0,0,0,0,0
"74","vai ",100,0.00116457818977966,0,0,0,0,0,0
