"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","trayvon ",9661,0.0980404095757096,0,0,0,0,0,0
"2","martin ",8721,0.0885012329893141,0,0,0,0,0,0
"3","rt ",1351,0.013710029327894,0,0,0,0,0,0
"4","rp ",1088,0.0110410894957429,0,0,0,0,0,0
"5","justice ",1086,0.0110207933753463,1,0,0,0,0,1
"6","retweet ",781,0.00792563501486691,0,0,0,0,0,0
"7","amp ",736,0.00746897230594372,0,0,0,0,0,0
"8","every ",734,0.00744867618554713,0,0,0,0,0,0
"9","via ",730,0.00740808394475396,0,0,0,0,0,0
"10","tweet ",711,0.00721527080098639,0,0,0,0,0,0
"11","gets ",703,0.00713408631940005,0,0,0,0,0,0
"12","show ",634,0.00643387016571782,0,0,0,0,0,0
"13","cont ",584,0.00592646715580317,0,0,0,0,0,0
"14","hoodie ",556,0.00564232147025096,0,0,0,0,0,0
"15","case ",525,0.00532773160410388,0,1,1,0,0,0
"16","rip ",475,0.00482032859418922,0,0,0,0,0,0
"17","will ",470,0.00476958829319776,0,0,0,0,0,0
"18","counts ",457,0.00463766351061994,1,0,0,0,0,0
"19","zimmerman ",426,0.00432307364447286,0,0,0,0,0,0
"20","killed ",425,0.00431292558427457,0,0,0,0,0,0
"21","w ",408,0.00414040856090358,0,0,0,0,0,0
"22","martins ",406,0.004120112440507,0,0,0,0,0,0
"23","black ",393,0.00398818765792919,0,0,0,0,0,0
"24","respect ",361,0.00366344973158381,0,0,0,0,0,1
"25","aja ",359,0.00364315361118722,0,0,0,0,0,0
"26","dsb ",358,0.00363300555098893,0,0,0,0,0,0
"27","xib ",358,0.00363300555098893,0,0,0,0,0,0
"28","hib ",358,0.00363300555098893,0,0,0,0,0,0
"29","thescene ",358,0.00363300555098893,0,0,0,0,0,0
"30","th ",356,0.00361270943059234,0,0,0,0,0,0
"31","death ",349,0.00354167300920429,0,1,1,1,1,0
"32","mar ",345,0.00350108076841112,0,0,0,0,0,0
"33","tribute ",342,0.00347063658781624,1,0,0,0,0,1
"34","man ",341,0.00346048852761795,0,0,0,0,0,0
"35","te ",337,0.00341989628682477,0,0,0,0,0,0
"36","rally ",323,0.00327782344404867,0,0,0,0,0,0
"37","tob ",321,0.00325752732365208,0,0,0,0,0,0
"38","alljokesaside ",321,0.00325752732365208,0,0,0,0,0,0
"39","just ",310,0.00314589866147086,0,0,0,0,0,0
"40","tomorrow ",304,0.0030850103002811,0,0,0,0,0,0
"41","get ",284,0.00288204909631524,0,0,0,0,0,0
"42","petition ",250,0.00253701504957327,1,0,0,0,0,0
"43","america ",248,0.00251671892917669,0,0,0,0,0,0
"44","live ",246,0.0024964228087801,0,0,0,0,0,0
"45","george ",239,0.00242538638739205,0,0,0,0,0,0
"46","arrested ",238,0.00241523832719376,0,0,0,0,0,0
"47","hoodies ",233,0.00236449802620229,0,0,0,0,0,0
"48","still ",230,0.00233405384560741,0,0,0,0,0,0
"49","video ",229,0.00232390578540912,0,0,0,0,0,0
"50","march ",228,0.00231375772521083,0,0,0,0,0,0
"51","like ",223,0.00226301742421936,0,0,0,0,0,0
"52","wear ",222,0.00225286936402107,0,1,0,0,0,0
"53","flour ",219,0.00222242518342619,0,0,0,0,0,0
"54","people ",215,0.00218183294263302,1,0,0,0,0,0
"55","kim ",215,0.00218183294263302,0,0,0,0,0,0
"56","plies ",215,0.00218183294263302,0,0,0,0,0,0
"57","goes ",214,0.00217168488243472,0,0,0,0,0,0
"58","new ",214,0.00217168488243472,0,0,0,0,0,0
"59","killer ",205,0.00208035234065008,0,0,0,0,0,0
"60","news ",198,0.00200931591926203,1,0,0,0,0,0
"61","florida ",193,0.00195857561827057,0,0,0,0,0,0
"62","xfollow ",193,0.00195857561827057,0,0,0,0,0,0
"63","family ",186,0.00188753919688252,0,0,0,0,0,0
"64","story ",181,0.00183679889589105,0,0,0,0,0,0
"65","shooter ",180,0.00182665083569276,0,0,1,0,0,0
"66","girl ",180,0.00182665083569276,0,0,0,0,0,0
"67","shooting ",178,0.00180635471529617,0,1,1,0,1,0
"68","support ",178,0.00180635471529617,0,0,0,0,0,0
"69","us ",173,0.00175561441430471,0,0,0,0,0,0
"70","dateline ",171,0.00173531829390812,0,0,0,0,0,0
"71","kardashian ",166,0.00168457799291665,0,0,0,0,0,0
"72","got ",159,0.0016135415715286,0,0,0,0,0,0
"73","pm ",155,0.00157294933073543,0,0,0,0,0,0
"74","attorney ",155,0.00157294933073543,0,0,1,0,1,1
"75","n ",154,0.00156280127053714,0,0,0,0,0,0
"76","skittles ",152,0.00154250515014055,0,0,0,0,0,0
"77","state ",151,0.00153235708994226,1,0,0,0,0,0
"78","killing ",146,0.00148161678895079,0,1,1,0,1,0
"79","son ",144,0.00146132066855421,0,0,0,0,0,0
"80","go ",143,0.00145117260835591,0,0,0,0,0,0
"81","shot ",142,0.00144102454815762,0,1,1,0,1,0
"82","nation ",142,0.00144102454815762,0,0,0,0,0,0
"83","open ",141,0.00143087648795933,0,0,0,0,0,0
"84","free ",141,0.00143087648795933,0,0,0,0,0,0
"85","sign ",141,0.00143087648795933,0,0,0,0,0,0
"86","letter ",139,0.00141058036756274,0,0,0,0,0,0
"87","pic ",139,0.00141058036756274,0,0,0,0,0,0
"88","help ",139,0.00141058036756274,0,0,0,0,0,0
"89","friend ",139,0.00141058036756274,0,0,0,0,0,1
"90","stop ",138,0.00140043230736445,0,0,0,0,0,0
"91","picture ",133,0.00134969200637298,0,0,0,0,0,0
"92","right ",132,0.00133954394617469,0,0,0,0,0,0
"93","call ",130,0.0013192478257781,0,0,0,0,0,0
"94","community ",130,0.0013192478257781,1,0,0,0,0,1
"95","song ",130,0.0013192478257781,0,0,0,0,0,0
"96","youtube ",129,0.00130909976557981,0,0,0,0,0,0
"97","threw ",129,0.00130909976557981,0,0,0,0,0,0
"98","demanding ",128,0.00129895170538152,0,1,0,0,0,0
"99","now ",127,0.00128880364518322,0,0,0,0,0,0
"100","donated ",126,0.00127865558498493,0,0,0,0,0,0
"101","really ",126,0.00127865558498493,0,0,0,0,0,0
"102","one ",125,0.00126850752478664,0,0,0,0,0,0
"103","murder ",123,0.00124821140439005,0,1,1,1,1,0
"104","please ",122,0.00123806334419176,0,0,0,0,0,0
"105","says ",121,0.00122791528399346,0,0,0,0,0,0
"106","think ",121,0.00122791528399346,0,0,0,0,0,0
"107","signature ",121,0.00122791528399346,0,0,0,0,0,0
"108","comments ",119,0.00120761916359688,0,0,0,0,0,0
"109","hate ",118,0.00119747110339859,0,1,1,1,1,0
"110","site ",118,0.00119747110339859,0,0,0,0,0,0
"111","shit ",117,0.00118732304320029,0,1,0,1,1,0
"112","view ",117,0.00118732304320029,0,0,0,0,0,0
"113","crime ",116,0.001177174983002,0,1,0,0,1,0
"114","sad ",115,0.00116702692280371,0,0,0,0,0,0
"115","naacps ",115,0.00116702692280371,0,0,0,0,0,0
"116","know ",114,0.00115687886260541,0,0,0,0,0,0
"117","obama ",114,0.00115687886260541,0,0,0,0,0,0
"118","lt ",114,0.00115687886260541,0,0,0,0,0,0
"119","stand ",114,0.00115687886260541,0,0,0,0,0,0
"120","watch ",113,0.00114673080240712,0,0,1,0,0,0
"121","wearing ",110,0.00111628662181224,0,0,0,0,0,0
"122","white ",108,0.00109599050141565,0,0,0,0,0,0
"123","u ",106,0.00107569438101907,0,0,0,0,0,0
"124","see ",106,0.00107569438101907,0,0,0,0,0,0
"125","honor ",105,0.00106554632082078,0,0,0,0,0,1
"126","music ",104,0.00105539826062248,0,0,0,0,0,1
"127","going ",103,0.00104525020042419,0,0,0,0,0,0
"128","hiphop ",101,0.0010249540800276,0,0,0,0,0,0
"129","can ",100,0.00101480601982931,0,0,0,0,0,0
"130","official ",99,0.00100465795963102,1,0,0,0,0,0
"131","never ",98,0.000994509899432723,0,0,0,0,0,0
"132","court ",98,0.000994509899432723,0,0,1,0,1,0
"133","“kevinhartreal ",98,0.000994509899432723,0,0,0,0,0,0
