"","ngrams","freq","prop","pol_count","neg_count","fear_count","disgust_count","anger_count","pos_count"
"1","uvalde ",9007,0.0555322638322009,0,0,0,0,0,0
"2","shooting ",2116,0.0130461052813298,0,1,1,0,1,0
"3","school ",1856,0.011443086673983,0,0,0,0,0,0
"4","police ",1821,0.0112272957076094,1,0,1,0,0,1
"5","texas ",1518,0.00935916248443222,0,0,0,0,0,0
"6","biden ",1031,0.0063565853237481,0,0,0,0,0,0
"7","children ",919,0.00566605423135258,0,0,0,0,0,0
"8","de ",908,0.00559823421334945,0,0,0,0,0,0
"9","gun ",863,0.00532078868515481,0,1,1,0,1,0
"10","amp ",851,0.00524680321096958,0,0,0,0,0,0
"11","mass ",764,0.00471040852312663,0,0,0,0,0,0
"12","will ",749,0.00461792668039508,0,0,0,0,0,0
"13","response ",728,0.00448845210057092,0,0,0,0,0,0
"14","people ",690,0.00425416476565101,1,0,0,0,0,0
"15","shooter ",644,0.00397055378127428,0,0,1,0,0,0
"16","guns ",574,0.00353897184852707,0,0,0,0,0,0
"17","en ",567,0.00349581365525235,0,0,0,0,0,0
"18","la ",560,0.00345265546197763,0,0,0,0,0,0
"19","like ",532,0.00328002268887875,0,0,0,0,0,0
"20","via ",531,0.00327385723269665,0,0,0,0,0,0
"21","just ",508,0.00313205174050828,0,0,0,0,0,0
"22","us ",506,0.00311972082814407,0,0,0,0,0,0
"23","kids ",495,0.00305190081014094,0,0,0,0,0,0
"24","one ",493,0.00303956989777674,0,0,0,0,0,0
"25","nra ",478,0.00294708805504519,0,0,0,0,0,0
"26","families ",470,0.00289776440558837,0,0,0,0,0,0
"27","cops ",443,0.00273129708867159,0,0,0,0,0,0
"28","buffalo ",434,0.00267580798303266,0,0,0,0,0,0
"29","can ",432,0.00266347707066846,0,0,0,0,0,0
"30","’s ",430,0.00265114615830425,0,0,0,0,0,0
"31","killed ",427,0.00263264978975794,0,0,0,0,0,0
"32","elementary ",425,0.00262031887739374,0,0,0,0,0,0
"33","victims ",416,0.00256482977175481,0,0,0,0,0,0
"34","department ",413,0.0025463334032085,0,0,0,0,0,0
"35","review ",386,0.00237986608629172,0,0,0,0,0,0
"36","now ",384,0.00236753517392752,0,0,0,0,0,0
"37","law ",377,0.0023243769806528,1,0,0,0,0,0
"38","need ",354,0.00218257148846443,0,0,0,0,0,0
"39","teachers ",353,0.00217640603228233,0,0,0,0,0,0
"40","news ",342,0.0021085860142792,1,0,0,0,0,0
"41","abbott ",342,0.0021085860142792,0,0,0,0,0,0
"42","massacre ",335,0.00206542782100448,0,1,1,1,1,0
"43","el ",325,0.00200377325918345,0,0,0,0,0,0
"44","know ",322,0.00198527689063714,0,0,0,0,0,0
"45","get ",317,0.00195444960972662,0,0,0,0,0,0
"46","first ",308,0.0018989605040877,0,0,0,0,0,0
"47","president ",306,0.00188662959172349,1,0,0,0,0,1
"48","time ",290,0.00178798229280984,0,0,0,0,0,0
"49","shootings ",279,0.00172016227480671,0,0,0,0,0,0
"50","think ",276,0.0017016659062604,0,0,0,0,0,0
"51","gop ",271,0.00167083862534989,0,0,0,0,0,0
"52","robb ",271,0.00167083862534989,0,0,0,0,0,0
"53","two ",269,0.00165850771298568,0,0,0,0,0,0
"54","many ",268,0.00165234225680358,0,0,0,0,0,0
"55","enforcement ",267,0.00164617680062148,0,1,0,0,0,0
"56","justice ",262,0.00161534951971096,1,0,0,0,0,1
"57","y ",262,0.00161534951971096,0,0,0,0,0,0
"58","go ",260,0.00160301860734676,0,0,0,0,0,0
"59","even ",258,0.00159068769498255,0,0,0,0,0,0
"60","right ",246,0.00151670222079732,0,0,0,0,0,0
"61","said ",244,0.00150437130843311,0,0,0,0,0,0
"62","visit ",244,0.00150437130843311,0,0,0,0,0,1
"63","joe ",243,0.00149820585225101,0,0,0,0,0,0
"64","good ",241,0.0014858749398868,0,0,0,0,0,1
"65","tx ",240,0.0014797094837047,0,0,0,0,0,0
"66","memorial ",237,0.00146121311515839,0,0,0,0,0,0
"67","parents ",236,0.00145504765897629,0,0,0,0,0,0
"68","see ",236,0.00145504765897629,0,0,0,0,0,0
"69","going ",234,0.00144271674661208,0,0,0,0,0,0
"70","que ",229,0.00141188946570157,0,0,0,0,0,0
"71","don’t ",227,0.00139955855333736,0,0,0,0,0,0
"72","today ",227,0.00139955855333736,0,0,0,0,0,0
"73","happened ",226,0.00139339309715526,0,0,0,0,0,0
"74","stop ",222,0.00136873127242685,0,0,0,0,0,0
"75","community ",219,0.00135023490388054,1,0,0,0,0,1
"76","day ",215,0.00132557307915213,0,0,0,0,0,0
"77","ar ",214,0.00131940762297002,0,0,0,0,0,0
"78","lives ",214,0.00131940762297002,0,0,0,0,0,0
"79","take ",213,0.00131324216678792,0,0,0,0,0,0
"80","used ",210,0.00129474579824161,0,0,0,0,0,0
"81","control ",209,0.00128858034205951,1,0,0,0,0,0
"82","weapons ",208,0.00128241488587741,0,0,0,0,0,0
"83","make ",205,0.0012639185173311,0,0,0,0,0,0
"84","also ",204,0.00125775306114899,0,0,0,0,0,0
"85","nothing ",202,0.00124542214878479,0,0,0,0,0,0
"86","trump ",199,0.00122692578023848,1,0,0,0,0,0
"87","something ",197,0.00121459486787427,0,0,0,0,0,0
"88","laws ",196,0.00120842941169217,1,0,0,0,0,0
"89","want ",196,0.00120842941169217,0,0,0,0,0,0
"90","dead ",196,0.00120842941169217,0,0,0,0,0,0
"91","days ",194,0.00119609849932797,0,0,0,0,0,0
"92","say ",193,0.00118993304314586,0,0,0,0,0,0
"93","tragedy ",190,0.00117143667459955,0,1,1,0,0,0
"94","visits ",188,0.00115910576223535,0,0,0,0,0,0
"95","’m ",180,0.00110978211277852,0,0,0,0,0,0
"96","may ",180,0.00110978211277852,0,0,0,0,0,0
"97","assault ",179,0.00110361665659642,0,1,1,0,1,0
"98","“ ",177,0.00109128574423222,0,0,0,0,0,0
"99","chief ",177,0.00109128574423222,0,0,0,0,0,0
"100","las ",176,0.00108512028805011,0,0,0,0,0,0
"101","still ",174,0.00107278937568591,0,0,0,0,0,0
"102","help ",173,0.0010666239195038,0,0,0,0,0,0
"103","jill ",173,0.0010666239195038,0,0,0,0,0,0
"104","border ",171,0.0010542930071396,0,0,0,0,0,0
"105","says ",171,0.0010542930071396,0,0,0,0,0,0
"106","officers ",171,0.0010542930071396,0,0,0,0,0,0
"107","schools ",170,0.0010481275509575,0,0,0,0,0,0
"108","lady ",169,0.00104196209477539,0,0,0,0,0,0
"109","never ",166,0.00102346572622908,0,0,0,0,0,0
"110","mental ",166,0.00102346572622908,0,0,0,0,0,0
"111","since ",165,0.00101730027004698,0,0,0,0,0,0
"112","sunday ",163,0.00100496935768277,0,0,0,0,0,0
"113","republicans ",160,0.000986472989136466,0,0,0,0,0,0
"114","every ",159,0.000980307532954363,0,0,0,0,0,0
"115","died ",156,0.000961811164408055,0,0,0,0,0,0
"116","let ",154,0.000949480252043849,0,0,0,0,0,0
"117","tiroteo ",152,0.000937149339679643,0,0,0,0,0,0
"118","went ",149,0.000918652971133334,0,0,0,0,0,0
