"","political_final"
"1","political"
"2","government"
"3","law"
"4","politician"
"5","governance"
"6","diplomatic"
"7","polity"
"8","diplomatical"
"9","republic"
"10","partisanship"
"11","aristotle"
"12","election"
"13","state"
"14","politics"
"15","economics"
"16","politically"
"17","smooth"
"18","ideologies"
"19","politicking"
"20","politic"
"21","suave"
"22","debate"
"23","wars"
"24","religion"
"25","policy"
"26","politicos"
"27","police"
"28","nationalism"
"29","values"
"30","regionalism"
"31","democratic"
"32","news"
"33","monarchy"
"34","activism"
"35","expedient"
"36","geopolitics"
"37","parliament"
"38","politicians"
"39","culture"
"40","history"
"41","republicanism"
"42","ethics"
"43","morality"
"44","sagacious"
"45","politicizing"
"46","demagoguery"
"47","elections"
"48","electoral"
"49","ban"
"50","dynamics"
"51","judiciary"
"52","principle"
"53","governor"
"54","sociopolitical"
"55","resourceful"
"56","mudslinging"
"57","social"
"58","pragmatism"
"59","policymaking"
"60","drama"
"61","divisive"
"62","divisiveness"
"63","factionalism"
"64","ideological"
"65","statecraft"
"66","parochialism"
"67","cynicism"
"68","society"
"69","policies"
"70","world"
"71","populism"
"72","regime"
"73","issues"
"74","pandering"
"75","religious"
"76","conspiracy"
"77","international"
"78","human"
"79","money"
"80","science"
"81","rhetoric"
"82","bureaucracy"
"83","personal"
"84","democracy"
"85","intrigue"
"86","warfare"
"87","identity"
"88","force"
"89","ideas"
"90","tribes"
"91","controversial"
"92","polis"
"93","civil"
"94","allegiance"
"95","celibacy"
"96","commerce"
"97","realpolitik"
"98","civilised"
"99","sinfulness"
"100","stuffy"
"101","meddles"
"102","unclothed"
"103","crystallizing"
"104","psyche"
"105","clubby"
"106","metabolizes"
"107","crafty"
"108","minimalist"
"109","issue"
"110","crist"
"111","demagogue"
"112","supremacy"
"113","statesmanship"
"114","conservatism"
"115","electioneering"
"116","electorate"
"117","idealism"
"118","dukes"
"119","journalism"
"120","tribalism"
"121","partisan"
"122","current"
"123","gubernatorial"
"124","business"
"125","philosophy"
"126","sleaze"
"127","pettiness"
"128","beliefs"
"129","ideology"
"130","race"
"131","economy"
"132","power"
"133","chauvinism"
"134","machinations"
"135","public"
"136","affairs"
"137","campaigning"
"138","events"
"139","voting"
"140","people"
"141","diplomacy"
"142","laws"
"143","demagogues"
"144","opinions"
"145","sloganeering"
"146","military"
"147","populist"
"148","optics"
"149","legislating"
"150","communism"
"151","obstructionism"
"152","federation"
"153","agendas"
"154","relations"
"155","sociology"
"156","anarchism"
"157","agenda"
"158","aristocracy"
"159","governments"
"160","bland"
"161","racism"
"162","gov"
"163","tribe"
"164","propaganda"
"165","party"
"166","cultural"
"167","civics"
"168","city"
"169","econ"
"170","company"
"171","plato"
"172","corporate"
"173","system"
"174","other"
"175","confucius"
"176","kingship"
"177","capitalism"
"178","foreign"
"179","opinion"
"180","strategy"
"181","morals"
"182","counts"
"183","earls"
"184","comedy"
"185","finance"
"186","tribute"
"187","legislation"
"188","property"
"189","legal"
"190","worldview"
"191","action"
"192","community"
"193","politicized"
"194","inheritance"
"195","manifesto"
"196","education"
"197","woke"
"198","congress"
"199","problems"
"200","global"
"201","control"
"202","ideals"
"203","meta"
"204","virtue"
"205","confiscation"
"206","justice"
"207","espionage"
"208","individualist"
"209","management"
"210","how"
"211","health"
"212","conflict"
"213","trade"
"214","lack"
"215","games"
"216","actions"
"217","personality"
"218","lawmaking"
"219","treason"
"220","pandemic"
"221","critical"
"222","convention"
"223","gentile"
"224","observance"
"225","taxation"
"226","governmental"
"227","petition"
"228","discourse"
"229","collegial"
"230","majority"
"231","permeates"
"232","permeating"
"233","flabby"
"234","monopoly"
"235","communication"
"236","permeated"
"237","pervades"
"238","straitjacket"
"239","democracies"
"240","abstract"
"241","socialism"
"242","groupthink"
"243","presidential"
"244","curfew"
"245","discernment"
"246","consciences"
"247","pervading"
"248","matriarchal"
"249","rightness"
"250","juridical"
"251","unaccountable"
"252","transfigured"
"253","deliberative"
"254","paternalism"
"255","coin"
"256","perverted"
"257","permeate"
"258","subjectivity"
"259","enmeshed"
"260","transitory"
"261","cesspool"
"262","guild"
"263","disinterested"
"264","fleshly"
"265","redefining"
"266","egoism"
"267","quicksand"
"268","diplomat"
"269","peculiarly"
"270","agreement"
"271","colonies"
