Date,User,Tweet
2018-10-25 23:59:59+00:00,cruzrobnation,@Acosta You my friend are a clown.
2018-10-25 23:59:59+00:00,EaglesXOs,@AllbrightNFL Didn’t see a Round 1 guy over the summer and not seeing any different this fall
2018-10-25 23:59:59+00:00,luiza_reis10,Qual é a coisa mais louca que você já fez por alguém? — De mentir para minha mãe que ia na casa de uma das minhas amigas pra encontrar o fulano pra me fazer de trouxa https://t.co/1QeynaRt0h
2018-10-25 23:59:59+00:00,mhuhta,"I just backed @SassyBlack_ Third Album ""Ancient Mahogany Gold"" on @Kickstarter https://t.co/tWsU534boC &amp; YOU should too!"
2018-10-25 23:59:59+00:00,ZJSherman,@WalshFreedom The man literally wants to be president forever. He’s already hinted at it. He would tear up the constitution if he could. At this point All I’m asking for is a decent human being whether they be Dem or Rep to run this country.
2018-10-25 23:59:59+00:00,IFULL_TAKEHARA,"竹原駅前商店街ももねこ様カメラ
投稿時刻は 、2018-10-26_08:59:59です。
今日の広島県竹原市の天気は、
晴のち雨です。たぶん...
アーケード下の気温は、18.9℃
くらいです。
#あいふる316
#Raspberrypi
Auto tweets from MOMOCAM. https://t.co/aOhApc6grd"
2018-10-25 23:59:59+00:00,patriciaaacoll,The audacity I have to try and give  advice to someone about their well being while I fully hate myself is just amazing
2018-10-25 23:59:59+00:00,belkissalinasd,Lo que falta es que Maduro mande a buscar la caravana de Hondureños y los hospede aquí en Venezuela ya que les pagó ahora que les resuelva. https://t.co/WNP73dyNZh
2018-10-25 23:59:59+00:00,RustyLoL,The most jealous boy in all of the lands allows a wild Marley to escape https://t.co/NIT2AMfVsY
2018-10-25 23:59:59+00:00,ErkMario,"Día 20 sin quincena, comienzo a ver caros los tacos de a 5x$20 👀"
2018-10-25 23:59:59+00:00,thalita_goncalv,Seu aniversário é q dia? — 28/11 https://t.co/pAHLMtzAib
2018-10-25 23:59:59+00:00,jordanturggeon,@5SOS y’all really did me dirty w killer queen how
2018-10-25 23:59:59+00:00,rachaslov,waking up to this is a nice thing to kick off a day :) https://t.co/sMdsUIMUvc
2018-10-25 23:59:59+00:00,MATIASOP2017,I liked a @YouTube video https://t.co/5bhkeIW3sN Happy Halloween | Animation Meme |
2018-10-25 23:59:59+00:00,natalieekoch,"@hecallsmePP Then call tomorrow! Lol people suck, things happen, but don't let them ghost you. I've been on the other side of this sitch."
2018-10-25 23:59:59+00:00,aklandwehr,"@realDonaldTrump Stop undermining the fundamentals of our democracy. Also, stop lying - that would help a lot."
2018-10-25 23:59:59+00:00,lashtonrose,je veux simplement l’emmener à NYC
2018-10-25 23:59:59+00:00,proxydefernando,@luciakunst Te conté que el sábado te voy a ver en open house u omiti ese detalle
2018-10-25 23:59:59+00:00,martsalvatierrx,Me llegan a hacer esto y les cagó los faltasos 🤦🏻‍♀️ https://t.co/8SOLS1EgnS
2018-10-25 23:59:59+00:00,rtbap,"@DVDCano Si , sale Mirian la repesca Jajajaja molaría q regrese"
2018-10-25 23:59:59+00:00,NickGandLukeD1,A 1793 decree from the National Assembly required all privately owned exotic animals to be transferred to the menagerie.
2018-10-25 23:59:59+00:00,simonrug,@ConallThomas @rugbyPhilBB @Ioan_Dyer @PontypriddRFC @crosskeysrfc @Ponty3G @PrincipalityPRM Thought so. The Glantaf lad is a huge talent.
2018-10-25 23:59:59+00:00,rafaelmenual,Let’s go Texans !!! — at Buffalo Wild Wings https://t.co/UrF511WcI7
2018-10-25 23:59:59+00:00,BlueWhiteSports,@Score_Lando @BasicBlues That’s not shocking he blocks everyone that calls his fake ass out!
2018-10-25 23:59:59+00:00,gonzalo_2897,"Cuando el hijo de CR7, Cri Jr., se molesta con él porque no le quiere comprar algo, será que le dice: “eres el peor papá, Messi si le compra lo que quiere a sus hijos”"
2018-10-25 23:59:59+00:00,jkaufmannsr,"@KirstenPowers Please don't generalize about the right.  You're better than that.  Oh, I'm not a Megyn fan."
2018-10-25 23:59:59+00:00,ChrisTjahjadi95,"E26E814E :Battle ID
I need backup!
Lvl 120 Godsworn Alexiel
https://t.co/ESMR7QLr03"
2018-10-25 23:59:59+00:00,lcresende21,@Marcelo01silvas @viborgesss Dedo no cu e gritaria
2018-10-25 23:59:59+00:00,jbposell,Great discussion of an important topic -- Is it OK to eat a burrito sideways? Justin Bieber sparks a debate https://t.co/h4oF8LeZNc
2018-10-25 23:59:59+00:00,miyuchan9698,"@kanna_1122_inku ぼちぼち行きます🤗💗
　　　　∧∞∧　ﾃｸ
　　　（･ω･〃)　ﾃｸ
　　　⊂(　　⊃
　　　　○ーＪ...
　　∧🎀∧
　　(* ･ω･) ﾃｸﾃｸ…
　　∪､　 )
≡≡≡≡し−Ｊ"
2018-10-25 23:59:59+00:00,tracedqwson,@MayitaB33 Que no haga weas y que yo valgo pico jajajaja😂
2018-10-25 23:59:59+00:00,rosenlite,@UK611 普通の人ですw
2018-10-25 23:59:59+00:00,gffcontwitch,"best way to get relaxed to sleep is a good bath , plenty of soap suds , drop the heat of the water like it's hot then you will feel very relaxed , top tip"
2018-10-25 23:59:59+00:00,AdrianaLemos64,"@Haddad_Fernando #bolsanarocorrupto não tem coragem de explicar o fim do SUS, das creches, das escolas públicas, dos direitos sociais e trabalhistas e principalmente o #caixa2bolsonaro -  #Haddadpresidente #Manunojaburu"
2018-10-25 23:59:59+00:00,1404mati,@radulf_310 @johnerencastle1 Felicidades! Yo iré mañana y aunque mi voto será libre no será secreto pues votaré por #SantaLucía
2018-10-25 23:59:59+00:00,VA3DBJWeather,WX at 2000: Temp: 3.6 C Humidex: 1.1 C Hum: 70% Baro: 1021.0 mb Steady Wind: 0.0 km/h N/Gust: 0.0 km/h Rainfall Today: 0.0 mm (Last 24Hrs: 0.0 mm) Forecast: Fine weather
2018-10-25 23:59:59+00:00,revizorgs,"@fatihportakal Yeşil Kuşak-Ilımlı İslam-Dinler Arası Diyalog projeleri ve Ortadoğu'yu ateşe boğan Yeni Dünya Düzeni (N.W.O.) kumpasları, dinci ve ırkçı terör çeteleri, ABD yörüngesindeki 12 Eylül ve 28 Şubat cunta darbeleri ile ivme kazandı."
2018-10-25 23:59:59+00:00,MaryaneMorae,Qual é a coisa mais louca que você já fez por alguém? — me apaixonar por ela https://t.co/SdoRp5QQ91
2018-10-25 23:59:59+00:00,LeeleBarros,"mto triste tomar nojo de alguém que você gostou tanto,que viveu várias paradas mas é aquilo,a gnt só conhece a pessoa depois que ela sai da nossa vida!"
2018-10-25 23:59:59+00:00,je_hiper,@CassieMiu_ Ela é antiga não mexe em Twitter eu teria que explicar o que é então facilitei para Facebook 🤣
2018-10-25 23:59:59+00:00,yuruhausuto4253,"氷河はSSが乙ってるからある意味縛りだと思う
ガチなら帝釈天に証付けて同擊特L付けたほうが利口"
2018-10-25 23:59:59+00:00,tiempocastuera,"Wind 4,8 km/h SSW. Barometer 1014,40 hPa, Steady. Temperature 18,6 °C. Rain today 0,0 mm. Humidity 56%"
2018-10-25 23:59:59+00:00,millicent_leboo,@M_mushi23 Damn. For a second I thought I found a loophole😂
2018-10-25 23:59:59+00:00,diana_mejia5,"@salvador_sobral Ven a Colombia, Salvador!"
2018-10-25 23:59:59+00:00,albino_wagner,@Brahunajr @sandrosabino @c0bal @SuuperAle @SharlotSandim @piumonteiro @Ze_Ricardino @RenatoSalviano @RenataSampai0 @Geane_Marcia @macaboy_ @opaulosousa @alcileneblog @estrela_ada @dogniu @PizzaComCerveja @jonataNazario @KiaraGuedes @MARAadv @aryoliver7 @LeeAmil @alecosta36 @juli0pereira1 @Divalber @baden Romeo y Julieta parece bom!
2018-10-25 23:59:59+00:00,Phatthit,I added a video to a @YouTube playlist https://t.co/BsqoJu0ZWi BATTERY TEST | Skitzo Dark Matter ACEHE Xilo
2018-10-25 23:59:59+00:00,Oreo52,"Oh, I'm just surprised Chelsea ""thinks. "" https://t.co/48Q8VFOm6L"
2018-10-25 23:59:59+00:00,guimaraesamand4,"tô apaixonada pelo professor da smart, é isso"
2018-10-25 23:59:59+00:00,DerickSr_,"Tô a tempos pra escrever aqui, que bons tempos vem aiii karaii"
2018-10-25 23:59:59+00:00,PauloBa88656680,"https://t.co/vHNAkIo17c
Até nossos adversários tradicionais estão ao nosso lado contra o fascismo. 
#Haddad13"
2018-10-25 23:59:59+00:00,vjeon_dewii,"I like this song #WasteItOnMe @BTS_twt @steveaoki 

#bts
#WasteItOnMe 
#SteveAokiXBTS 
#ARMY https://t.co/D2obrzr8iR"
2018-10-25 23:59:59+00:00,teacherapples,"A4: I use the Response to Effort Intervention to reward effort given by the student to modify behavior during instructional time. It's not that the student is tough, are having a tough time....a little praise/reward goes along way. #ThePointChats"
2018-10-25 23:59:59+00:00,LupusLunaraDTD,I've fallen in love with 3 people and I still have feelings for my ex. FML
2018-10-25 23:59:59+00:00,todaycourses,95% off-Oracle SQL : Become a Certified SQL Developer From Scratch! Coupon https://t.co/1uNv8C2DA6
2018-10-25 23:59:59+00:00,MannyMonarrez,Es vergonzoso que en el Estado se esté utilizando dinero del presupuesto para pagar campañas de difamación contra el presidente de @VivirSegurosBC @hernandez_sd sólo por pedir que se pare la licitación amañada del #C5i y se destinen los recursos en lo que realmente se necesita
2018-10-25 23:59:59+00:00,Celtics_WRLD,@matt_lucey13 @ButIerSZN @ItsShake4ndbake You gotta take chances if your a gm and in that stacked west it’s either win now or bust so you gotta do it imo
2018-10-25 23:59:59+00:00,Pixel72,"Wind 2,2 km/h WSW. Barometer 1007,0 hPa, gleichbleibend. Temperature 10,1 °C. Rain today 0,0 mm. Humidity 73%"
2018-10-25 23:59:59+00:00,flopsinkokoro,fui na igreja e o pastor tava defendendo o estado de israel
