Date,User,Tweet
2013-01-12 23:59:04+00:00,WakeUpReality,The Sandy Hook Shooting - Fully Exposed http://t.co/GmaZt9vE #RealityFail
2013-01-12 23:58:40+00:00,sitfu,"Psychiatric Drugs: The Giant, Gaping Hole in Sandy Hook Reporting: Since last month’s horrifying and heartbreaki... http://t.co/OYGLwkCM"
2013-01-12 23:57:57+00:00,LeafsCentral,Sandy Hook Conspiracy. http://t.co/Wc9rGR7R  #leafscentral
2013-01-12 23:56:47+00:00,angel_cries,sandy hook was a fema dhs drill? what?
2013-01-12 23:56:06+00:00,USRadioNews,Plz flw @PatriotRadioNet: Sandy Hook's 'New Old Principal' Out of... -  When the students at Sandy Hook Elementary... http://t.co/oBuo0CfL
2013-01-12 23:55:47+00:00,RockDocInLV,AlterNet Radio: Crazy Sandy-Hook Conspiracy Theories; Auerbach on Jack Lew; Fed Judge Curtails Stop-And-Frisk http://t.co/Xt1bASs2
2013-01-12 23:55:32+00:00,emske_hammer,Do not talk to me if you think sandy hook was put on by our government. Stop wasting your time looking for reasons to prove it.
2013-01-12 23:54:33+00:00,Cash_Rules_,Sandy Hook Shooting: Active-Shooter Drill Confirmed by Law Enforcement Raises Suspicion of False Flag Operation: http://t.co/4KeVpu5b
2013-01-12 23:54:31+00:00,TheGrimCreeper1,.@DLoesch @piersmorgan still won't answer the question @benshapiro asked: What would you do about guns that would have prevented Sandy HooK?
2013-01-12 23:54:19+00:00,TennesseeRecord,"Sandy Hook Students Start Classes In A New School That Was... http://t.co/HipZZScU
 #ChalkHill #SandyHook #SuperintendentJanetRobinson"
2013-01-12 23:54:07+00:00,AmandaPearman,Fundraiser for Sandy Hook - Stella and Dot Inspired Necklace AND Earrings! | Very Jane: http://t.co/Y2y3DxPd via @veryjanedeals
2013-01-12 23:54:02+00:00,gandamonews,The Sandy Hook Shooting - Fully Exposed http://t.co/Au1swVYS
2013-01-12 23:53:46+00:00,wecogitate,Sandy Hook Shooting: Active-Shooter Drill Confirmed by Law Enforcement Raises Suspicion of False Flag Operation http://t.co/Q3PRuRE3
2013-01-12 23:53:32+00:00,rconspiracy,Raw helicopter footage before the fake sandy hook shooting http://t.co/XEpYIsp3
2013-01-12 23:53:20+00:00,mrblaisart,Check out my latest Post : Sandy Hook Bound http://t.co/bfyO38wD http://t.co/7caSKDZ3
2013-01-12 23:52:45+00:00,TellyStern,@babytata You fell for Obama's act after Sandy Hook. Did you see Obama campaigning in LV day after he left our men to die in #Benghazi?
2013-01-12 23:52:44+00:00,TheStoneTurner,Sandy Hook smoking guns emerge (Photos) http://t.co/XdO2grCT
2013-01-12 23:51:39+00:00,CrayZRayeD,Beautiful pendant features names of #Sandy Hook victims Spirit Tree benefits #Newtown http://t.co/J8EMFpLU
2013-01-12 23:51:37+00:00,Insomniac_03,"@piersmorgan If you look at the video of the gun from sandy hook in the trunk of the car, it WAS NOT an AR-15 rifle....."
2013-01-12 23:51:31+00:00,AbeGoldfarb,"Think about this: the only reason that we have Gun Appreciation Day is because of the Sandy Hook Shooting. Good prioritizing, conservatives!"
2013-01-12 23:51:22+00:00,seddaka,"Anderson Cooper Shocked By Sandy Hook Conspiracy Theories 2013: 

Anderson Cooper Shocked By Sandy Hook Conspira... http://t.co/Fc1b1rFi"
2013-01-12 23:50:17+00:00,Intelwar,Sandy Hook Shooting: Active-Shooter Drill Confirmed by Law Enforcement Raises Suspicion of False Flag... http://t.co/D2Ufvbvx
2013-01-12 23:49:49+00:00,ADG_UK,Anderson Cooper Shocked By Sandy Hook Conspiracy Theories? 2013 http://t.co/OOquP2hn
2013-01-12 23:49:47+00:00,theemporersnew,"@glennbeck Think about what u wldnt put passed the current Administration, the look up on the Internet-United Way Sandy Hook, Crisis actors!"
2013-01-12 23:49:21+00:00,StanleyECook,Sandy Hook Shooting: Active-Shooter Drill Confirmed by Law Enforcement Raises Suspicion of False Flag Operation : http://t.co/BYKfVHHg
2013-01-12 23:49:09+00:00,deelikethat,26 miles for 26 lives. Sandy Hook Elementary http://t.co/MqYrfYkz
2013-01-12 23:49:08+00:00,laurajernigan,The Sandy Hook Shooting - Fully Exposed // scary if this is true.  http://t.co/XMPLkVdb
2013-01-12 23:48:41+00:00,CTVoter,Tweeps tweeting about funds being set up before the massacre at Sandy Hook will be reported as spam. GDIAF you paranoid f*cks.
2013-01-12 23:47:47+00:00,indigo_rob,"@piersmorgan Crocodile tears for the children of sandy hook? I can see why Lord Leveson called you ""utterly unpersuasive"" to the truth."
2013-01-12 23:47:27+00:00,CCreekNews,Sandy Hook fundraising relief page created 3 days before shooting. http://t.co/BTtpaoCg #news #SandyHook
2013-01-12 23:47:18+00:00,THEHAPPYMEDIUM,@JenSchwab76 you did not miss it. Was filmed in a school. Out of respect fir Sandy Hook they r wAiting to premiere it
2013-01-12 23:46:37+00:00,SaveKPFA,RealTime Sandy Hook – James Tracy on #KPFA’s Guns and Butter[audio]  http://t.co/NjCDYYKm
