Date,User,Tweet
2012-03-25 23:59:58+00:00,7THSINFUL,"HOODIE ON......I AM ""TRAYVON MARTIN"" http://t.co/goOMMhQS"
2012-03-25 23:59:58+00:00,jcurry727,"RT @KaDeeStrick: RT @RealFerrellWill: R.I.P. Trayvon Martin. For every R-T this tweet gets, $1 will be donated to ... http://t.co/tpAzstF"
2012-03-25 23:59:57+00:00,LoLuv23,"A lady who threw flour on @KimKardashian  was arrested on site, but the man who killed Trayvon Martin is still free. RETWEET"
2012-03-25 23:59:56+00:00,ovo_mack,I think ppl really are still tweeting about trayvon Martin is just for a retweet.
2012-03-25 23:59:55+00:00,classicchar,"Congregants Wear Hoodies, Remember Trayvon Martin - ABC News: ABC NewsCongregants Wear Hoodies, Remember Tray... http://t.co/SxtDyFii"
2012-03-25 23:59:54+00:00,THICKNESSNBLU,“@Virgo_sinsation “@mztwisted101 “@TrayvonMRIP R.I.P. Trayvon Martin Retweet if you see this &amp; you care if not keep scrolling”””
2012-03-25 23:59:52+00:00,SlimPyT,"""@K4L3IGH: I understand preaching justice for Trayvon Martin but I think holding up Skittles and Arizonas isn't really the point"" &lt;== THIS"
2012-03-25 23:59:51+00:00,DanF81,Hate crime charge possible for Trayvon Martin shooter http://t.co/gQsEC5Tp #Justice #Racism
2012-03-25 23:59:50+00:00,meagkathm,#HoodiesUp tomorrow . R.i.p Trayvon Martin . ♥♥♥ 1995-2012
2012-03-25 23:59:50+00:00,CoryGetsMeWettr,u serious RT @Doobloc412: Who is TRAYVON MARTIN?
2012-03-25 23:59:48+00:00,TrainwReine,We fight for justice! We Fight for Peace! 1M Hoodie March for Trayvon Martin - Colorado Springs. http://t.co/KTQHD9vG
2012-03-25 23:59:48+00:00,Marley_Redzz,RT @Halodon: for trayvon martin http://t.co/DB06KQ8d
2012-03-25 23:59:48+00:00,1Monteze,This whole Trayvon Martin situation is bullshit &amp; for people to defend Zimmerman kill yo self #RealTalk they should kill yall wit Zimmerman
2012-03-25 23:59:47+00:00,Evelynn_monroe,RT“@_soSeductive RT @ModelBroad_ RT @CallMe_Cali R.I.P. Trayvon Martin Don't Scroll Pass RT to show Respect http://t.co/mWUfd3N0”
2012-03-25 23:59:44+00:00,DollasSignEnt,R.I.P Trayvon Martin we fighting for you younging!!!
2012-03-25 23:59:43+00:00,ClydeTheMack,"Markell Goodwin, Trayvon Martin, Charles Hill.... ""All Murdered For NO REASON.... Smh if u gon point a gun let it only be at the Enemy"""
2012-03-25 23:59:42+00:00,LoveRangerGang,R.I.P Trayvon Martin:(
2012-03-25 23:59:41+00:00,June29thBitch,«@_iACTLikeiCARE Trayvon Martin ♥»
2012-03-25 23:59:39+00:00,TYREKB50,All AP football players wear a hoodie on tomar so we can take a pic to support  trayvon martin
2012-03-25 23:59:37+00:00,sapphirebleu3,"Some ask Why are you so passionate over Trayvon Martin? I'm passionate because I have a son, adopted sons, &amp; nephews! #TakingCareofBusiness"
2012-03-25 23:59:37+00:00,prettygirl_SP,Aw they just had a mini Trayvon Martin march on beale!! I love it!!!!!! Sn- happy birthday to me!!
2012-03-25 23:59:37+00:00,myfabredlife,"S/O to Bun B, Willie D, Scarface, big bro Trae tha Truth for coming through to EP park in honor of Trayvon Martin!! http://t.co/JeUlB3Ii"
2012-03-25 23:59:34+00:00,Is_BoSsEd_Up,Trayvon martin story is soo sad...i wish our world wasnt soo f'd up like dis...
2012-03-25 23:59:33+00:00,MzPrettyKat_03,@_TheKingsQUEEN Rip Trayvon Martin http://t.co/2eeEx4Bq
2012-03-25 23:59:32+00:00,O_OYouUGLY,"Lmao Just Seen That Tweet About #oomf Saying Did Trayvon Martin Go To Cass ,"
2012-03-25 23:59:29+00:00,BASED_killa1,#REALTALK Plies - We Are Trayvon (Trayvon Martin Tribute): http://t.co/mKnVqxb2
2012-03-25 23:59:28+00:00,Cee_Malachi,ppl at my school are wearing hoodies for trayvon martin tomorrow... shouldnt yall have dont that a while ago??
2012-03-25 23:59:27+00:00,iits_Peaches,R.I.P Trayvon Martin!! http://t.co/JczE91ig
2012-03-25 23:59:26+00:00,MZTASHATEE,@NMZLive really enjoyed the 11:30 church service this morning Pastor Elwood sermon was awesome. Justice for Trayvon Martin!!!
2012-03-25 23:59:25+00:00,CatchMeIfYuKan,Trayvon Martin Got The Skittle And Ice Tea Market On Da Rise
2012-03-25 23:59:24+00:00,laurensharee,"“@SexxLuvPain “@KevinHart2Real R.I.P. Trayvon Martin. Every RE-TWEET this tweet gets, counts as (cont) http://t.co/MToYtnZx"
2012-03-25 23:59:23+00:00,EmmoLei,Hampton University students rally in support of Trayvon Martin http://t.co/KYEncSuG | Nice to see this.
2012-03-25 23:59:23+00:00,sawngbyrd28,"@RonnieRicks Joe Oliver, George Zimmerman's Friend, Defends Shooter In Trayvon Martin Case http://t.co/4aK3T2SW via @HuffingtonPost"
2012-03-25 23:59:23+00:00,CCCAW_,what do the hoodies symbolize for Trayvon Martin?
2012-03-25 23:59:20+00:00,Jeremystayfly,I AM TRAYVON MARTIN
2012-03-25 23:59:19+00:00,_DamienRaye,Come to the levee with your hoodies on for trayvon Martin vigil
2012-03-25 23:59:19+00:00,merriemarie,The Trayvon Martin Our Government-Subsidized Media Won't Let You See... | http://t.co/VdleTtDj via @Digg
2012-03-25 23:59:19+00:00,CrossOutRell,R.I.P. Trayvon Martin http://t.co/E6Ns1DN3
2012-03-25 23:59:19+00:00,Hips_YeahDat,"«@DMV_BAIT «@WeLoveTrayvon R.I.P. Trayvon Martin. Every RE-TWEET this tweet gets, counts as a (cont) http://t.co/aC3rCGxR"
2012-03-25 23:59:19+00:00,MDHouseJR,"""@WeLoveTrayvon: #IDontNeedAnyone to be racially discriminant. It's 2012. R-T to spread the word about RIP Trayvon Martin."" And we love you"
2012-03-25 23:59:18+00:00,MzKodakBeauty,Obama Wants Just 4 Trayvon Martin!!! He Needs it!! R.I.P #Hoodies4Trayvon
2012-03-25 23:59:18+00:00,EddieKash10,"""@nykii_hustle: #HoodiesUp ... Justice for Trayvon Martin!"""
2012-03-25 23:59:17+00:00,FlyGurl_Slye,#DCforTrayvon ---&gt; I am Trayvon Martin  http://t.co/uHjolLV8
2012-03-25 23:59:14+00:00,Halodon,for trayvon martin http://t.co/vm9XjuRg
2012-03-25 23:59:13+00:00,BaDDie_ShaY,that man that killed trayvon martin might as well just volunteer to go to jail
2012-03-25 23:59:09+00:00,itsnickjacobs,February 26th (Trayvon Martin) by itsnickjacobs on SoundCloud http://t.co/tJWynewk #justice
2012-03-25 23:59:09+00:00,MeganInNoDak,"White People, You Will Never Look Suspicious Like Trayvon Martin! by Michael Skolnik http://t.co/waQXRday via @globalgrind"
