Date,User,Tweet
2022-05-29 23:59:59+00:00,okourgiantakis,"He Did Not Act Alone
An incomplete list of the Uvalde shooter’s accomplices.
https://t.co/ZU5dr8K9qI"
2022-05-29 23:59:57+00:00,leighmunsil,"Uvalde straddles the regions of both the Hill Country and the coastal plains and is a gateway to chaparral country. 

The 7.6-square-mile city is situated at a literal crossroads where two of the longest highways in the nation intersect.

https://t.co/c9yx97YQIQ"
2022-05-29 23:59:54+00:00,ngarv1216,@JohnCornyn Seems like it took the Uvalde police more than an hour to make a split second decision. The lives of children were at stake!
2022-05-29 23:59:51+00:00,MarciaBadowski,@MHGtweet @jondirienzo The TX state public safety officers did most of the talking at pressers. Uvalde police chief is Hispanic
2022-05-29 23:59:44+00:00,bburke192,@rikoNFL @bobpockrass I bet you thought the cops in Uvalde were in the right
2022-05-29 23:59:44+00:00,Angel02318709,Him and every damn @TexasGOP &amp; gutless @NRA whore in the @GOP have blood in their hands! Texas Gov. Greg Abbott Booed Upon Arriving at Uvalde School Shooting Site #NewsBreak https://t.co/U1B4urGswg
2022-05-29 23:59:42+00:00,bouncenationke,DOJ Launches Review of Police Response to Uvalde Shooting Amid Biden Visit https://t.co/XkWTeCQ4y1
2022-05-29 23:59:37+00:00,piperscreekway,"@xmang39 @disclosetv Here's a poll after Buffalo but b4 Uvalde. A majority (though not huge) favor stricter laws (and I'm guessing you might see only a slight increase, tho some more, after Uvalde). What ""stricter laws"" means to everyone, however, is unclear to me. 

https://t.co/d2snVco4F9"
2022-05-29 23:59:35+00:00,nypapajoe,Anonymous donor pays all funeral expenses for Uvalde shooting victims https://t.co/3XpR4waJPi
2022-05-29 23:59:33+00:00,TexasFBA4Ever,"Tonight's Video Essay From Professor Black Truth - Uvalde Is Another Example Of Cops Being Cowards 

https://t.co/KkT53KDJgl"
2022-05-29 23:59:29+00:00,dresslar,"@WaldorickWilson @Cre8ve2 How many fucking children did Jesus Christ protect in Uvalde? You need to seek counseling, Waldorick. Jesus hasn’t saved a single child in a school mass shooting. I suggest that you unbuckle your seat belt and let Jesus take the wheel. Let’s see how that works for you."
2022-05-29 23:59:25+00:00,Lokmow,"A lot of swearing but powerful message.

Furious Texas Paul EXPLODES at Fake Christians after Uvalde https://t.co/emu9iOWgRM via @YouTube"
2022-05-29 23:59:23+00:00,ElHuffPost,"El Gobierno de EEUU investigará la respuesta policial a la matanza de Uvalde
https://t.co/QMGd5k3rka"
2022-05-29 23:59:20+00:00,comanche001,"This Memorial Day we want to honor those who died to keep the nation free. We as a special thought we should also honor the children and teachers killed in Uvalde, TX. #MemorialDay #Uvalde #Veterans"
2022-05-29 23:59:18+00:00,Hudson806GENE,Justice Department Will Investigate Uvalde Police Department via @WestJournalism https://t.co/kxPkevbWMl
